english,zh
"Register a new passkey","注册新 Passkey"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","使用生物识别或设备 PIN 码注册 Passkey，然后验证一次以继续。"
"Register security key","注册安全密钥"
"Registering...","正在注册..."
"Registration cannot be resumed","无法继续注册"
"Registration failed","注册失败"
"Remember this email","记住此邮箱"
"Remember this identifier","记住此标识符"
"Request reset","请求重置"
"Required enrollment chooser","强制绑定选择器"
"Resend code","重新发送验证码"
"Resend code ({seconds}s)","重新发送验证码 ({seconds}s)"
"Reset bootstrap spinner","重置引导加载中"
"Reset finished successfully","重置成功完成"
"Reset link sent","重置链接已发送"
"Reset your password","重置您的密码"
"Retry loading options","重试加载选项"
"SMS code","短信验证码"
"SMS verification code","短信验证码"
"Saving...","正在保存..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","使用身份验证器应用扫描二维码，然后输入其显示的 6 位验证码。"
"Screen directory","界面目录"
"Screens","界面"
"Security key","安全密钥"
"Security key registration is not supported in this browser.","此浏览器不支持安全密钥注册。"
"Security key unsupported","不支持安全密钥"
"Select a method to set up 2-step verification for your account.","选择一种方式为您的账号设置两步验证。"
"Select among enrolled methods","在已绑定的方式中选择"
"Send SMS code","发送短信验证码"
"Send a new code","发送新验证码"
"Send a verification code to your email address.","向您的邮箱地址发送验证码。"
"Send a verification code to your mobile phone via SMS.","通过短信向您的手机发送验证码。"
"Send code","发送验证码"
"Send email code","发送邮件验证码"
"Send reset link","发送重置链接"
"Sending...","正在发送..."
"Sending code...","正在发送验证码..."
"Set new password","设置新密码"
"Set up 2-step verification","设置两步验证"
"Set up a factor","设置验证因素"
"Set up a passkey","设置 Passkey"
"Set up a security key","设置安全密钥"
"Set up authenticator","设置身份验证器"
"Set up authenticator app","设置身份验证器应用"
"Set up email codes","设置邮件验证码"
"Set up {method}","设置 {method}"
"Setting up...","正在设置..."
"Setup key (if you cannot scan)","设置密钥（如果无法扫描）"
"Show","显示"
"Show password","显示密码"
"Show setup key","显示设置密钥"
"Sidebar","侧边栏"
"Sign in","登录"
"Sign in with a passkey","使用 Passkey 登录"
"Sign in with passkey","使用 Passkey 登录"
"Sign in with password","使用密码登录"
"Sign in with your new password to continue.","使用您的新密码登录以继续。"
"Sign in with {provider}","使用 {provider} 登录"
"Sign in with {provider} was not completed. Please try again.","使用 {provider} 登录未完成。请重试。"
"Sign-in was not completed","登录未完成"
"Signing in...","正在登录..."
"Skip for now","暂时跳过"
"Skip or enroll a method","跳过或绑定方式"
"Skipping...","正在跳过..."
"Start TOTP enrollment","开始 TOTP 绑定"
"Start an external provider","启动外部提供商"
"Start email-code sign-in","开始邮件验证码登录"
"Start setup","开始设置"
"Start sign-in again","重新开始登录"
"Starting setup...","正在开始设置..."
"Supported browser, identifier first","受支持的浏览器，先输入标识符"
"System","系统"
"System theme","系统主题"
"Terms of Service","服务条款"
"Theme","主题"
"Theme is set by the organization","主题由组织设定"
"This 2-step verification option requires native ZITADEL sign-in.","此两步验证选项需要使用原生 ZITADEL 登录。"
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","页面刷新后无法继续此注册。请在 ZITADEL 中继续以完成设置。"
"This reset link is no longer valid","此重置链接已失效"
"Try again","重试"
"UI demo","UI 演示"
"Unable to continue","无法继续"
"Unsupported method","不支持的方式"
"Use a code from Google Authenticator, Authy, or 1Password","使用来自 Google Authenticator、Authy 或 1Password 的验证码"
"Use a hardware security key (FIDO U2F)","使用硬件安全密钥 (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","使用 1Password、Google Authenticator 或 Aegis 等身份验证器应用生成 6 位验证码。"
"Use another method or account","使用其他方式或账号"
"Use your existing {provider} account to sign in","使用您现有的 {provider} 账号登录"
"Use your fingerprint, face, or device PIN","使用指纹、面部或设备 PIN 码"
"Username or email","用户名或邮箱"
"Valid reset-link form","有效的重置链接表单"
"Verification code","验证码"
"Verification codes will be sent to your account email address.","验证码将发送至您的账号邮箱地址。"
"Verification with {method} will be completed in the next update.","使用 {method} 验证将在下次更新中完成。"
"Verify","验证"
"Verify a TOTP code","验证 TOTP 验证码"
"Verify with a hardware key","使用硬件密钥验证"
"Verify with a passkey or biometric credential","使用 Passkey 或生物识别凭据验证"
"Verify with an enrolled passkey","使用已绑定的 Passkey 验证"
"Verify with {method}","使用 {method} 验证"
"Verifying...","正在验证..."
"You can set up 2-step verification for extra security or skip for now.","您可以设置两步验证以提高安全性，也可以暂时跳过。"
"Your password has expired. Set a new password to continue.","您的密码已过期。设置新密码以继续。"
"Your password must be changed before you continue.","您必须先修改密码才能继续。"
"Your password was changed","您的密码已修改"
"Your sign-in already satisfies 2-step verification policy.","您的登录已满足两步验证策略。"
and,和
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","此浏览器不支持 {method} 身份验证。请使用其他两步验证方式。"
"{method} not supported","不支持 {method}"
"2-Step verification challenge is temporarily unavailable.","两步验证挑战暂时不可用。"
"A new code has been sent.","新验证码已发送。"
"A new verification code was sent.","新的验证码已发送。"
"A new verification code was sent to your email address.","新的验证码已发送至您的邮箱地址。"
"A new verification code was sent to your mobile phone via SMS.","新的验证码已通过短信发送至您的手机。"
"Could not read current browser URL.","无法读取当前浏览器网址。"
"Email code accepted. Sign-in would continue.","邮件验证码已验证。登录将继续。"
"Email codes are set up. Enter the code sent to your email address, or resend it.","邮件验证码已设置。请输入发送至您邮箱地址的验证码，或重新发送。"
"Email codes are set up. Resend a code to continue.","邮件验证码已设置。重新发送验证码以继续。"
"Enter a new password.","输入新密码。"
"Enter a valid email address.","输入有效的邮箱地址。"
"Enter the complete 6-digit authenticator code.","输入完整的 6 位身份验证器验证码。"
"Enter the complete 6-digit code from your authenticator app.","输入身份验证器应用中的完整 6 位验证码。"
"Enter the complete verification code.","输入完整的验证码。"
"Enter the complete verification code (6 to 20 digits).","输入完整的验证码（6 到 20 位数字）。"
"Enter the email address for your account.","输入您账号的邮箱地址。"
"Enter your current password.","输入当前密码。"
"Enter your password.","输入密码。"
"Enter your username and password.","输入用户名和密码。"
"Enter your username or email address.","输入用户名或邮箱地址。"
"Failed to decode passkey challenge options.","无法解析 Passkey 挑战选项。"
"Failed to decode verification challenge options.","无法解析验证挑战选项。"
"Failed to process passkey response.","无法处理 Passkey 响应。"
"Failed to process verification response.","无法处理验证响应。"
"Failed to process the security key registration response.","无法处理安全密钥注册响应。"
"Interactive sign-in is not allowed for this request.","此请求不允许交互式登录。"
"Incorrect username or password.","用户名或密码错误。"
"Invalid account selection payload.","账号选择数据无效。"
"Invalid username or password.","用户名或密码无效。"
"Passkey authentication is not supported in this browser.","此浏览器不支持 Passkey 身份验证。"
"Passkey challenge is unavailable.","Passkey 挑战不可用。"
"Passkey challenge is temporarily unavailable.","Passkey 挑战暂时不可用。"
"Passkey sign-in is not supported in this browser.","此浏览器不支持 Passkey 登录。"
"Passkey sign-in is temporarily unavailable.","Passkey 登录暂时不可用。"
"Passkey sign-in security error. Please check domain or origin.","Passkey 登录出现安全错误。请检查域名或来源。"
"Passkey sign-in was canceled or timed out.","Passkey 登录已取消或超时。"
"Passkey sign-in failed. Please try again.","Passkey 登录失败。请重试。"
"Passkey ceremony would run in a real browser.","Passkey 流程将在真实浏览器中运行。"
"Password accepted. Sign-in would continue.","密码已验证。登录将继续。"
"Password changed. Next login step would render.","密码已修改。下一步登录界面将显示。"
"Password recovery is not available.","密码找回不可用。"
"Password recovery is temporarily unavailable. Please try again.","密码找回暂时不可用。请重试。"
"Password sign-in is temporarily unavailable.","密码登录暂时不可用。"
"Request verification failed.","请求验证失败。"
"Request verification failed. Please start again.","请求验证失败。请重新开始。"
"Return to the application and start sign-in again.","返回应用并重新开始登录。"
"Security key authentication is not supported in this browser.","此浏览器不支持安全密钥身份验证。"
"Security key registration failed. Please try again.","安全密钥注册失败。请重试。"
"Security key registration security error. Please check domain or origin.","安全密钥注册出现安全错误。请检查域名或来源。"
"Security key registration was canceled.","安全密钥注册已取消。"
"Security key registration was canceled or timed out.","安全密钥注册已取消或超时。"
"Sign-in could not be completed. Please try again.","无法完成登录。请重试。"
"Sign-in is temporarily unavailable. Please try again.","登录暂时不可用。请重试。"
"Some sign-in methods are temporarily unavailable.","部分登录方式暂时不可用。"
"Skipping 2-step verification is not allowed for this account.","此账号不允许跳过两步验证。"
"The code is invalid or expired.","验证码无效或已过期。"
"The passwords do not match.","两次输入的密码不一致。"
"The selected account is no longer valid.","所选账号已失效。"
"The setup code could not be displayed.","无法显示设置二维码。"
"The sign-in link contains unsupported state.","登录链接包含不受支持的状态。"
"The sign-in link is invalid.","登录链接无效。"
"The sign-in request is in an invalid state.","登录请求处于无效状态。"
"The sign-in request is no longer valid.","登录请求已失效。"
"The sign-in request was already completed.","登录请求已完成。"
"The sign-in session is invalid or has expired.","登录会话无效或已过期。"
"The sign-in service is temporarily unavailable.","登录服务暂时不可用。"
"The sign-in service returned an invalid response.","登录服务返回了无效响应。"
"The verification code has expired.","验证码已过期。"
"This device does not support the required registration options.","此设备不支持所需的注册选项。"
"This device is already registered for your account.","此设备已为您的账号注册。"
"This passkey is not supported or not registered on this device.","此 Passkey 不受支持，或未在此设备上注册。"
"This password does not meet the password policy.","此密码不符合密码策略。"
"This password recovery request has expired. Please start again.","此密码找回请求已过期。请重新开始。"
"This password reset link is invalid or has expired.","此密码重置链接无效或已过期。"
"This sign-in method is not available.","此登录方式不可用。"
"Too many recovery attempts. Please retry later.","找回尝试次数过多。请稍后重试。"
"Too many sign-in attempts. Please retry later.","登录尝试次数过多。请稍后重试。"
"Unable to load 2-Step Verification options.","无法加载两步验证选项。"
"Verification code sent to your email address.","验证码已发送至您的邮箱地址。"
"Verification code sent to your mobile phone via SMS.","验证码已通过短信发送至您的手机。"
"Would continue in ZITADEL.","将在 ZITADEL 中继续。"
"Would continue the signed-in session.","将继续当前已登录会话。"
"Would redirect to the identity provider.","将重定向至身份提供商。"
"Your current password is incorrect.","当前密码不正确。"
