english,pl
"Initial sign-in bootstrap","Wstępna inicjalizacja logowania"
"Invalid credentials message","Komunikat o nieprawidłowych danych logowania"
"Invalid reset link","Nieprawidłowy link do resetowania hasła"
"Jump to any screen or variant","Przejdź do dowolnego ekranu lub wariantu"
"Language","Język"
"Last used","Ostatnio używane"
"Legacy MFA-required fallback","Zastępczy ekran wymagania MFA"
"Light","Jasny"
"Light theme","Jasny motyw"
"Linking failed","Łączenie nie powiodło się"
"Loading","Ładowanie"
"Loading 2-step verification options...","Ładowanie opcji weryfikacji dwuetapowej..."
"Loading options","Ładowanie opcji"
"Loading password recovery...","Ładowanie odzyskiwania hasła..."
"Loading recovery","Ładowanie odzyskiwania"
"Loading sign-in...","Ładowanie logowania..."
"MFA","MFA"
"Method chooser","Wybór metody"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Dla tego konta wymagane jest uwierzytelnianie wieloskładnikowe (MFA). Obsługa MFA zostanie włączona w Zadaniu 5."
"Name (optional)","Nazwa (opcjonalnie)"
"Native fallback","Natywny tryb awaryjny"
"New password","Nowe hasło"
"Next","Dalej"
"No account linked","Brak połączonego konta"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Żadne konto ZITADEL nie jest połączone z tym kontem {provider}. Łączenie kont i samodzielna rejestracja nie są jeszcze włączone."
"No linked ZITADEL account","Brak powiązanego konta ZITADEL"
"Open any login screen with fake data. Actions stay inside /demo.","Otwórz dowolny ekran logowania z przykładowymi danymi. Działania pozostają w obrębie /demo."
"Optional 2-step verification","Opcjonalna weryfikacja dwuetapowa"
"Optional setup","Konfiguracja opcjonalna"
"Options failed","Nie udało się załadować opcji"
"Or choose a method","Lub wybierz metodę"
"Passkey","Klucz dostępu"
"Passkey factor","Składnik klucza dostępu"
"Passkey MFA placeholder","Zastępczy element MFA dla klucza dostępu"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Uwierzytelnianie kluczem dostępu nie jest obsługiwane w tej przeglądarce. Użyj innej metody logowania."
"Passkey not supported","Klucz dostępu nie jest obsługiwany"
"Passkey registration is not supported in this browser.","Rejestracja klucza dostępu nie jest obsługiwana w tej przeglądarce."
"Passkey setup unavailable","Konfiguracja klucza dostępu jest niedostępna"
"Passkey sign-in","Logowanie kluczem dostępu"
"Passkey unsupported","Klucz dostępu nieobsługiwany"
"Password","Hasło"
"Password error","Błąd hasła"
"Password expired","Hasło wygasło"
"Password MFA placeholder","Zastępczy element MFA dla hasła"
"Password recovery unavailable","Odzyskiwanie hasła jest niedostępne"
"Password sign-in","Logowanie hasłem"
"Password changed","Hasło zmienione"
"Pending email OTP verification","Oczekiwanie na weryfikację e-mail OTP"
"Policy already met","Zasady zostały już spełnione"
"Policy-required password change","Zmiana hasła wymagana przez zasady"
"Previous","Wstecz"
"Privacy Policy","Politykę prywatności"
"Provider failure","Błąd dostawcy"
"QR code for authenticator app setup","Kod QR do konfiguracji aplikacji uwierzytelniającej"
"Reauthentication required","Wymagane ponowne uwierzytelnienie"
"Receive a one-time code","Odbierz kod jednorazowy"
"Receive a one-time verification code via email","Otrzymaj jednorazowy kod weryfikacyjny przez e-mail"
"Receive a one-time verification code via SMS","Otrzymaj jednorazowy kod weryfikacyjny przez SMS"
"Recent accounts","Ostatnio używane konta"
"Recent accounts plus methods","Ostatnio używane konta i metody"
"Recovery","Odzyskiwanie"
"Recovery bootstrap spinner","Wskaźnik ładowania odzyskiwania"
"Recovery code verification requires native ZITADEL sign-in.","Weryfikacja kodem odzyskiwania wymaga natywnego logowania ZITADEL."
"Recovery unavailable","Odzyskiwanie niedostępne"
"Redirect after a completed sign-in","Przekierowanie po ukończonym logowaniu"
"Register a hardware key","Zarejestruj klucz sprzętowy"
"Register a hardware security key, then verify it once to continue.","Zarejestruj sprzętowy klucz bezpieczeństwa, a następnie zweryfikuj go raz, aby kontynuować."
"Register a new passkey","Zarejestruj nowy klucz dostępu"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Zarejestruj klucz dostępu za pomocą danych biometrycznych lub kodu PIN urządzenia, a następnie zweryfikuj go raz, aby kontynuować."
"Register security key","Zarejestruj klucz bezpieczeństwa"
"Registering...","Rejestrowanie..."
"Registration cannot be resumed","Rejestracja nie może zostać wznowiona"
"Registration failed","Rejestracja nie powiodła się"
"Remember this email","Zapamiętaj ten adres e-mail"
"Remember this identifier","Zapamiętaj ten identyfikator"
"Request reset","Poproś o zresetowanie"
"Required enrollment chooser","Wybór wymaganej rejestracji"
"Resend code","Wyślij kod ponownie"
"Resend code ({seconds}s)","Wyślij kod ponownie ({seconds}s)"
"Reset bootstrap spinner","Wskaźnik ładowania resetowania"
"Reset finished successfully","Resetowanie zakończone pomyślnie"
"Reset link sent","Link do resetowania hasła został wysłany"
"Reset your password","Zresetuj swoje hasło"
"Retry loading options","Spróbuj ponownie załadować opcje"
"SMS code","Kod SMS"
"SMS verification code","Kod weryfikacyjny SMS"
"Saving...","Zapisywanie..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Zeskanuj kod aplikacją uwierzytelniającą, a następnie wprowadź wyświetlony 6-cyfrowy kod."
"Screen directory","Katalog ekranów"
"Screens","Ekrany"
"Security key","Klucz bezpieczeństwa"
"Security key registration is not supported in this browser.","Rejestracja klucza bezpieczeństwa nie jest obsługiwana w tej przeglądarce."
"Security key unsupported","Klucz bezpieczeństwa nieobsługiwany"
"Select a method to set up 2-step verification for your account.","Wybierz metodę, aby skonfigurować weryfikację dwuetapową dla swojego konta."
"Select among enrolled methods","Wybierz spośród zarejestrowanych metod"
"Send SMS code","Wyślij kod SMS"
"Send a new code","Wyślij nowy kod"
"Send a verification code to your email address.","Wyślij kod weryfikacyjny na swój adres e-mail."
"Send a verification code to your mobile phone via SMS.","Wyślij kod weryfikacyjny na swój telefon komórkowy przez SMS."
"Send code","Wyślij kod"
"Send email code","Wyślij kod e-mail"
"Send reset link","Wyślij link do resetowania"
"Sending...","Wysyłanie..."
"Sending code...","Wysyłanie kodu..."
"Set new password","Ustaw nowe hasło"
"Set up 2-step verification","Skonfiguruj weryfikację dwuetapową"
"Set up a factor","Skonfiguruj składnik"
"Set up a passkey","Skonfiguruj klucz dostępu"
"Set up a security key","Skonfiguruj klucz bezpieczeństwa"
"Set up authenticator","Skonfiguruj aplikację uwierzytelniającą"
"Set up authenticator app","Skonfiguruj aplikację uwierzytelniającą"
"Set up email codes","Skonfiguruj kody e-mail"
"Set up {method}","Skonfiguruj {method}"
"Setting up...","Konfigurowanie..."
"Setup key (if you cannot scan)","Klucz konfiguracyjny (jeśli nie możesz zeskanować)"
"Show","Pokaż"
"Show password","Pokaż hasło"
"Show setup key","Pokaż klucz konfiguracyjny"
"Sidebar","Pasek boczny"
"Sign in","Zaloguj się"
"Sign in with a passkey","Zaloguj się kluczem dostępu"
"Sign in with passkey","Zaloguj się kluczem dostępu"
"Sign in with password","Zaloguj się hasłem"
"Sign in with your new password to continue.","Zaloguj się nowym hasłem, aby kontynuować."
"Sign in with {provider}","Zaloguj się przez {provider}"
"Sign in with {provider} was not completed. Please try again.","Logowanie przez {provider} nie zostało ukończone. Spróbuj ponownie."
"Sign-in was not completed","Logowanie nie zostało ukończone"
"Signing in...","Logowanie..."
"Skip for now","Pomiń na razie"
"Skip or enroll a method","Pomiń lub zarejestruj metodę"
"Skipping...","Pomijanie..."
"Start TOTP enrollment","Rozpocznij rejestrację TOTP"
"Start an external provider","Uruchom zewnętrznego dostawcę"
"Start email-code sign-in","Rozpocznij logowanie kodem e-mail"
"Start setup","Rozpocznij konfigurację"
"Start sign-in again","Rozpocznij logowanie ponownie"
"Starting setup...","Rozpoczynanie konfiguracji..."
"Supported browser, identifier first","Obsługiwana przeglądarka, najpierw identyfikator"
"System","Systemowy"
"System theme","Motyw systemowy"
"Terms of Service","Warunki korzystania z usługi"
"Theme","Motyw"
"Theme is set by the organization","Motyw jest ustalany przez organizację"
"This 2-step verification option requires native ZITADEL sign-in.","Ta opcja weryfikacji dwuetapowej wymaga natywnego logowania ZITADEL."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Tej rejestracji nie można wznowić po odświeżeniu strony. Kontynuuj w ZITADEL, aby dokończyć konfigurację."
"This reset link is no longer valid","Ten link do resetowania hasła nie jest już ważny"
"Try again","Spróbuj ponownie"
"UI demo","Wersja demonstracyjna interfejsu"
"Unable to continue","Nie można kontynuować"
"Unsupported method","Nieobsługiwana metoda"
"Use a code from Google Authenticator, Authy, or 1Password","Użyj kodu z aplikacji Google Authenticator, Authy lub 1Password"
"Use a hardware security key (FIDO U2F)","Użyj sprzętowego klucza bezpieczeństwa (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Użyj aplikacji uwierzytelniającej, takiej jak 1Password, Google Authenticator lub Aegis, aby generować 6-cyfrowe kody."
"Use another method or account","Użyj innej metody lub innego konta"
"Use your existing {provider} account to sign in","Użyj swojego istniejącego konta {provider}, aby się zalogować"
"Use your fingerprint, face, or device PIN","Użyj odcisku palca, rozpoznawania twarzy lub kodu PIN urządzenia"
"Username or email","Nazwa użytkownika lub e-mail"
"Valid reset-link form","Prawidłowy formularz linku resetującego"
"Verification code","Kod weryfikacyjny"
"Verification codes will be sent to your account email address.","Kody weryfikacyjne będą wysyłane na adres e-mail Twojego konta."
"Verification with {method} will be completed in the next update.","Weryfikacja za pomocą metody {method} będzie dostępna w następnej aktualizacji."
"Verify","Zweryfikuj"
"Verify a TOTP code","Zweryfikuj kod TOTP"
"Verify with a hardware key","Zweryfikuj kluczem sprzętowym"
"Verify with a passkey or biometric credential","Zweryfikuj kluczem dostępu lub danymi biometrycznymi"
"Verify with an enrolled passkey","Zweryfikuj zarejestrowanym kluczem dostępu"
"Verify with {method}","Zweryfikuj za pomocą {method}"
"Verifying...","Weryfikowanie..."
"You can set up 2-step verification for extra security or skip for now.","Możesz skonfigurować weryfikację dwuetapową dla dodatkowego bezpieczeństwa lub pominąć ten krok na razie."
"Your password has expired. Set a new password to continue.","Twoje hasło wygasło. Ustaw nowe hasło, aby kontynuować."
"Your password must be changed before you continue.","Twoje hasło musi zostać zmienione przed kontynuowaniem."
"Your password was changed","Twoje hasło zostało zmienione"
"Your sign-in already satisfies 2-step verification policy.","Twoje logowanie spełnia już zasady weryfikacji dwuetapowej."
and,i
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","Uwierzytelnianie za pomocą metody {method} nie jest obsługiwane w tej przeglądarce. Użyj innej metody weryfikacji dwuetapowej."
"{method} not supported","{method} nie jest obsługiwana"
"2-Step verification challenge is temporarily unavailable.","Wyzwanie weryfikacji dwuetapowej jest tymczasowo niedostępne."
"A new code has been sent.","Nowy kod został wysłany."
"A new verification code was sent.","Nowy kod weryfikacyjny został wysłany."
"A new verification code was sent to your email address.","Nowy kod weryfikacyjny został wysłany na Twój adres e-mail."
"A new verification code was sent to your mobile phone via SMS.","Nowy kod weryfikacyjny został wysłany na Twój telefon komórkowy przez SMS."
"Could not read current browser URL.","Nie udało się odczytać bieżącego adresu URL przeglądarki."
"Email code accepted. Sign-in would continue.","Kod e-mail został zaakceptowany. Nastąpiłaby kontynuacja logowania."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Kody e-mail są skonfigurowane. Wprowadź kod wysłany na Twój adres e-mail lub wyślij go ponownie."
"Email codes are set up. Resend a code to continue.","Kody e-mail są skonfigurowane. Wyślij kod ponownie, aby kontynuować."
"Enter a new password.","Wprowadź nowe hasło."
"Enter a valid email address.","Wprowadź prawidłowy adres e-mail."
"Enter the complete 6-digit authenticator code.","Wprowadź pełny 6-cyfrowy kod uwierzytelniający."
"Enter the complete 6-digit code from your authenticator app.","Wprowadź pełny 6-cyfrowy kod ze swojej aplikacji uwierzytelniającej."
"Enter the complete verification code.","Wprowadź pełny kod weryfikacyjny."
"Enter the complete verification code (6 to 20 digits).","Wprowadź pełny kod weryfikacyjny (od 6 do 20 cyfr)."
"Enter the email address for your account.","Wprowadź adres e-mail swojego konta."
"Enter your current password.","Wprowadź swoje bieżące hasło."
"Enter your password.","Wprowadź swoje hasło."
"Enter your username and password.","Wprowadź swoją nazwę użytkownika i hasło."
"Enter your username or email address.","Wprowadź swoją nazwę użytkownika lub adres e-mail."
"Failed to decode passkey challenge options.","Nie udało się zdekodować opcji wyzwania klucza dostępu."
"Failed to decode verification challenge options.","Nie udało się zdekodować opcji wyzwania weryfikacyjnego."
"Failed to process passkey response.","Nie udało się przetworzyć odpowiedzi klucza dostępu."
"Failed to process verification response.","Nie udało się przetworzyć odpowiedzi weryfikacyjnej."
"Failed to process the security key registration response.","Nie udało się przetworzyć odpowiedzi rejestracji klucza bezpieczeństwa."
"Interactive sign-in is not allowed for this request.","Logowanie interaktywne nie jest dozwolone dla tego żądania."
"Incorrect username or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Invalid account selection payload.","Nieprawidłowe dane wyboru konta."
"Invalid username or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"Passkey authentication is not supported in this browser.","Uwierzytelnianie kluczem dostępu nie jest obsługiwane w tej przeglądarce."
"Passkey challenge is unavailable.","Wyzwanie klucza dostępu jest niedostępne."
"Passkey challenge is temporarily unavailable.","Wyzwanie klucza dostępu jest tymczasowo niedostępne."
"Passkey sign-in is not supported in this browser.","Logowanie kluczem dostępu nie jest obsługiwane w tej przeglądarce."
"Passkey sign-in is temporarily unavailable.","Logowanie kluczem dostępu jest tymczasowo niedostępne."
"Passkey sign-in security error. Please check domain or origin.","Błąd bezpieczeństwa logowania kluczem dostępu. Sprawdź domenę lub źródło."
"Passkey sign-in was canceled or timed out.","Logowanie kluczem dostępu zostało anulowane lub upłynął limit czasu."
"Passkey sign-in failed. Please try again.","Logowanie kluczem dostępu nie powiodło się. Spróbuj ponownie."
"Passkey ceremony would run in a real browser.","Procedura klucza dostępu zostałaby uruchomiona w prawdziwej przeglądarce."
"Password accepted. Sign-in would continue.","Hasło zostało zaakceptowane. Nastąpiłaby kontynuacja logowania."
"Password changed. Next login step would render.","Hasło zostało zmienione. Wyświetliłby się kolejny krok logowania."
"Password recovery is not available.","Odzyskiwanie hasła jest niedostępne."
"Password recovery is temporarily unavailable. Please try again.","Odzyskiwanie hasła jest tymczasowo niedostępne. Spróbuj ponownie."
"Password sign-in is temporarily unavailable.","Logowanie hasłem jest tymczasowo niedostępne."
"Request verification failed.","Weryfikacja żądania nie powiodła się."
"Request verification failed. Please start again.","Weryfikacja żądania nie powiodła się. Rozpocznij ponownie."
"Return to the application and start sign-in again.","Wróć do aplikacji i rozpocznij logowanie ponownie."
"Security key authentication is not supported in this browser.","Uwierzytelnianie kluczem bezpieczeństwa nie jest obsługiwane w tej przeglądarce."
"Security key registration failed. Please try again.","Rejestracja klucza bezpieczeństwa nie powiodła się. Spróbuj ponownie."
"Security key registration security error. Please check domain or origin.","Błąd bezpieczeństwa rejestracji klucza bezpieczeństwa. Sprawdź domenę lub źródło."
"Security key registration was canceled.","Rejestracja klucza bezpieczeństwa została anulowana."
"Security key registration was canceled or timed out.","Rejestracja klucza bezpieczeństwa została anulowana lub upłynął limit czasu."
"Sign-in could not be completed. Please try again.","Nie udało się ukończyć logowania. Spróbuj ponownie."
"Sign-in is temporarily unavailable. Please try again.","Logowanie jest tymczasowo niedostępne. Spróbuj ponownie."
"Some sign-in methods are temporarily unavailable.","Niektóre metody logowania są tymczasowo niedostępne."
"Skipping 2-step verification is not allowed for this account.","Pominięcie weryfikacji dwuetapowej nie jest dozwolone dla tego konta."
"The code is invalid or expired.","Kod jest nieprawidłowy lub wygasł."
"The passwords do not match.","Hasła nie są zgodne."
"The selected account is no longer valid.","Wybrane konto nie jest już ważne."
"The setup code could not be displayed.","Nie udało się wyświetlić kodu konfiguracji."
"The sign-in link contains unsupported state.","Link do logowania zawiera nieobsługiwany stan."
"The sign-in link is invalid.","Link do logowania jest nieprawidłowy."
"The sign-in request is in an invalid state.","Żądanie logowania jest w nieprawidłowym stanie."
"The sign-in request is no longer valid.","Żądanie logowania nie jest już ważne."
"The sign-in request was already completed.","Żądanie logowania zostało już ukończone."
"The sign-in session is invalid or has expired.","Sesja logowania jest nieprawidłowa lub wygasła."
"The sign-in service is temporarily unavailable.","Usługa logowania jest tymczasowo niedostępna."
"The sign-in service returned an invalid response.","Usługa logowania zwróciła nieprawidłową odpowiedź."
"The verification code has expired.","Kod weryfikacyjny wygasł."
"This device does not support the required registration options.","To urządzenie nie obsługuje wymaganych opcji rejestracji."
"This device is already registered for your account.","To urządzenie jest już zarejestrowane dla Twojego konta."
"This passkey is not supported or not registered on this device.","Ten klucz dostępu nie jest obsługiwany lub nie jest zarejestrowany na tym urządzeniu."
"This password does not meet the password policy.","To hasło nie spełnia zasad dotyczących haseł."
"This password recovery request has expired. Please start again.","To żądanie odzyskania hasła wygasło. Rozpocznij ponownie."
"This password reset link is invalid or has expired.","Ten link do resetowania hasła jest nieprawidłowy lub wygasł."
"This sign-in method is not available.","Ta metoda logowania jest niedostępna."
"Too many recovery attempts. Please retry later.","Zbyt wiele prób odzyskania hasła. Spróbuj ponownie później."
"Too many sign-in attempts. Please retry later.","Zbyt wiele prób logowania. Spróbuj ponownie później."
"Unable to load 2-Step Verification options.","Nie można załadować opcji weryfikacji dwuetapowej."
"Verification code sent to your email address.","Kod weryfikacyjny został wysłany na Twój adres e-mail."
"Verification code sent to your mobile phone via SMS.","Kod weryfikacyjny został wysłany na Twój telefon komórkowy przez SMS."
"Would continue in ZITADEL.","Nastąpiłaby kontynuacja w ZITADEL."
"Would continue the signed-in session.","Nastąpiłaby kontynuacja zalogowanej sesji."
"Would redirect to the identity provider.","Nastąpiłoby przekierowanie do dostawcy tożsamości."
"Your current password is incorrect.","Twoje bieżące hasło jest nieprawidłowe."
