english,it
"Could not link account","Impossibile collegare l'account"
"Could not link the account","Impossibile collegare l'account"
"Could not register the account","Impossibile registrare l'account"
"Create passkey","Crea passkey"
"Current password","Password attuale"
"Dark","Scuro"
"Dark theme","Tema scuro"
"Demo chrome","Controlli demo"
"Demo screens","Schermate demo"
"Directory","Elenco"
"Email OTP","OTP via email"
"Email address","Indirizzo email"
"Email code","Codice via email"
"Email verification code","Codice di verifica via email"
"Enroll email OTP","Registra OTP via email"
"Enrollment cannot be resumed","Impossibile riprendere la registrazione"
"Enter 6 digits.","Inserisci 6 cifre."
"Enter 6 to 20 digits.","Inserisci da 6 a 20 cifre."
"Enter the 6-20 digit code sent to your email address.","Inserisci il codice da 6 a 20 cifre inviato al tuo indirizzo email."
"Enter the 6-20 digit code sent to your mobile phone.","Inserisci il codice da 6 a 20 cifre inviato al tuo cellulare."
"Enter the 6-digit code from your authenticator app.","Inserisci il codice a 6 cifre della tua app di autenticazione."
"Enter the code sent for {email}.","Inserisci il codice inviato a {email}."
"Enter code","Inserisci codice"
"Enter email","Inserisci email"
"Enter email code","Inserisci codice email"
"Enter email for a reset link","Inserisci l'email per il link di reimpostazione"
"Enter your email","Inserisci la tua email"
"Expired or already used","Scaduto o già utilizzato"
"Expired-password change","Modifica password scaduta"
"Fallback","Fallback"
"Fatal initialization error","Errore irreversibile di inizializzazione"
"Fetching 2-step choices","Recupero opzioni di verifica in due passaggi"
"Forgot password?","Password dimenticata?"
"GitHub","GitHub"
"GitHub project","Progetto GitHub"
"Helps you recognize this device later.","Ti aiuta a riconoscere questo dispositivo in seguito."
"Hide","Nascondi"
"Hide password","Nascondi password"
"Hide screens","Nascondi schermate"
"Hide setup key","Nascondi chiave di configurazione"
"Identifier and password","Identificativo e password"
"Identity provider","Provider di identità"
"If an account matches that email address, we sent a password reset link.","Se un account corrisponde a tale indirizzo email, abbiamo inviato un link per reimpostare la password."
"Initial sign-in bootstrap","Inizializzazione dell'accesso"
"Invalid credentials message","Messaggio credenziali non valide"
"Invalid reset link","Link di reimpostazione non valido"
"Jump to any screen or variant","Passa a qualsiasi schermata o variante"
"Language","Lingua"
"Last used","Usato di recente"
"Legacy MFA-required fallback","Fallback per MFA richiesta (legacy)"
"Light","Chiaro"
"Light theme","Tema chiaro"
"Linking failed","Collegamento non riuscito"
"Loading","Caricamento"
"Loading 2-step verification options...","Caricamento opzioni di verifica in due passaggi..."
"Loading options","Caricamento opzioni"
"Loading password recovery...","Caricamento recupero password..."
"Loading recovery","Caricamento recupero"
"Loading sign-in...","Caricamento accesso..."
"MFA","MFA"
"Method chooser","Selettore del metodo"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","L'autenticazione a più fattori (MFA) è richiesta per questo account. Il supporto MFA sarà abilitato nell'Attività 5."
"Name (optional)","Nome (facoltativo)"
"Native fallback","Fallback nativo"
"New password","Nuova password"
"Next","Avanti"
"No account linked","Nessun account collegato"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Nessun account ZITADEL è collegato a questo account {provider}. Il collegamento dell'account e l'autoregistrazione non sono ancora abilitati."
"No linked ZITADEL account","Nessun account ZITADEL collegato"
"Open any login screen with fake data. Actions stay inside /demo.","Apri qualsiasi schermata di accesso con dati fittizi. Le azioni rimangono all'interno di /demo."
"Optional 2-step verification","Verifica in due passaggi facoltativa"
"Optional setup","Configurazione facoltativa"
"Options failed","Caricamento opzioni non riuscito"
"Or choose a method","Oppure scegli un metodo"
"Passkey","Passkey"
"Passkey factor","Fattore passkey"
"Passkey MFA placeholder","Segnaposto MFA passkey"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","L'autenticazione tramite passkey non è supportata in questo browser. Usa un altro metodo di accesso."
"Passkey not supported","Passkey non supportata"
"Passkey registration is not supported in this browser.","La registrazione della passkey non è supportata in questo browser."
"Passkey setup unavailable","Configurazione passkey non disponibile"
"Passkey sign-in","Accesso con passkey"
"Passkey unsupported","Passkey non supportata"
"Password","Password"
"Password error","Errore password"
"Password expired","Password scaduta"
"Password MFA placeholder","Segnaposto MFA password"
"Password recovery unavailable","Recupero password non disponibile"
"Password sign-in","Accesso con password"
"Password changed","Password modificata"
"Pending email OTP verification","Verifica OTP via email in sospeso"
"Policy already met","Criteri già soddisfatti"
"Policy-required password change","Modifica password richiesta dai criteri"
"Previous","Indietro"
"Privacy Policy","l'Informativa sulla privacy"
"Provider failure","Errore del provider"
"QR code for authenticator app setup","Codice QR per la configurazione dell'app di autenticazione"
"Reauthentication required","Riautenticazione richiesta"
"Receive a one-time code","Ricevi un codice monouso"
"Receive a one-time verification code via email","Ricevi un codice di verifica monouso via email"
"Receive a one-time verification code via SMS","Ricevi un codice di verifica monouso via SMS"
"Recent accounts","Account recenti"
"Recent accounts plus methods","Account recenti e metodi"
"Recovery","Recupero"
"Recovery bootstrap spinner","Indicatore di caricamento del recupero"
"Recovery code verification requires native ZITADEL sign-in.","La verifica del codice di recupero richiede l'accesso nativo ZITADEL."
"Recovery unavailable","Recupero non disponibile"
"Redirect after a completed sign-in","Reindirizzamento dopo un accesso completato"
"Register a hardware key","Registra una chiave hardware"
"Register a hardware security key, then verify it once to continue.","Registra una chiave di sicurezza hardware, quindi verificala una volta per continuare."
"Register a new passkey","Registra una nuova passkey"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Registra una passkey con dati biometrici o un PIN del dispositivo, quindi verificala una volta per continuare."
"Register security key","Registra chiave di sicurezza"
"Registering...","Registrazione in corso..."
"Registration cannot be resumed","Impossibile riprendere la registrazione"
"Registration failed","Registrazione non riuscita"
"Remember this email","Ricorda questa email"
"Remember this identifier","Ricorda questo identificativo"
"Request reset","Richiedi reimpostazione"
"Required enrollment chooser","Selettore di registrazione obbligatoria"
"Resend code","Invia di nuovo il codice"
"Resend code ({seconds}s)","Invia di nuovo il codice ({seconds}s)"
"Reset bootstrap spinner","Indicatore di caricamento della reimpostazione"
"Reset finished successfully","Reimpostazione completata con successo"
"Reset link sent","Link di reimpostazione inviato"
"Reset your password","Reimposta la tua password"
"Retry loading options","Riprova a caricare le opzioni"
"SMS code","Codice SMS"
"SMS verification code","Codice di verifica SMS"
"Saving...","Salvataggio in corso..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Scansiona il codice con la tua app di autenticazione, quindi inserisci il codice a 6 cifre visualizzato."
"Screen directory","Elenco schermate"
"Screens","Schermate"
"Security key","Chiave di sicurezza"
"Security key registration is not supported in this browser.","La registrazione della chiave di sicurezza non è supportata in questo browser."
"Security key unsupported","Chiave di sicurezza non supportata"
"Select a method to set up 2-step verification for your account.","Seleziona un metodo per impostare la verifica in due passaggi per il tuo account."
"Select among enrolled methods","Seleziona tra i metodi registrati"
"Send SMS code","Invia codice SMS"
"Send a new code","Invia un nuovo codice"
"Send a verification code to your email address.","Invia un codice di verifica al tuo indirizzo email."
"Send a verification code to your mobile phone via SMS.","Invia un codice di verifica al tuo cellulare tramite SMS."
"Send code","Invia codice"
"Send email code","Invia codice email"
"Send reset link","Invia link di reimpostazione"
"Sending...","Invio in corso..."
"Sending code...","Invio codice in corso..."
"Set new password","Imposta una nuova password"
"Set up 2-step verification","Imposta la verifica in due passaggi"
"Set up a factor","Imposta un fattore"
"Set up a passkey","Imposta una passkey"
"Set up a security key","Imposta una chiave di sicurezza"
"Set up authenticator","Imposta app di autenticazione"
"Set up authenticator app","Imposta app di autenticazione"
"Set up email codes","Imposta codici via email"
"Set up {method}","Imposta {method}"
"Setting up...","Configurazione in corso..."
"Setup key (if you cannot scan)","Chiave di configurazione (se non riesci a scansionare)"
"Show","Mostra"
"Show password","Mostra password"
"Show setup key","Mostra chiave di configurazione"
"Sidebar","Barra laterale"
"Sign in","Accedi"
"Sign in with a passkey","Accedi con una passkey"
"Sign in with passkey","Accedi con passkey"
"Sign in with password","Accedi con password"
"Sign in with your new password to continue.","Accedi con la tua nuova password per continuare."
"Sign in with {provider}","Accedi con {provider}"
"Sign in with {provider} was not completed. Please try again.","L'accesso con {provider} non è stato completato. Riprova."
"Sign-in was not completed","L'accesso non è stato completato"
"Signing in...","Accesso in corso..."
"Skip for now","Salta per ora"
"Skip or enroll a method","Salta o registra un metodo"
"Skipping...","Salto in corso..."
"Start TOTP enrollment","Avvia registrazione TOTP"
"Start an external provider","Avvia un provider esterno"
"Start email-code sign-in","Avvia l'accesso con codice email"
"Start setup","Avvia configurazione"
"Start sign-in again","Ricomincia l'accesso"
"Starting setup...","Avvio configurazione in corso..."
"Supported browser, identifier first","Browser supportato, prima l'identificativo"
"System","Sistema"
"System theme","Tema di sistema"
"Terms of Service","Termini di servizio"
"Theme","Tema"
"Theme is set by the organization","Il tema è impostato dall'organizzazione"
"This 2-step verification option requires native ZITADEL sign-in.","Questa opzione di verifica in due passaggi richiede l'accesso nativo ZITADEL."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Questa registrazione non può essere ripresa dopo una ricarica. Continua in ZITADEL per completare la configurazione."
"This reset link is no longer valid","Questo link di reimpostazione non è più valido"
"Try again","Riprova"
"UI demo","Demo UI"
"Unable to continue","Impossibile continuare"
"Unsupported method","Metodo non supportato"
"Use a code from Google Authenticator, Authy, or 1Password","Usa un codice da Google Authenticator, Authy o 1Password"
"Use a hardware security key (FIDO U2F)","Usa una chiave di sicurezza hardware (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Usa un'app di autenticazione come 1Password, Google Authenticator o Aegis per generare codici a 6 cifre."
"Use another method or account","Usa un altro metodo o account"
"Use your fingerprint, face, or device PIN","Usa l'impronta digitale, il volto o il PIN del dispositivo"
"Username or email","Nome utente o email"
"Valid reset-link form","Modulo link di reimpostazione valido"
"Verification code","Codice di verifica"
"Verification codes will be sent to your account email address.","I codici di verifica verranno inviati all'indirizzo email del tuo account."
"Verification with {method} will be completed in the next update.","La verifica con {method} sarà completata nel prossimo aggiornamento."
"Verify","Verifica"
"Verify a TOTP code","Verifica un codice TOTP"
"Verify with a hardware key","Verifica con una chiave hardware"
"Verify with a passkey or biometric credential","Verifica con una passkey o una credenziale biometrica"
"Verify with an enrolled passkey","Verifica con una passkey registrata"
"Verify with {method}","Verifica con {method}"
"Verifying...","Verifica in corso..."
"You can set up 2-step verification for extra security or skip for now.","Puoi impostare la verifica in due passaggi per maggiore sicurezza o saltare per ora."
"Your password has expired. Set a new password to continue.","La tua password è scaduta. Imposta una nuova password per continuare."
"Your password must be changed before you continue.","La password deve essere modificata prima di continuare."
"Your password was changed","La password è stata modificata"
"Your sign-in already satisfies 2-step verification policy.","Il tuo accesso soddisfa già i criteri di verifica in due passaggi."
and,e
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","L'autenticazione con {method} non è supportata in questo browser. Usa un altro metodo di verifica in due passaggi."
"{method} not supported","{method} non supportato"
"2-Step verification challenge is temporarily unavailable.","La richiesta di verifica in due passaggi è temporaneamente non disponibile."
"A new code has been sent.","È stato inviato un nuovo codice."
"A new verification code was sent.","È stato inviato un nuovo codice di verifica."
"A new verification code was sent to your email address.","È stato inviato un nuovo codice di verifica al tuo indirizzo email."
"A new verification code was sent to your mobile phone via SMS.","È stato inviato un nuovo codice di verifica al tuo cellulare tramite SMS."
"Could not read current browser URL.","Impossibile leggere l'URL corrente del browser."
"Email code accepted. Sign-in would continue.","Codice email accettato. L'accesso proseguirebbe."
"Email codes are set up. Enter the code sent to your email address, or resend it.","I codici via email sono configurati. Inserisci il codice inviato al tuo indirizzo email o invialo di nuovo."
"Email codes are set up. Resend a code to continue.","I codici via email sono configurati. Invia di nuovo un codice per continuare."
"Enter a new password.","Inserisci una nuova password."
"Enter a valid email address.","Inserisci un indirizzo email valido."
"Enter the complete 6-digit authenticator code.","Inserisci il codice a 6 cifre completo dell'app di autenticazione."
"Enter the complete 6-digit code from your authenticator app.","Inserisci il codice a 6 cifre completo della tua app di autenticazione."
"Enter the complete verification code.","Inserisci il codice di verifica completo."
"Enter the complete verification code (6 to 20 digits).","Inserisci il codice di verifica completo (da 6 a 20 cifre)."
"Enter the email address for your account.","Inserisci l'indirizzo email del tuo account."
"Enter your current password.","Inserisci la tua password attuale."
"Enter your password.","Inserisci la password."
"Enter your username and password.","Inserisci il tuo nome utente e la password."
"Enter your username or email address.","Inserisci il tuo nome utente o l'indirizzo email."
"Failed to decode passkey challenge options.","Impossibile decodificare le opzioni della richiesta di verifica della passkey."
"Failed to decode verification challenge options.","Impossibile decodificare le opzioni della richiesta di verifica."
"Failed to process passkey response.","Impossibile elaborare la risposta della passkey."
"Failed to process verification response.","Impossibile elaborare la risposta di verifica."
"Failed to process the security key registration response.","Impossibile elaborare la risposta di registrazione della chiave di sicurezza."
"Interactive sign-in is not allowed for this request.","L'accesso interattivo non è consentito per questa richiesta."
"Incorrect username or password.","Nome utente o password non corretti."
"Invalid account selection payload.","Payload di selezione dell'account non valido."
"Invalid username or password.","Nome utente o password non validi."
"Passkey authentication is not supported in this browser.","L'autenticazione tramite passkey non è supportata in questo browser."
"Passkey challenge is unavailable.","La richiesta di verifica con passkey non è disponibile."
"Passkey challenge is temporarily unavailable.","La richiesta di verifica con passkey è temporaneamente non disponibile."
"Passkey sign-in is not supported in this browser.","L'accesso con passkey non è supportato in questo browser."
"Passkey sign-in is temporarily unavailable.","L'accesso con passkey è temporaneamente non disponibile."
"Passkey sign-in security error. Please check domain or origin.","Errore di sicurezza durante l'accesso con passkey. Verifica il dominio o l'origine."
"Passkey sign-in was canceled or timed out.","L'accesso con passkey è stato annullato o è scaduto."
"Passkey sign-in failed. Please try again.","Accesso con passkey non riuscito. Riprova."
"Passkey ceremony would run in a real browser.","La procedura con passkey verrebbe eseguita in un browser reale."
"Password accepted. Sign-in would continue.","Password accettata. L'accesso proseguirebbe."
"Password changed. Next login step would render.","Password modificata. Verrebbe visualizzato il passaggio successivo di accesso."
"Password recovery is not available.","Il recupero password non è disponibile."
"Password recovery is temporarily unavailable. Please try again.","Il recupero password è temporaneamente non disponibile. Riprova."
"Password sign-in is temporarily unavailable.","L'accesso con password è temporaneamente non disponibile."
"Request verification failed.","Verifica della richiesta non riuscita."
"Request verification failed. Please start again.","Verifica della richiesta non riuscita. Ricomincia."
"Return to the application and start sign-in again.","Torna all'applicazione e ricomincia l'accesso."
"Security key authentication is not supported in this browser.","L'autenticazione tramite chiave di sicurezza non è supportata in questo browser."
"Security key registration failed. Please try again.","Registrazione della chiave di sicurezza non riuscita. Riprova."
"Security key registration security error. Please check domain or origin.","Errore di sicurezza durante la registrazione della chiave di sicurezza. Verifica il dominio o l'origine."
"Security key registration was canceled.","La registrazione della chiave di sicurezza è stata annullata."
"Security key registration was canceled or timed out.","La registrazione della chiave di sicurezza è stata annullata o è scaduta."
"Sign-in could not be completed. Please try again.","Impossibile completare l'accesso. Riprova."
"Sign-in is temporarily unavailable. Please try again.","L'accesso è temporaneamente non disponibile. Riprova."
"Some sign-in methods are temporarily unavailable.","Alcuni metodi di accesso sono temporaneamente non disponibili."
"Skipping 2-step verification is not allowed for this account.","Il salto della verifica in due passaggi non è consentito per questo account."
"The code is invalid or expired.","Il codice non è valido o è scaduto."
"The passwords do not match.","Le password non corrispondono."
"The selected account is no longer valid.","L'account selezionato non è più valido."
"The setup code could not be displayed.","Impossibile visualizzare il codice di configurazione."
"The sign-in link contains unsupported state.","Il link di accesso contiene uno stato non supportato."
"The sign-in link is invalid.","Il link di accesso non è valido."
"The sign-in request is in an invalid state.","La richiesta di accesso si trova in uno stato non valido."
"The sign-in request is no longer valid.","La richiesta di accesso non è più valida."
"The sign-in request was already completed.","La richiesta di accesso è già stata completata."
"The sign-in session is invalid or has expired.","La sessione di accesso non è valida o è scaduta."
"The sign-in service is temporarily unavailable.","Il servizio di accesso è temporaneamente non disponibile."
"The sign-in service returned an invalid response.","Il servizio di accesso ha restituito una risposta non valida."
"The verification code has expired.","Il codice di verifica è scaduto."
"This device does not support the required registration options.","Questo dispositivo non supporta le opzioni di registrazione richieste."
"This device is already registered for your account.","Questo dispositivo è già registrato per il tuo account."
"This passkey is not supported or not registered on this device.","Questa passkey non è supportata o non è registrata su questo dispositivo."
"This password does not meet the password policy.","Questa password non soddisfa i criteri relativi alla password."
"This password recovery request has expired. Please start again.","Questa richiesta di recupero password è scaduta. Ricomincia."
"This password reset link is invalid or has expired.","Questo link di reimpostazione della password non è valido o è scaduto."
"This sign-in method is not available.","Questo metodo di accesso non è disponibile."
"Too many recovery attempts. Please retry later.","Troppi tentativi di recupero. Riprova più tardi."
"Too many sign-in attempts. Please retry later.","Troppi tentativi di accesso. Riprova più tardi."
"Unable to load 2-Step Verification options.","Impossibile caricare le opzioni di verifica in due passaggi."
"Verification code sent to your email address.","Codice di verifica inviato al tuo indirizzo email."
"Verification code sent to your mobile phone via SMS.","Codice di verifica inviato al tuo cellulare tramite SMS."
"Would continue in ZITADEL.","Proseguirebbe in ZITADEL."
"Would continue the signed-in session.","Proseguirebbe la sessione di accesso."
"Would redirect to the identity provider.","Reindirizzerebbe al provider di identità."
"Your current password is incorrect.","La password attuale non è corretta."
