english,uk
"Could not register the account","Не вдалося зареєструвати обліковий запис"
"Create passkey","Створити ключ доступу"
"Current password","Поточний пароль"
"Dark","Темна"
"Dark theme","Темна тема"
"Demo chrome","Демонстраційна панель"
"Demo screens","Демонстраційні екрани"
"Directory","Каталог"
"Email OTP","Email OTP"
"Email address","Електронна адреса"
"Email code","Код з електронної пошти"
"Email verification code","Код підтвердження електронної пошти"
"Enroll email OTP","Зареєструвати Email OTP"
"Enrollment cannot be resumed","Неможливо відновити реєстрацію"
"Enter 6 digits.","Введіть 6 цифр."
"Enter 6 to 20 digits.","Введіть від 6 до 20 цифр."
"Enter the 6-20 digit code sent to your email address.","Введіть 6–20-значний код, надісланий на вашу електронну адресу."
"Enter the 6-20 digit code sent to your mobile phone.","Введіть 6–20-значний код, надісланий на ваш мобільний телефон."
"Enter the 6-digit code from your authenticator app.","Введіть 6-значний код із застосунку для автентифікації."
"Enter the code sent for {email}.","Введіть код, надісланий для {email}."
"Enter code","Введіть код"
"Enter email","Введіть електронну пошту"
"Enter email code","Введіть код з електронної пошти"
"Enter email for a reset link","Введіть електронну адресу для посилання на скидання"
"Enter your email","Введіть свою електронну пошту"
"Expired or already used","Термін дії минув або вже використано"
"Expired-password change","Зміна простроченого пароля"
"Fallback","Резервний варіант"
"Fatal initialization error","Критична помилка ініціалізації"
"Fetching 2-step choices","Отримання варіантів двоетапної перевірки"
"Forgot password?","Забули пароль?"
"GitHub","GitHub"
"GitHub project","Проєкт GitHub"
"Helps you recognize this device later.","Допомагає розпізнати цей пристрій пізніше."
"Hide","Сховати"
"Hide password","Сховати пароль"
"Hide screens","Сховати екрани"
"Hide setup key","Сховати ключ налаштування"
"Identifier and password","Ідентифікатор і пароль"
"Identity provider","Постачальник ідентичності"
"If an account matches that email address, we sent a password reset link.","Якщо обліковий запис із такою електронною адресою існує, ми надіслали посилання для скидання пароля."
"Initial sign-in bootstrap","Початкова ініціалізація входу"
"Invalid credentials message","Повідомлення про недійсні облікові дані"
"Invalid reset link","Недійсне посилання для скидання"
"Jump to any screen or variant","Перейти до будь-якого екрана або варіанта"
"Language","Мова"
"Last used","Востаннє використано"
"Legacy MFA-required fallback","Застарілий резервний варіант для обов’язкової MFA"
"Light","Світла"
"Light theme","Світла тема"
"Linking failed","Помилка зв’язування"
"Loading","Завантаження"
"Loading 2-step verification options...","Завантаження варіантів двоетапної перевірки..."
"Loading options","Завантаження варіантів"
"Loading password recovery...","Завантаження відновлення пароля..."
"Loading recovery","Завантаження відновлення"
"Loading sign-in...","Завантаження входу..."
"MFA","MFA"
"Method chooser","Вибір способу"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Для цього облікового запису потрібна багатофакторна автентифікація (MFA). Підтримку MFA буде ввімкнено в Завданні 5."
"Name (optional)","Назва (необов’язково)"
"Native fallback","Нативний резервний варіант"
"New password","Новий пароль"
"Next","Далі"
"No account linked","Немає зв’язаного облікового запису"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Жоден обліковий запис ZITADEL не зв’язаний із цим обліковим записом {provider}. Зв’язування облікових записів і самостійна реєстрація ще не ввімкнені."
"No linked ZITADEL account","Немає зв’язаного облікового запису ZITADEL"
"Open any login screen with fake data. Actions stay inside /demo.","Відкрийте будь-який екран входу з тестовими даними. Дії залишаються в межах /demo."
"Optional 2-step verification","Необов’язкова двоетапна перевірка"
"Optional setup","Необов’язкове налаштування"
"Options failed","Не вдалося завантажити варіанти"
"Or choose a method","Або виберіть спосіб"
"Passkey","Ключ доступу"
"Passkey factor","Фактор ключа доступу"
"Passkey MFA placeholder","Плейсхолдер MFA для ключа доступу"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","Автентифікація за допомогою ключів доступу не підтримується в цьому браузері. Скористайтеся іншим способом входу."
"Passkey not supported","Ключ доступу не підтримується"
"Passkey registration is not supported in this browser.","Реєстрація ключів доступу не підтримується в цьому браузері."
"Passkey setup unavailable","Налаштування ключа доступу недоступне"
"Passkey sign-in","Вхід за допомогою ключа доступу"
"Passkey unsupported","Ключ доступу не підтримується"
"Password","Пароль"
"Password error","Помилка пароля"
"Password expired","Термін дії пароля минув"
"Password MFA placeholder","Плейсхолдер MFA для пароля"
"Password recovery unavailable","Відновлення пароля недоступне"
"Password sign-in","Вхід за паролем"
"Password changed","Пароль змінено"
"Pending email OTP verification","Очікується перевірка Email OTP"
"Policy already met","Політику вже виконано"
"Policy-required password change","Зміна пароля, обов’язкова за політикою"
"Previous","Назад"
"Privacy Policy","Політикою конфіденційності"
"Provider failure","Помилка постачальника"
"QR code for authenticator app setup","QR-код для налаштування застосунку автентифікації"
"Reauthentication required","Потрібна повторна автентифікація"
"Receive a one-time code","Отримати одноразовий код"
"Receive a one-time verification code via email","Отримати одноразовий код підтвердження на електронну пошту"
"Receive a one-time verification code via SMS","Отримати одноразовий код підтвердження через SMS"
"Recent accounts","Нещодавні облікові записи"
"Recent accounts plus methods","Нещодавні облікові записи та способи"
"Recovery","Відновлення"
"Recovery bootstrap spinner","Індикатор відновлення"
"Recovery code verification requires native ZITADEL sign-in.","Перевірка коду відновлення вимагає нативного входу через ZITADEL."
"Recovery unavailable","Відновлення недоступне"
"Redirect after a completed sign-in","Перенаправлення після успішного входу"
"Register a hardware key","Зареєструвати апаратний ключ"
"Register a hardware security key, then verify it once to continue.","Зареєструйте апаратний ключ безпеки та підтвердьте його один раз, щоб продовжити."
"Register a new passkey","Зареєструвати новий ключ доступу"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Зареєструйте ключ доступу за допомогою біометрії або PIN-коду пристрою, а потім підтвердьте його один раз, щоб продовжити."
"Register security key","Зареєструвати ключ безпеки"
"Registering...","Реєстрація..."
"Registration cannot be resumed","Неможливо відновити реєстрацію"
"Registration failed","Помилка реєстрації"
"Remember this email","Запам’ятати цю електронну пошту"
"Remember this identifier","Запам’ятати цей ідентифікатор"
"Request reset","Запросити скидання"
"Required enrollment chooser","Вибір обов’язкової реєстрації"
"Resend code","Надіслати код повторно"
"Resend code ({seconds}s)","Надіслати код повторно ({seconds} с)"
"Reset bootstrap spinner","Індикатор скидання"
"Reset finished successfully","Скидання успішно завершено"
"Reset link sent","Посилання для скидання надіслано"
"Reset your password","Скиньте свій пароль"
"Retry loading options","Повторити завантаження варіантів"
"SMS code","SMS-код"
"SMS verification code","Код підтвердження з SMS"
"Saving...","Збереження..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Відскануйте код за допомогою застосунку автентифікації, а потім введіть показаний у ньому 6-значний код."
"Screen directory","Каталог екранів"
"Screens","Екрани"
"Security key","Ключ безпеки"
"Security key registration is not supported in this browser.","Реєстрація ключів безпеки не підтримується в цьому браузері."
"Security key unsupported","Ключ безпеки не підтримується"
"Select a method to set up 2-step verification for your account.","Виберіть спосіб для налаштування двоетапної перевірки вашого облікового запису."
"Select among enrolled methods","Виберіть серед зареєстрованих способів"
"Send SMS code","Надіслати SMS-код"
"Send a new code","Надіслати новий код"
"Send a verification code to your email address.","Надіслати код підтвердження на вашу електронну адресу."
"Send a verification code to your mobile phone via SMS.","Надіслати код підтвердження на ваш мобільний телефон через SMS."
"Send code","Надіслати код"
"Send email code","Надіслати код на електронну пошту"
"Send reset link","Надіслати посилання для скидання"
"Sending...","Надсилання..."
"Sending code...","Надсилання коду..."
"Set new password","Встановити новий пароль"
"Set up 2-step verification","Налаштувати двоетапну перевірку"
"Set up a factor","Налаштувати фактор"
"Set up a passkey","Налаштувати ключ доступу"
"Set up a security key","Налаштувати ключ безпеки"
"Set up authenticator","Налаштувати автентифікатор"
"Set up authenticator app","Налаштувати застосунок автентифікації"
"Set up email codes","Налаштувати коди електронної пошти"
"Set up {method}","Налаштувати {method}"
"Setting up...","Налаштування..."
"Setup key (if you cannot scan)","Ключ налаштування (якщо не вдається відсканувати)"
"Show","Показати"
"Show password","Показати пароль"
"Show setup key","Показати ключ налаштування"
"Sidebar","Бічна панель"
"Sign in","Увійти"
"Sign in with a passkey","Увійти за допомогою ключа доступу"
"Sign in with passkey","Увійти за допомогою ключа доступу"
"Sign in with password","Увійти за паролем"
"Sign in with your new password to continue.","Увійдіть із новим паролем, щоб продовжити."
"Sign in with {provider}","Увійти через {provider}"
"Sign in with {provider} was not completed. Please try again.","Вхід через {provider} не було завершено. Будь ласка, спробуйте знову."
"Sign-in was not completed","Вхід не було завершено"
"Signing in...","Вхід..."
"Skip for now","Пропустити зараз"
"Skip or enroll a method","Пропустити або зареєструвати спосіб"
"Skipping...","Пропуск..."
"Start TOTP enrollment","Почати реєстрацію TOTP"
"Start an external provider","Запустити зовнішнього постачальника"
"Start email-code sign-in","Почати вхід за кодом з електронної пошти"
"Start setup","Почати налаштування"
"Start sign-in again","Почати вхід знову"
"Starting setup...","Початок налаштування..."
"Supported browser, identifier first","Підтримуваний браузер, спочатку ідентифікатор"
"System","Системна"
"System theme","Системна тема"
"Terms of Service","Умовами використання"
"Theme","Тема"
"Theme is set by the organization","Тема встановлена організацією"
"This 2-step verification option requires native ZITADEL sign-in.","Цей варіант двоетапної перевірки вимагає нативного входу через ZITADEL."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Цю реєстрацію неможливо продовжити після перезавантаження. Продовжте в ZITADEL, щоб завершити налаштування."
"This reset link is no longer valid","Це посилання для скидання більше не дійсне"
"Try again","Спробувати знову"
"UI demo","Демонстрація інтерфейсу"
"Unable to continue","Неможливо продовжити"
"Unsupported method","Непідтримуваний спосіб"
"Use a code from Google Authenticator, Authy, or 1Password","Використовуйте код із Google Authenticator, Authy або 1Password"
"Use a hardware security key (FIDO U2F)","Використовуйте апаратний ключ безпеки (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Використовуйте застосунок для автентифікації, такий як 1Password, Google Authenticator або Aegis, для створення 6-значних кодів."
"Use another method or account","Використати інший спосіб або обліковий запис"
"Use your existing {provider} account to sign in","Використовуйте свій наявний обліковий запис {provider} для входу"
"Use your fingerprint, face, or device PIN","Використовуйте відбиток пальця, обличчя або PIN-код пристрою"
"Username or email","Ім’я користувача або електронна пошта"
"Valid reset-link form","Форма дійсного посилання для скидання"
"Verification code","Код підтвердження"
"Verification codes will be sent to your account email address.","Коди підтвердження надсилатимуться на електронну адресу вашого облікового запису."
"Verification with {method} will be completed in the next update.","Перевірку за допомогою {method} буде завершено в наступному оновленні."
"Verify","Підтвердити"
"Verify a TOTP code","Підтвердити код TOTP"
"Verify with a hardware key","Підтвердити за допомогою апаратного ключа"
"Verify with a passkey or biometric credential","Підтвердити за допомогою ключа доступу або біометричних даних"
"Verify with an enrolled passkey","Підтвердити за допомогою зареєстрованого ключа доступу"
"Verify with {method}","Підтвердити за допомогою {method}"
"Verifying...","Підтвердження..."
"You can set up 2-step verification for extra security or skip for now.","Ви можете налаштувати двоетапну перевірку для додаткової безпеки або пропустити це зараз."
"Your password has expired. Set a new password to continue.","Термін дії вашого пароля минув. Встановіть новий пароль, щоб продовжити."
"Your password must be changed before you continue.","Перед продовженням необхідно змінити пароль."
"Your password was changed","Ваш пароль змінено"
"Your sign-in already satisfies 2-step verification policy.","Ваш вхід уже відповідає політиці двоетапної перевірки."
and,та
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","Автентифікація через {method} не підтримується в цьому браузері. Скористайтеся іншим способом двоетапної перевірки."
"{method} not supported","{method} не підтримується"
"2-Step verification challenge is temporarily unavailable.","Запит двоетапної перевірки тимчасово недоступний."
"A new code has been sent.","Новий код надіслано."
"A new verification code was sent.","Новий код підтвердження надіслано."
"A new verification code was sent to your email address.","Новий код підтвердження надіслано на вашу електронну адресу."
"A new verification code was sent to your mobile phone via SMS.","Новий код підтвердження надіслано на ваш мобільний телефон через SMS."
"Could not read current browser URL.","Не вдалося прочитати поточну URL-адресу браузера."
"Email code accepted. Sign-in would continue.","Код з електронної пошти прийнято. Вхід продовжився б."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Коди електронної пошти налаштовано. Введіть код, надісланий на вашу електронну адресу, або надішліть його повторно."
"Email codes are set up. Resend a code to continue.","Коди електронної пошти налаштовано. Надішліть код повторно, щоб продовжити."
"Enter a new password.","Введіть новий пароль."
"Enter a valid email address.","Введіть дійсну електронну адресу."
"Enter the complete 6-digit authenticator code.","Введіть повний 6-значний код автентифікатора."
"Enter the complete 6-digit code from your authenticator app.","Введіть повний 6-значний код із застосунку для автентифікації."
"Enter the complete verification code.","Введіть повний код підтвердження."
"Enter the complete verification code (6 to 20 digits).","Введіть повний код підтвердження (від 6 до 20 цифр)."
"Enter the email address for your account.","Введіть електронну адресу вашого облікового запису."
"Enter your current password.","Введіть свій поточний пароль."
"Enter your password.","Введіть свій пароль."
"Enter your username and password.","Введіть своє ім’я користувача та пароль."
"Enter your username or email address.","Введіть своє ім’я користувача або електронну адресу."
"Failed to decode passkey challenge options.","Не вдалося декодувати параметри запиту ключа доступу."
"Failed to decode verification challenge options.","Не вдалося декодувати параметри запиту підтвердження."
"Failed to process passkey response.","Не вдалося обробити відповідь ключа доступу."
"Failed to process verification response.","Не вдалося обробити відповідь підтвердження."
"Failed to process the security key registration response.","Не вдалося обробити відповідь реєстрації ключа безпеки."
"Interactive sign-in is not allowed for this request.","Інтерактивний вхід заборонено для цього запиту."
"Incorrect username or password.","Неправильне ім’я користувача або пароль."
"Invalid account selection payload.","Недійсні дані вибору облікового запису."
"Invalid username or password.","Недійсне ім’я користувача або пароль."
"Passkey authentication is not supported in this browser.","Автентифікація за допомогою ключа доступу не підтримується в цьому браузері."
"Passkey challenge is unavailable.","Запит ключа доступу недоступний."
"Passkey challenge is temporarily unavailable.","Запит ключа доступу тимчасово недоступний."
"Passkey sign-in is not supported in this browser.","Вхід за допомогою ключа доступу не підтримується в цьому браузері."
"Passkey sign-in is temporarily unavailable.","Вхід за допомогою ключа доступу тимчасово недоступний."
"Passkey sign-in security error. Please check domain or origin.","Помилка безпеки під час входу за допомогою ключа доступу. Перевірте домен або джерело."
"Passkey sign-in was canceled or timed out.","Вхід за допомогою ключа доступу скасовано або минув час очікування."
"Passkey sign-in failed. Please try again.","Не вдалося увійти за допомогою ключа доступу. Спробуйте знову."
"Passkey ceremony would run in a real browser.","Процедура ключа доступу запускалася б у реальному браузері."
"Password accepted. Sign-in would continue.","Пароль прийнято. Вхід продовжився б."
"Password changed. Next login step would render.","Пароль змінено. Відобразився б наступний крок входу."
"Password recovery is not available.","Відновлення пароля недоступне."
"Password recovery is temporarily unavailable. Please try again.","Відновлення пароля тимчасово недоступне. Спробуйте знову."
"Password sign-in is temporarily unavailable.","Вхід за паролем тимчасово недоступний."
"Request verification failed.","Не вдалося перевірити запит."
"Request verification failed. Please start again.","Не вдалося перевірити запит. Почніть знову."
"Return to the application and start sign-in again.","Поверніться до застосунку та почніть вхід знову."
"Security key authentication is not supported in this browser.","Автентифікація за допомогою ключа безпеки не підтримується в цьому браузері."
"Security key registration failed. Please try again.","Не вдалося зареєструвати ключ безпеки. Спробуйте знову."
"Security key registration security error. Please check domain or origin.","Помилка безпеки під час реєстрації ключа безпеки. Перевірте домен або джерело."
"Security key registration was canceled.","Реєстрацію ключа безпеки скасовано."
"Security key registration was canceled or timed out.","Реєстрацію ключа безпеки скасовано або минув час очікування."
"Sign-in could not be completed. Please try again.","Не вдалося завершити вхід. Спробуйте знову."
"Sign-in is temporarily unavailable. Please try again.","Вхід тимчасово недоступний. Спробуйте знову."
"Some sign-in methods are temporarily unavailable.","Деякі способи входу тимчасово недоступні."
"Skipping 2-step verification is not allowed for this account.","Пропуск двоетапної перевірки заборонено для цього облікового запису."
"The code is invalid or expired.","Код недійсний або його термін дії минув."
"The passwords do not match.","Паролі не збігаються."
"The selected account is no longer valid.","Вибраний обліковий запис більше не дійсний."
"The setup code could not be displayed.","Не вдалося відобразити код налаштування."
"The sign-in link contains unsupported state.","Посилання для входу містить непідтримуваний стан."
"The sign-in link is invalid.","Посилання для входу недійсне."
"The sign-in request is in an invalid state.","Запит на вхід перебуває в недійсному стані."
"The sign-in request is no longer valid.","Запит на вхід більше не дійсний."
"The sign-in request was already completed.","Запит на вхід вже завершено."
"The sign-in session is invalid or has expired.","Сеанс входу недійсний або його термін дії минув."
"The sign-in service is temporarily unavailable.","Служба входу тимчасово недоступна."
"The sign-in service returned an invalid response.","Служба входу повернула недійсну відповідь."
"The verification code has expired.","Термін дії коду підтвердження минув."
"This device does not support the required registration options.","Цей пристрій не підтримує необхідні параметри реєстрації."
"This device is already registered for your account.","Цей пристрій уже зареєстровано для вашого облікового запису."
"This passkey is not supported or not registered on this device.","Цей ключ доступу не підтримується або не зареєстрований на цьому пристрої."
"This password does not meet the password policy.","Цей пароль не відповідає політиці паролів."
"This password recovery request has expired. Please start again.","Термін дії цього запиту на відновлення пароля минув. Почніть знову."
"This password reset link is invalid or has expired.","Це посилання для скидання пароля недійсне або його термін дії минув."
"This sign-in method is not available.","Цей спосіб входу недоступний."
"Too many recovery attempts. Please retry later.","Забагато спроб відновлення. Спробуйте пізніше."
"Too many sign-in attempts. Please retry later.","Забагато спроб входу. Спробуйте пізніше."
"Unable to load 2-Step Verification options.","Не вдалося завантажити варіанти двоетапної перевірки."
"Verification code sent to your email address.","Код підтвердження надіслано на вашу електронну адресу."
"Verification code sent to your mobile phone via SMS.","Код підтвердження надіслано на ваш мобільний телефон через SMS."
"Would continue in ZITADEL.","Продовжилося б у ZITADEL."
"Would continue the signed-in session.","Продовжився б сеанс входу."
"Would redirect to the identity provider.","Перенаправило б до постачальника ідентичності."
"Your current password is incorrect.","Ваш поточний пароль неправильний."
