english,de
"Saving...","Wird gespeichert ..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Scannen Sie den Code mit Ihrer Authenticator-App und geben Sie anschließend den dort angezeigten 6-stelligen Code ein."
"Screen directory","Bildschirmverzeichnis"
"Screens","Bildschirme"
"Security key","Sicherheitsschlüssel"
"Security key registration is not supported in this browser.","Die Registrierung eines Sicherheitsschlüssels wird in diesem Browser nicht unterstützt."
"Security key unsupported","Sicherheitsschlüssel nicht unterstützt"
"Select a method to set up 2-step verification for your account.","Wählen Sie eine Methode für die Einrichtung der 2-Schritt-Verifizierung für Ihr Konto aus."
"Select among enrolled methods","Unter den registrierten Methoden auswählen"
"Send SMS code","SMS-Code senden"
"Send a new code","Neuen Code senden"
"Send a verification code to your email address.","Einen Verifizierungscode an Ihre E-Mail-Adresse senden."
"Send a verification code to your mobile phone via SMS.","Einen Verifizierungscode per SMS an Ihr Mobiltelefon senden."
"Send code","Code senden"
"Send email code","E-Mail-Code senden"
"Send reset link","Zurücksetzungslink senden"
"Sending...","Wird gesendet ..."
"Sending code...","Code wird gesendet ..."
"Set new password","Neues Passwort festlegen"
"Set up 2-step verification","2-Schritt-Verifizierung einrichten"
"Set up a factor","Faktor einrichten"
"Set up a passkey","Passkey einrichten"
"Set up a security key","Sicherheitsschlüssel einrichten"
"Set up authenticator","Authenticator einrichten"
"Set up authenticator app","Authenticator-App einrichten"
"Set up email codes","E-Mail-Codes einrichten"
"Set up {method}","{method} einrichten"
"Setting up...","Einrichtung läuft ..."
"Setup key (if you cannot scan)","Einrichtungsschlüssel (falls Sie nicht scannen können)"
"Show","Anzeigen"
"Show password","Passwort anzeigen"
"Show setup key","Einrichtungsschlüssel anzeigen"
"Sidebar","Seitenleiste"
"Sign in","Anmelden"
"Sign in with a passkey","Mit einem Passkey anmelden"
"Sign in with passkey","Mit Passkey anmelden"
"Sign in with password","Mit Passwort anmelden"
"Sign in with your new password to continue.","Melden Sie sich mit Ihrem neuen Passwort an, um fortzufahren."
"Sign in with {provider}","Mit {provider} anmelden"
"Sign in with {provider} was not completed. Please try again.","Die Anmeldung mit {provider} wurde nicht abgeschlossen. Bitte versuchen Sie es erneut."
"Sign-in was not completed","Anmeldung wurde nicht abgeschlossen"
"Signing in...","Anmeldung läuft ..."
"Skip for now","Vorerst überspringen"
"Skip or enroll a method","Überspringen oder eine Methode registrieren"
"Skipping...","Wird übersprungen ..."
"Start TOTP enrollment","TOTP-Registrierung starten"
"Start an external provider","Externen Anbieter starten"
"Start email-code sign-in","Anmeldung mit E-Mail-Code starten"
"Start setup","Einrichtung starten"
"Start sign-in again","Anmeldung erneut starten"
"Starting setup...","Einrichtung wird gestartet ..."
"Supported browser, identifier first","Unterstützter Browser, zuerst die Kennung"
"System","System"
"System theme","Systemdesign"
"Terms of Service","Nutzungsbedingungen"
"Theme","Design"
"Theme is set by the organization","Das Design wird von der Organisation festgelegt"
"This 2-step verification option requires native ZITADEL sign-in.","Diese Option für die 2-Schritt-Verifizierung erfordert eine native ZITADEL-Anmeldung."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Diese Registrierung kann nach dem Neuladen nicht fortgesetzt werden. Fahren Sie in ZITADEL fort, um die Einrichtung abzuschließen."
"This reset link is no longer valid","Dieser Zurücksetzungslink ist nicht mehr gültig"
"Try again","Erneut versuchen"
"UI demo","UI-Demo"
"Unable to continue","Fortsetzen nicht möglich"
"Unsupported method","Nicht unterstützte Methode"
"Use a code from Google Authenticator, Authy, or 1Password","Code aus Google Authenticator, Authy oder 1Password verwenden"
"Use a hardware security key (FIDO U2F)","Hardwaresicherheitsschlüssel (FIDO U2F) verwenden"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Verwenden Sie eine Authenticator-App wie 1Password, Google Authenticator oder Aegis, um 6-stellige Codes zu erzeugen."
"Use another method or account","Andere Methode oder anderes Konto verwenden"
"Use your existing {provider} account to sign in","Verwenden Sie Ihr bestehendes {provider}-Konto, um sich anzumelden"
"Use your fingerprint, face, or device PIN","Fingerabdruck, Gesicht oder Geräte-PIN verwenden"
"Username or email","Benutzername oder E-Mail-Adresse"
"Valid reset-link form","Formular für gültigen Zurücksetzungslink"
"Verification code","Verifizierungscode"
"Verification codes will be sent to your account email address.","Verifizierungscodes werden an die E-Mail-Adresse Ihres Kontos gesendet."
"Verification with {method} will be completed in the next update.","Die Verifizierung mit {method} wird im nächsten Update unterstützt."
"Verify","Verifizieren"
"Verify a TOTP code","TOTP-Code verifizieren"
"Verify with a hardware key","Mit einem Hardwareschlüssel verifizieren"
"Verify with a passkey or biometric credential","Mit einem Passkey oder einer biometrischen Anmeldeinformation verifizieren"
"Verify with an enrolled passkey","Mit einem registrierten Passkey verifizieren"
"Verify with {method}","Mit {method} verifizieren"
"Verifying...","Wird verifiziert ..."
"You can set up 2-step verification for extra security or skip for now.","Sie können zur Erhöhung der Sicherheit die 2-Schritt-Verifizierung einrichten oder sie vorerst überspringen."
"Your password has expired. Set a new password to continue.","Ihr Passwort ist abgelaufen. Legen Sie ein neues Passwort fest, um fortzufahren."
"Your password must be changed before you continue.","Ihr Passwort muss geändert werden, bevor Sie fortfahren können."
"Your password was changed","Ihr Passwort wurde geändert"
"Your sign-in already satisfies 2-step verification policy.","Ihre Anmeldung erfüllt bereits die Richtlinie zur 2-Schritt-Verifizierung."
and,"und die"
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","Die {method}-Authentifizierung wird in diesem Browser nicht unterstützt. Bitte verwenden Sie eine andere 2-Schritt-Verifizierungsmethode."
"{method} not supported","{method} wird nicht unterstützt"
"2-Step verification challenge is temporarily unavailable.","Die Herausforderung zur 2-Schritt-Verifizierung ist vorübergehend nicht verfügbar."
"A new code has been sent.","Ein neuer Code wurde gesendet."
"A new verification code was sent.","Ein neuer Verifizierungscode wurde gesendet."
"A new verification code was sent to your email address.","Ein neuer Verifizierungscode wurde an Ihre E-Mail-Adresse gesendet."
"A new verification code was sent to your mobile phone via SMS.","Ein neuer Verifizierungscode wurde per SMS an Ihr Mobiltelefon gesendet."
"Could not read current browser URL.","Die aktuelle Browser-URL konnte nicht gelesen werden."
"Email code accepted. Sign-in would continue.","E-Mail-Code akzeptiert. Die Anmeldung würde fortgesetzt."
"Email codes are set up. Enter the code sent to your email address, or resend it.","E-Mail-Codes sind eingerichtet. Geben Sie den an Ihre E-Mail-Adresse gesendeten Code ein oder senden Sie ihn erneut."
"Email codes are set up. Resend a code to continue.","E-Mail-Codes sind eingerichtet. Senden Sie einen Code erneut, um fortzufahren."
"Enter a new password.","Geben Sie ein neues Passwort ein."
"Enter a valid email address.","Geben Sie eine gültige E-Mail-Adresse ein."
"Enter the complete 6-digit authenticator code.","Geben Sie den vollständigen 6-stelligen Authenticator-Code ein."
"Enter the complete 6-digit code from your authenticator app.","Geben Sie den vollständigen 6-stelligen Code aus Ihrer Authenticator-App ein."
"Enter the complete verification code.","Geben Sie den vollständigen Verifizierungscode ein."
"Enter the complete verification code (6 to 20 digits).","Geben Sie den vollständigen Verifizierungscode ein (6 bis 20 Ziffern)."
"Enter the email address for your account.","Geben Sie die E-Mail-Adresse für Ihr Konto ein."
"Enter your current password.","Geben Sie Ihr aktuelles Passwort ein."
"Enter your password.","Geben Sie Ihr Passwort ein."
"Enter your username and password.","Geben Sie Ihren Benutzernamen und Ihr Passwort ein."
"Enter your username or email address.","Geben Sie Ihren Benutzernamen oder Ihre E-Mail-Adresse ein."
"Failed to decode passkey challenge options.","Die Optionen für die Passkey-Herausforderung konnten nicht dekodiert werden."
"Failed to decode verification challenge options.","Die Optionen für die Verifizierungs-Herausforderung konnten nicht dekodiert werden."
"Failed to process passkey response.","Die Passkey-Antwort konnte nicht verarbeitet werden."
"Failed to process verification response.","Die Verifizierungsantwort konnte nicht verarbeitet werden."
"Failed to process the security key registration response.","Die Registrierungsantwort des Sicherheitsschlüssels konnte nicht verarbeitet werden."
"Interactive sign-in is not allowed for this request.","Die interaktive Anmeldung ist für diese Anfrage nicht zulässig."
"Incorrect username or password.","Falscher Benutzername oder falsches Passwort."
"Invalid account selection payload.","Ungültige Daten für die Kontoauswahl."
"Invalid username or password.","Ungültiger Benutzername oder ungültiges Passwort."
"Passkey authentication is not supported in this browser.","Die Passkey-Authentifizierung wird in diesem Browser nicht unterstützt."
"Passkey challenge is unavailable.","Die Passkey-Herausforderung ist nicht verfügbar."
"Passkey challenge is temporarily unavailable.","Die Passkey-Herausforderung ist vorübergehend nicht verfügbar."
"Passkey sign-in is not supported in this browser.","Die Passkey-Anmeldung wird in diesem Browser nicht unterstützt."
"Passkey sign-in is temporarily unavailable.","Die Passkey-Anmeldung ist vorübergehend nicht verfügbar."
"Passkey sign-in security error. Please check domain or origin.","Sicherheitsfehler bei der Passkey-Anmeldung. Bitte prüfen Sie Domain oder Origin."
"Passkey sign-in was canceled or timed out.","Die Passkey-Anmeldung wurde abgebrochen oder hat das Zeitlimit überschritten."
"Passkey sign-in failed. Please try again.","Die Passkey-Anmeldung ist fehlgeschlagen. Bitte versuchen Sie es erneut."
"Passkey ceremony would run in a real browser.","Die Passkey-Zeremonie würde in einem echten Browser ausgeführt."
"Password accepted. Sign-in would continue.","Passwort akzeptiert. Die Anmeldung würde fortgesetzt."
"Password changed. Next login step would render.","Passwort geändert. Der nächste Anmeldeschritt würde angezeigt."
"Password recovery is not available.","Die Passwortwiederherstellung ist nicht verfügbar."
"Password recovery is temporarily unavailable. Please try again.","Die Passwortwiederherstellung ist vorübergehend nicht verfügbar. Bitte versuchen Sie es erneut."
"Password sign-in is temporarily unavailable.","Die Passwort-Anmeldung ist vorübergehend nicht verfügbar."
"Request verification failed.","Die Anforderungsverifizierung ist fehlgeschlagen."
"Request verification failed. Please start again.","Die Anforderungsverifizierung ist fehlgeschlagen. Bitte starten Sie erneut."
"Return to the application and start sign-in again.","Kehren Sie zur Anwendung zurück und starten Sie die Anmeldung erneut."
"Security key authentication is not supported in this browser.","Die Authentifizierung mit Sicherheitsschlüssel wird in diesem Browser nicht unterstützt."
"Security key registration failed. Please try again.","Die Registrierung des Sicherheitsschlüssels ist fehlgeschlagen. Bitte versuchen Sie es erneut."
"Security key registration security error. Please check domain or origin.","Sicherheitsfehler bei der Registrierung des Sicherheitsschlüssels. Bitte prüfen Sie Domain oder Origin."
"Security key registration was canceled.","Die Registrierung des Sicherheitsschlüssels wurde abgebrochen."
"Security key registration was canceled or timed out.","Die Registrierung des Sicherheitsschlüssels wurde abgebrochen oder hat das Zeitlimit überschritten."
"Sign-in could not be completed. Please try again.","Die Anmeldung konnte nicht abgeschlossen werden. Bitte versuchen Sie es erneut."
"Sign-in is temporarily unavailable. Please try again.","Die Anmeldung ist vorübergehend nicht verfügbar. Bitte versuchen Sie es erneut."
"Some sign-in methods are temporarily unavailable.","Einige Anmeldemethoden sind vorübergehend nicht verfügbar."
"Skipping 2-step verification is not allowed for this account.","Das Überspringen der 2-Schritt-Verifizierung ist für dieses Konto nicht zulässig."
"The code is invalid or expired.","Der Code ist ungültig oder abgelaufen."
"The passwords do not match.","Die Passwörter stimmen nicht überein."
"The selected account is no longer valid.","Das ausgewählte Konto ist nicht mehr gültig."
"The setup code could not be displayed.","Der Einrichtungscode konnte nicht angezeigt werden."
"The sign-in link contains unsupported state.","Der Anmeldelink enthält einen nicht unterstützten Status."
"The sign-in link is invalid.","Der Anmeldelink ist ungültig."
"The sign-in request is in an invalid state.","Die Anmeldeanforderung befindet sich in einem ungültigen Status."
"The sign-in request is no longer valid.","Die Anmeldeanforderung ist nicht mehr gültig."
"The sign-in request was already completed.","Die Anmeldeanforderung wurde bereits abgeschlossen."
"The sign-in session is invalid or has expired.","Die Anmeldesitzung ist ungültig oder abgelaufen."
"The sign-in service is temporarily unavailable.","Der Anmeldedienst ist vorübergehend nicht verfügbar."
"The sign-in service returned an invalid response.","Der Anmeldedienst hat eine ungültige Antwort zurückgegeben."
"The verification code has expired.","Der Verifizierungscode ist abgelaufen."
"This device does not support the required registration options.","Dieses Gerät unterstützt die erforderlichen Registrierungsoptionen nicht."
"This device is already registered for your account.","Dieses Gerät ist bereits für Ihr Konto registriert."
"This passkey is not supported or not registered on this device.","Dieser Passkey wird nicht unterstützt oder ist auf diesem Gerät nicht registriert."
"This password does not meet the password policy.","Dieses Passwort entspricht nicht der Passwortrichtlinie."
"This password recovery request has expired. Please start again.","Diese Anfrage zur Passwortwiederherstellung ist abgelaufen. Bitte starten Sie erneut."
"This password reset link is invalid or has expired.","Dieser Link zum Zurücksetzen des Passworts ist ungültig oder abgelaufen."
"This sign-in method is not available.","Diese Anmeldemethode ist nicht verfügbar."
"Too many recovery attempts. Please retry later.","Zu viele Wiederherstellungsversuche. Bitte versuchen Sie es später erneut."
"Too many sign-in attempts. Please retry later.","Zu viele Anmeldeversuche. Bitte versuchen Sie es später erneut."
"Unable to load 2-Step Verification options.","Optionen für die 2-Schritt-Verifizierung konnten nicht geladen werden."
"Verification code sent to your email address.","Verifizierungscode an Ihre E-Mail-Adresse gesendet."
"Verification code sent to your mobile phone via SMS.","Verifizierungscode per SMS an Ihr Mobiltelefon gesendet."
"Would continue in ZITADEL.","Würde in ZITADEL fortfahren."
"Would continue the signed-in session.","Würde die angemeldete Sitzung fortsetzen."
"Would redirect to the identity provider.","Würde zum Identitätsanbieter weiterleiten."
"Your current password is incorrect.","Ihr aktuelles Passwort ist falsch."
