english,ru
"Password MFA placeholder","Заполнитель для MFA с паролем"
"Password recovery unavailable","Восстановление пароля недоступно"
"Password sign-in","Вход по паролю"
"Password changed","Пароль изменен"
"Pending email OTP verification","Ожидание проверки одноразового кода из эл. почты"
"Policy already met","Политика уже соблюдена"
"Policy-required password change","Смена пароля, требуемая политикой"
"Previous","Назад"
"Privacy Policy","Политику конфиденциальности"
"Provider failure","Ошибка провайдера"
"QR code for authenticator app setup","QR-код для настройки приложения-аутентификатора"
"Reauthentication required","Требуется повторная аутентификация"
"Receive a one-time code","Получить одноразовый код"
"Receive a one-time verification code via email","Получить одноразовый код подтверждения по эл. почте"
"Receive a one-time verification code via SMS","Получить одноразовый код подтверждения по SMS"
"Recent accounts","Недавние аккаунты"
"Recent accounts plus methods","Недавние аккаунты и способы"
"Recovery","Восстановление"
"Recovery bootstrap spinner","Индикатор загрузки восстановления"
"Recovery code verification requires native ZITADEL sign-in.","Проверка кода восстановления требует встроенного входа ZITADEL."
"Recovery unavailable","Восстановление недоступно"
"Redirect after a completed sign-in","Перенаправление после завершения входа"
"Register a hardware key","Зарегистрировать аппаратный ключ"
"Register a hardware security key, then verify it once to continue.","Зарегистрируйте аппаратный ключ безопасности, затем подтвердите его один раз для продолжения."
"Register a new passkey","Зарегистрировать новый ключ доступа"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Зарегистрируйте ключ доступа с помощью биометрии или PIN-кода устройства, затем подтвердите его один раз для продолжения."
"Register security key","Зарегистрировать ключ безопасности"
"Registering...","Регистрация..."
"Registration cannot be resumed","Регистрацию невозможно продолжить"
"Registration failed","Регистрация не удалась"
"Remember this email","Запомнить этот адрес эл. почты"
"Remember this identifier","Запомнить этот идентификатор"
"Request reset","Запросить сброс"
"Required enrollment chooser","Выбор обязательной регистрации"
"Resend code","Отправить код повторно"
"Resend code ({seconds}s)","Отправить код повторно ({seconds}с)"
"Reset bootstrap spinner","Индикатор загрузки сброса"
"Reset finished successfully","Сброс успешно завершен"
"Reset link sent","Ссылка для сброса отправлена"
"Reset your password","Сбросить пароль"
"Retry loading options","Повторить загрузку параметров"
"SMS code","Код из SMS"
"SMS verification code","Код подтверждения из SMS"
"Saving...","Сохранение..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Отсканируйте код с помощью приложения-аутентификатора и введите отображаемый 6-значный код."
"Screen directory","Каталог экранов"
"Screens","Экраны"
"Security key","Ключ безопасности"
"Security key registration is not supported in this browser.","Регистрация ключа безопасности не поддерживается в этом браузере."
"Security key unsupported","Ключ безопасности не поддерживается"
"Select a method to set up 2-step verification for your account.","Выберите способ настройки 2-этапной проверки для вашего аккаунта."
"Select among enrolled methods","Выберите один из настроенных способов"
"Send SMS code","Отправить код по SMS"
"Send a new code","Отправить новый код"
"Send a verification code to your email address.","Отправить код подтверждения на ваш адрес эл. почты."
"Send a verification code to your mobile phone via SMS.","Отправить код подтверждения на ваш мобильный телефон по SMS."
"Send code","Отправить код"
"Send email code","Отправить код на эл. почту"
"Send reset link","Отправить ссылку для сброса"
"Sending...","Отправка..."
"Sending code...","Отправка кода..."
"Set new password","Задать новый пароль"
"Set up 2-step verification","Настроить 2-этапную проверку"
"Set up a factor","Настроить фактор"
"Set up a passkey","Настроить ключ доступа"
"Set up a security key","Настроить ключ безопасности"
"Set up authenticator","Настроить аутентификатор"
"Set up authenticator app","Настроить приложение-аутентификатор"
"Set up email codes","Настроить коды по эл. почте"
"Set up {method}","Настроить {method}"
"Setting up...","Настройка..."
"Setup key (if you cannot scan)","Ключ настройки (если не удается отсканировать)"
"Show","Показать"
"Show password","Показать пароль"
"Show setup key","Показать ключ настройки"
"Sidebar","Боковая панель"
"Sign in","Войти"
"Sign in with a passkey","Войти с помощью ключа доступа"
"Sign in with passkey","Войти по ключу доступа"
"Sign in with password","Войти по паролю"
"Sign in with your new password to continue.","Войдите с новым паролем, чтобы продолжить."
"Sign in with {provider}","Войти через {provider}"
"Sign in with {provider} was not completed. Please try again.","Вход через {provider} не был завершен. Пожалуйста, попробуйте еще раз."
"Sign-in was not completed","Вход не был завершен"
"Signing in...","Вход..."
"Skip for now","Пропустить"
"Skip or enroll a method","Пропустить или настроить способ"
"Skipping...","Пропуск..."
"Start TOTP enrollment","Начать настройку TOTP"
"Start an external provider","Использовать внешнего провайдера"
"Start email-code sign-in","Начать вход по коду из эл. почты"
"Start setup","Начать настройку"
"Start sign-in again","Начать вход заново"
"Starting setup...","Запуск настройки..."
"Supported browser, identifier first","Поддерживаемый браузер, сначала идентификатор"
"System","Системная"
"System theme","Системная тема"
"Terms of Service","Условия использования"
"Theme","Тема"
"Theme is set by the organization","Тема задана организацией"
"This 2-step verification option requires native ZITADEL sign-in.","Этот способ 2-этапной проверки требует встроенного входа ZITADEL."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Эту регистрацию невозможно продолжить после перезагрузки. Продолжите в ZITADEL, чтобы завершить настройку."
"This reset link is no longer valid","Эта ссылка для сброса больше недействительна"
"Try again","Попробовать снова"
"UI demo","Демонстрация UI"
"Unable to continue","Невозможно продолжить"
"Unsupported method","Неподдерживаемый способ"
"Use a code from Google Authenticator, Authy, or 1Password","Использовать код из Google Authenticator, Authy или 1Password"
"Use a hardware security key (FIDO U2F)","Использовать аппаратный ключ безопасности (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Используйте приложение-аутентификатор (например, 1Password, Google Authenticator или Aegis) для генерации 6-значных кодов."
"Use another method or account","Использовать другой способ или аккаунт"
"Use your existing {provider} account to sign in","Используйте свой существующий аккаунт {provider} для входа"
"Use your fingerprint, face, or device PIN","Используйте отпечаток пальца, распознавание лица или PIN-код устройства"
"Username or email","Имя пользователя или эл. почта"
"Valid reset-link form","Форма с действительной ссылкой для сброса"
"Verification code","Код подтверждения"
"Verification codes will be sent to your account email address.","Коды подтверждения будут отправляться на адрес эл. почты вашего аккаунта."
"Verification with {method} will be completed in the next update.","Проверка с помощью {method} будет доступна в следующем обновлении."
"Verify","Подтвердить"
"Verify a TOTP code","Подтвердить код TOTP"
"Verify with a hardware key","Подтвердить с помощью аппаратного ключа"
"Verify with a passkey or biometric credential","Подтвердить с помощью ключа доступа или биометрии"
"Verify with an enrolled passkey","Подтвердить с помощью настроенного ключа доступа"
"Verify with {method}","Подтвердить с помощью {method}"
"Verifying...","Проверка..."
"You can set up 2-step verification for extra security or skip for now.","Вы можете настроить 2-этапную проверку для дополнительной безопасности или пока пропустить этот шаг."
"Your password has expired. Set a new password to continue.","Срок действия вашего пароля истек. Задайте новый пароль, чтобы продолжить."
"Your password must be changed before you continue.","Перед продолжением необходимо сменить пароль."
"Your password was changed","Ваш пароль был изменен"
"Your sign-in already satisfies 2-step verification policy.","Ваш вход уже соответствует политике 2-этапной проверки."
and,и
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","Аутентификация с помощью {method} не поддерживается в этом браузере. Пожалуйста, используйте другой способ 2-этапной проверки."
"{method} not supported","{method} не поддерживается"
"2-Step verification challenge is temporarily unavailable.","Запрос 2-этапной проверки временно недоступен."
"A new code has been sent.","Новый код отправлен."
"A new verification code was sent.","Новый код подтверждения был отправлен."
"A new verification code was sent to your email address.","Новый код подтверждения был отправлен на ваш адрес эл. почты."
"A new verification code was sent to your mobile phone via SMS.","Новый код подтверждения был отправлен на ваш мобильный телефон по SMS."
"Could not read current browser URL.","Не удалось прочитать текущий URL браузера."
"Email code accepted. Sign-in would continue.","Код из эл. почты принят. Вход будет продолжен."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Коды по эл. почте настроены. Введите код, отправленный на ваш адрес эл. почты, или отправьте его повторно."
"Email codes are set up. Resend a code to continue.","Коды по эл. почте настроены. Отправьте код повторно для продолжения."
"Enter a new password.","Введите новый пароль."
"Enter a valid email address.","Введите действительный адрес эл. почты."
"Enter the complete 6-digit authenticator code.","Введите полный 6-значный код аутентификатора."
"Enter the complete 6-digit code from your authenticator app.","Введите полный 6-значный код из вашего приложения-аутентификатора."
"Enter the complete verification code.","Введите полный код подтверждения."
"Enter the complete verification code (6 to 20 digits).","Введите полный код подтверждения (от 6 до 20 цифр)."
"Enter the email address for your account.","Введите адрес эл. почты для вашего аккаунта."
"Enter your current password.","Введите ваш текущий пароль."
"Enter your password.","Введите ваш пароль."
"Enter your username and password.","Введите имя пользователя и пароль."
"Enter your username or email address.","Введите имя пользователя или адрес эл. почты."
"Failed to decode passkey challenge options.","Не удалось декодировать параметры запроса ключа доступа."
"Failed to decode verification challenge options.","Не удалось декодировать параметры запроса подтверждения."
"Failed to process passkey response.","Не удалось обработать ответ ключа доступа."
"Failed to process verification response.","Не удалось обработать ответ подтверждения."
"Failed to process the security key registration response.","Не удалось обработать ответ регистрации ключа безопасности."
"Interactive sign-in is not allowed for this request.","Интерактивный вход не разрешен для этого запроса."
"Incorrect username or password.","Неверное имя пользователя или пароль."
"Invalid account selection payload.","Недействительные данные выбора аккаунта."
"Invalid username or password.","Недействительное имя пользователя или пароль."
"Passkey authentication is not supported in this browser.","Аутентификация с помощью ключа доступа не поддерживается в этом браузере."
"Passkey challenge is unavailable.","Запрос ключа доступа недоступен."
"Passkey challenge is temporarily unavailable.","Запрос ключа доступа временно недоступен."
"Passkey sign-in is not supported in this browser.","Вход по ключу доступа не поддерживается в этом браузере."
"Passkey sign-in is temporarily unavailable.","Вход по ключу доступа временно недоступен."
"Passkey sign-in security error. Please check domain or origin.","Ошибка безопасности при входе по ключу доступа. Пожалуйста, проверьте домен или источник."
"Passkey sign-in was canceled or timed out.","Вход по ключу доступа был отменен или истекло время ожидания."
"Passkey sign-in failed. Please try again.","Не удалось войти по ключу доступа. Пожалуйста, попробуйте еще раз."
"Passkey ceremony would run in a real browser.","Процедура проверки ключа доступа выполнялась бы в реальном браузере."
"Password accepted. Sign-in would continue.","Пароль принят. Вход будет продолжен."
"Password changed. Next login step would render.","Пароль изменен. Отобразился бы следующий шаг входа."
"Password recovery is not available.","Восстановление пароля недоступно."
"Password recovery is temporarily unavailable. Please try again.","Восстановление пароля временно недоступно. Пожалуйста, попробуйте еще раз."
"Password sign-in is temporarily unavailable.","Вход по паролю временно недоступен."
"Request verification failed.","Не удалось подтвердить запрос."
"Request verification failed. Please start again.","Не удалось подтвердить запрос. Пожалуйста, начните заново."
"Return to the application and start sign-in again.","Вернитесь в приложение и начните вход заново."
"Security key authentication is not supported in this browser.","Аутентификация с помощью ключа безопасности не поддерживается в этом браузере."
"Security key registration failed. Please try again.","Не удалось зарегистрировать ключ безопасности. Пожалуйста, попробуйте еще раз."
"Security key registration security error. Please check domain or origin.","Ошибка безопасности при регистрации ключа безопасности. Пожалуйста, проверьте домен или источник."
"Security key registration was canceled.","Регистрация ключа безопасности была отменена."
"Security key registration was canceled or timed out.","Регистрация ключа безопасности была отменена или истекло время ожидания."
"Sign-in could not be completed. Please try again.","Не удалось завершить вход. Пожалуйста, попробуйте еще раз."
"Sign-in is temporarily unavailable. Please try again.","Вход временно недоступен. Пожалуйста, попробуйте еще раз."
"Some sign-in methods are temporarily unavailable.","Некоторые способы входа временно недоступны."
"Skipping 2-step verification is not allowed for this account.","Пропуск 2-этапной проверки не разрешен для этого аккаунта."
"The code is invalid or expired.","Код недействителен или срок его действия истек."
"The passwords do not match.","Пароли не совпадают."
"The selected account is no longer valid.","Выбранный аккаунт больше недействителен."
"The setup code could not be displayed.","Не удалось отобразить код настройки."
"The sign-in link contains unsupported state.","Ссылка для входа содержит неподдерживаемое состояние."
"The sign-in link is invalid.","Ссылка для входа недействительна."
"The sign-in request is in an invalid state.","Запрос на вход находится в недействительном состоянии."
"The sign-in request is no longer valid.","Запрос на вход больше недействителен."
"The sign-in request was already completed.","Запрос на вход уже был завершен."
"The sign-in session is invalid or has expired.","Сессия входа недействительна или срок ее действия истек."
"The sign-in service is temporarily unavailable.","Служба входа временно недоступна."
"The sign-in service returned an invalid response.","Служба входа вернула недействительный ответ."
"The verification code has expired.","Срок действия кода подтверждения истек."
"This device does not support the required registration options.","Это устройство не поддерживает требуемые параметры регистрации."
"This device is already registered for your account.","Это устройство уже зарегистрировано для вашего аккаунта."
"This passkey is not supported or not registered on this device.","Этот ключ доступа не поддерживается или не зарегистрирован на этом устройстве."
"This password does not meet the password policy.","Этот пароль не соответствует политике паролей."
"This password recovery request has expired. Please start again.","Срок действия этого запроса на восстановление пароля истек. Пожалуйста, начните заново."
"This password reset link is invalid or has expired.","Эта ссылка для сброса пароля недействительна или срок ее действия истек."
"This sign-in method is not available.","Этот способ входа недоступен."
"Too many recovery attempts. Please retry later.","Слишком много попыток восстановления. Пожалуйста, повторите позже."
"Too many sign-in attempts. Please retry later.","Слишком много попыток входа. Пожалуйста, повторите позже."
"Unable to load 2-Step Verification options.","Не удалось загрузить параметры 2-этапной проверки."
"Verification code sent to your email address.","Код подтверждения отправлен на ваш адрес эл. почты."
"Verification code sent to your mobile phone via SMS.","Код подтверждения отправлен на ваш мобильный телефон по SMS."
"Would continue in ZITADEL.","Продолжилось бы в ZITADEL."
"Would continue the signed-in session.","Продолжилась бы сессия с выполненным входом."
"Would redirect to the identity provider.","Перенаправило бы к провайдеру идентификации."
"Your current password is incorrect.","Ваш текущий пароль неверен."
