english,tr
"Passkey not supported","Geçiş anahtarı desteklenmiyor"
"Passkey registration is not supported in this browser.","Geçiş anahtarı kaydı bu tarayıcıda desteklenmiyor."
"Passkey setup unavailable","Geçiş anahtarı kurulumu kullanılamıyor"
"Passkey sign-in","Geçiş anahtarı ile giriş"
"Passkey unsupported","Geçiş anahtarı desteklenmiyor"
"Password","Şifre"
"Password error","Şifre hatası"
"Password expired","Şifrenin süresi doldu"
"Password MFA placeholder","Şifre MFA yer tutucusu"
"Password recovery unavailable","Şifre kurtarma kullanılamıyor"
"Password sign-in","Şifre ile giriş"
"Password changed","Şifre değiştirildi"
"Pending email OTP verification","Bekleyen e-posta OTP doğrulaması"
"Policy already met","Politika zaten karşılandı"
"Policy-required password change","Politika gereği şifre değişikliği"
"Previous","Geri"
"Privacy Policy","Gizlilik Politikası"
"Provider failure","Sağlayıcı hatası"
"QR code for authenticator app setup","Kimlik doğrulama uygulaması kurulumu için QR kodu"
"Reauthentication required","Yeniden kimlik doğrulama gerekli"
"Receive a one-time code","Tek kullanımlık kod alın"
"Receive a one-time verification code via email","E-posta ile tek kullanımlık doğrulama kodu alın"
"Receive a one-time verification code via SMS","SMS ile tek kullanımlık doğrulama kodu alın"
"Recent accounts","Son kullanılan hesaplar"
"Recent accounts plus methods","Son kullanılan hesaplar ve yöntemler"
"Recovery","Kurtarma"
"Recovery bootstrap spinner","Kurtarma başlatma yükleme göstergesi"
"Recovery code verification requires native ZITADEL sign-in.","Kurtarma kodu doğrulaması yerel ZITADEL girişi gerektirir."
"Recovery unavailable","Kurtarma kullanılamıyor"
"Redirect after a completed sign-in","Tamamlanan girişten sonra yönlendirme"
"Register a hardware key","Donanım anahtarı kaydet"
"Register a hardware security key, then verify it once to continue.","Bir donanım güvenlik anahtarı kaydedin ve devam etmek için bir kez doğrulayın."
"Register a new passkey","Yeni bir geçiş anahtarı kaydet"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Biyometrik veriler veya cihaz PIN'i ile bir geçiş anahtarı kaydedin ve devam etmek için bir kez doğrulayın."
"Register security key","Güvenlik anahtarını kaydet"
"Registering...","Kaydediliyor..."
"Registration cannot be resumed","Kayıt işlemine devam edilemiyor"
"Registration failed","Kayıt başarısız oldu"
"Remember this email","Bu e-postayı hatırla"
"Remember this identifier","Bu tanımlayıcıyı hatırla"
"Request reset","Sıfırlama isteğinde bulun"
"Required enrollment chooser","Zorunlu kayıt seçici"
"Resend code","Kodu tekrar gönder"
"Resend code ({seconds}s)","Kodu tekrar gönder ({seconds}s)"
"Reset bootstrap spinner","Sıfırlama başlatma yükleme göstergesi"
"Reset finished successfully","Sıfırlama başarıyla tamamlandı"
"Reset link sent","Sıfırlama bağlantısı gönderildi"
"Reset your password","Şifrenizi sıfırlayın"
"Retry loading options","Seçenekleri yüklemeyi yeniden dene"
"SMS code","SMS kodu"
"SMS verification code","SMS doğrulama kodu"
"Saving...","Kaydediliyor..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Kodu kimlik doğrulama uygulamanızla tarayın ve ardından gösterdiği 6 basamaklı kodu girin."
"Screen directory","Ekran dizini"
"Screens","Ekranlar"
"Security key","Güvenlik anahtarı"
"Security key registration is not supported in this browser.","Güvenlik anahtarı kaydı bu tarayıcıda desteklenmiyor."
"Security key unsupported","Güvenlik anahtarı desteklenmiyor"
"Select a method to set up 2-step verification for your account.","Hesabınız için 2 adımlı doğrulamayı ayarlamak üzere bir yöntem seçin."
"Select among enrolled methods","Kayıtlı yöntemler arasından seçim yapın"
"Send SMS code","SMS kodu gönder"
"Send a new code","Yeni bir kod gönder"
"Send a verification code to your email address.","E-posta adresinize bir doğrulama kodu gönderin."
"Send a verification code to your mobile phone via SMS.","Cep telefonunuza SMS ile bir doğrulama kodu gönderin."
"Send code","Kod gönder"
"Send email code","E-posta kodu gönder"
"Send reset link","Sıfırlama bağlantısı gönder"
"Sending...","Gönderiliyor..."
"Sending code...","Kod gönderiliyor..."
"Set new password","Yeni şifre belirle"
"Set up 2-step verification","2 adımlı doğrulamayı ayarlayın"
"Set up a factor","Bir faktör ayarlayın"
"Set up a passkey","Geçiş anahtarı ayarlayın"
"Set up a security key","Güvenlik anahtarı ayarlayın"
"Set up authenticator","Kimlik doğrulayıcıyı ayarlayın"
"Set up authenticator app","Kimlik doğrulama uygulamasını ayarlayın"
"Set up email codes","E-posta kodlarını ayarlayın"
"Set up {method}","{method} ayarla"
"Setting up...","Ayarlanıyor..."
"Setup key (if you cannot scan)","Kurulum anahtarı (tarayamıyorsanız)"
"Show","Göster"
"Show password","Şifreyi göster"
"Show setup key","Kurulum anahtarını göster"
"Sidebar","Kenar çubuğu"
"Sign in","Giriş yap"
"Sign in with a passkey","Geçiş anahtarı ile giriş yap"
"Sign in with passkey","Geçiş anahtarı ile giriş yap"
"Sign in with password","Şifre ile giriş yap"
"Sign in with your new password to continue.","Devam etmek için yeni şifrenizle giriş yapın."
"Sign in with {provider}","{provider} ile giriş yap"
"Sign in with {provider} was not completed. Please try again.","{provider} ile giriş tamamlanamadı. Lütfen tekrar deneyin."
"Sign-in was not completed","Giriş tamamlanamadı"
"Signing in...","Giriş yapılıyor..."
"Skip for now","Şimdilik atla"
"Skip or enroll a method","Atla veya bir yöntem kaydet"
"Skipping...","Atlanıyor..."
"Start TOTP enrollment","TOTP kaydını başlat"
"Start an external provider","Harici sağlayıcıyı başlat"
"Start email-code sign-in","E-posta koduyla girişi başlat"
"Start setup","Kurulumu başlat"
"Start sign-in again","Girişi yeniden başlat"
"Starting setup...","Kurulum başlatılıyor..."
"Supported browser, identifier first","Desteklenen tarayıcı, önce tanımlayıcı"
"System","Sistem"
"System theme","Sistem teması"
"Terms of Service","Hizmet Şartları"
"Theme","Tema"
"Theme is set by the organization","Tema kuruluş tarafından belirlenir"
"This 2-step verification option requires native ZITADEL sign-in.","Bu 2 adımlı doğrulama seçeneği yerel ZITADEL girişi gerektirir."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Bu kayıt işlemine sayfayı yeniledikten sonra devam edilemez. Kurulumu tamamlamak için ZITADEL ile devam edin."
"This reset link is no longer valid","Bu sıfırlama bağlantısı artık geçerli değil"
"Try again","Tekrar dene"
"UI demo","Kullanıcı arayüzü demosu"
"Unable to continue","Devam edilemiyor"
"Unsupported method","Desteklenmeyen yöntem"
"Use a code from Google Authenticator, Authy, or 1Password","Google Authenticator, Authy veya 1Password'den bir kod kullanın"
"Use a hardware security key (FIDO U2F)","Donanım güvenlik anahtarı kullanın (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","6 basamaklı kodlar üretmek için 1Password, Google Authenticator veya Aegis gibi bir kimlik doğrulama uygulaması kullanın."
"Use another method or account","Başka bir yöntem veya hesap kullanın"
"Use your existing {provider} account to sign in","Giriş yapmak için mevcut {provider} hesabınızı kullanın"
"Use your fingerprint, face, or device PIN","Parmak izinizi, yüzünüzü veya cihaz PIN'inizi kullanın"
"Username or email","Kullanıcı adı veya e-posta"
"Valid reset-link form","Geçerli sıfırlama bağlantısı formu"
"Verification code","Doğrulama kodu"
"Verification codes will be sent to your account email address.","Doğrulama kodları hesabınızın e-posta adresine gönderilecektir."
"Verification with {method} will be completed in the next update.","{method} ile doğrulama bir sonraki güncellemede tamamlanacaktır."
"Verify","Doğrula"
"Verify a TOTP code","TOTP kodunu doğrula"
"Verify with a hardware key","Donanım anahtarı ile doğrula"
"Verify with a passkey or biometric credential","Geçiş anahtarı veya biyometrik kimlik bilgisi ile doğrula"
"Verify with an enrolled passkey","Kayıtlı bir geçiş anahtarı ile doğrula"
"Verify with {method}","{method} ile doğrula"
"Verifying...","Doğrulanıyor..."
"You can set up 2-step verification for extra security or skip for now.","Ek güvenlik için 2 adımlı doğrulamayı ayarlayabilir veya şimdilik atlayabilirsiniz."
"Your password has expired. Set a new password to continue.","Şifrenizin süresi doldu. Devam etmek için yeni bir şifre belirleyin."
"Your password must be changed before you continue.","Devam etmeden önce şifrenizi değiştirmelisiniz."
"Your password was changed","Şifreniz değiştirildi"
"Your sign-in already satisfies 2-step verification policy.","Girişiniz 2 adımlı doğrulama politikasını zaten karşılıyor."
and,ve
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","{method} kimlik doğrulaması bu tarayıcıda desteklenmiyor. Lütfen başka bir 2 adımlı doğrulama yöntemi kullanın."
"{method} not supported","{method} desteklenmiyor"
"2-Step verification challenge is temporarily unavailable.","2 adımlı doğrulama isteği geçici olarak kullanılamıyor."
"A new code has been sent.","Yeni bir kod gönderildi."
"A new verification code was sent.","Yeni bir doğrulama kodu gönderildi."
"A new verification code was sent to your email address.","E-posta adresinize yeni bir doğrulama kodu gönderildi."
"A new verification code was sent to your mobile phone via SMS.","Cep telefonunuza SMS ile yeni bir doğrulama kodu gönderildi."
"Could not read current browser URL.","Mevcut tarayıcı URL'si okunamadı."
"Email code accepted. Sign-in would continue.","E-posta kodu kabul edildi. Girişe devam edilecek."
"Email codes are set up. Enter the code sent to your email address, or resend it.","E-posta kodları ayarlandı. E-posta adresinize gönderilen kodu girin veya yeniden gönderin."
"Email codes are set up. Resend a code to continue.","E-posta kodları ayarlandı. Devam etmek için kodu yeniden gönderin."
"Enter a new password.","Yeni bir şifre girin."
"Enter a valid email address.","Geçerli bir e-posta adresi girin."
"Enter the complete 6-digit authenticator code.","6 basamaklı kimlik doğrulama kodunun tamamını girin."
"Enter the complete 6-digit code from your authenticator app.","Kimlik doğrulama uygulamanızdaki 6 basamaklı kodun tamamını girin."
"Enter the complete verification code.","Doğrulama kodunun tamamını girin."
"Enter the complete verification code (6 to 20 digits).","Doğrulama kodunun tamamını girin (6 ila 20 basamak)."
"Enter the email address for your account.","Hesabınızın e-posta adresini girin."
"Enter your current password.","Mevcut şifrenizi girin."
"Enter your password.","Şifrenizi girin."
"Enter your username and password.","Kullanıcı adınızı ve şifrenizi girin."
"Enter your username or email address.","Kullanıcı adınızı veya e-posta adresinizi girin."
"Failed to decode passkey challenge options.","Geçiş anahtarı doğrulama seçeneklerinin kodu çözülemedi."
"Failed to decode verification challenge options.","Doğrulama seçeneklerinin kodu çözülemedi."
"Failed to process passkey response.","Geçiş anahtarı yanıtı işlenemedi."
"Failed to process verification response.","Doğrulama yanıtı işlenemedi."
"Failed to process the security key registration response.","Güvenlik anahtarı kayıt yanıtı işlenemedi."
"Interactive sign-in is not allowed for this request.","Bu istek için etkileşimli girişe izin verilmiyor."
"Incorrect username or password.","Yanlış kullanıcı adı veya şifre."
"Invalid account selection payload.","Geçersiz hesap seçimi verisi."
"Invalid username or password.","Geçersiz kullanıcı adı veya şifre."
"Passkey authentication is not supported in this browser.","Geçiş anahtarı kimlik doğrulaması bu tarayıcıda desteklenmiyor."
"Passkey challenge is unavailable.","Geçiş anahtarı doğrulaması kullanılamıyor."
"Passkey challenge is temporarily unavailable.","Geçiş anahtarı doğrulaması geçici olarak kullanılamıyor."
"Passkey sign-in is not supported in this browser.","Geçiş anahtarı ile giriş bu tarayıcıda desteklenmiyor."
"Passkey sign-in is temporarily unavailable.","Geçiş anahtarı ile giriş geçici olarak kullanılamıyor."
"Passkey sign-in security error. Please check domain or origin.","Geçiş anahtarı ile giriş güvenlik hatası. Lütfen alan adını veya kaynağı kontrol edin."
"Passkey sign-in was canceled or timed out.","Geçiş anahtarı ile giriş iptal edildi veya zaman aşımına uğradı."
"Passkey sign-in failed. Please try again.","Geçiş anahtarı ile giriş başarısız oldu. Lütfen tekrar deneyin."
"Passkey ceremony would run in a real browser.","Geçiş anahtarı işlemi gerçek bir tarayıcıda çalıştırılacaktır."
"Password accepted. Sign-in would continue.","Şifre kabul edildi. Girişe devam edilecek."
"Password changed. Next login step would render.","Şifre değiştirildi. Sonraki giriş adımı görüntülenecektir."
"Password recovery is not available.","Şifre kurtarma kullanılamıyor."
"Password recovery is temporarily unavailable. Please try again.","Şifre kurtarma geçici olarak kullanılamıyor. Lütfen tekrar deneyin."
"Password sign-in is temporarily unavailable.","Şifre ile giriş geçici olarak kullanılamıyor."
"Request verification failed.","İstek doğrulaması başarısız oldu."
"Request verification failed. Please start again.","İstek doğrulaması başarısız oldu. Lütfen baştan başlayın."
"Return to the application and start sign-in again.","Uygulamaya geri dönün ve girişi yeniden başlatın."
"Security key authentication is not supported in this browser.","Güvenlik anahtarı kimlik doğrulaması bu tarayıcıda desteklenmiyor."
"Security key registration failed. Please try again.","Güvenlik anahtarı kaydı başarısız oldu. Lütfen tekrar deneyin."
"Security key registration security error. Please check domain or origin.","Güvenlik anahtarı kaydı güvenlik hatası. Lütfen alan adını veya kaynağı kontrol edin."
"Security key registration was canceled.","Güvenlik anahtarı kaydı iptal edildi."
"Security key registration was canceled or timed out.","Güvenlik anahtarı kaydı iptal edildi veya zaman aşımına uğradı."
"Sign-in could not be completed. Please try again.","Giriş tamamlanamadı. Lütfen tekrar deneyin."
"Sign-in is temporarily unavailable. Please try again.","Giriş geçici olarak kullanılamıyor. Lütfen tekrar deneyin."
"Some sign-in methods are temporarily unavailable.","Bazı giriş yöntemleri geçici olarak kullanılamıyor."
"Skipping 2-step verification is not allowed for this account.","Bu hesap için 2 adımlı doğrulamayı atlamaya izin verilmiyor."
"The code is invalid or expired.","Kod geçersiz veya süresi dolmuş."
"The passwords do not match.","Şifreler eşleşmiyor."
"The selected account is no longer valid.","Seçilen hesap artık geçerli değil."
"The setup code could not be displayed.","Kurulum kodu görüntülenemedi."
"The sign-in link contains unsupported state.","Giriş bağlantısı desteklenmeyen bir durum içeriyor."
"The sign-in link is invalid.","Giriş bağlantısı geçersiz."
"The sign-in request is in an invalid state.","Giriş isteği geçersiz bir durumda."
"The sign-in request is no longer valid.","Giriş isteği artık geçerli değil."
"The sign-in request was already completed.","Giriş isteği zaten tamamlandı."
"The sign-in session is invalid or has expired.","Giriş oturumu geçersiz veya süresi dolmuş."
"The sign-in service is temporarily unavailable.","Giriş servisi geçici olarak kullanılamıyor."
"The sign-in service returned an invalid response.","Giriş servisi geçersiz bir yanıt döndürdü."
"The verification code has expired.","Doğrulama kodunun süresi doldu."
"This device does not support the required registration options.","Bu cihaz gerekli kayıt seçeneklerini desteklemiyor."
"This device is already registered for your account.","Bu cihaz zaten hesabınız için kayıtlı."
"This passkey is not supported or not registered on this device.","Bu geçiş anahtarı desteklenmiyor veya bu cihaza kayıtlı değil."
"This password does not meet the password policy.","Bu şifre, şifre politikasına uymuyor."
"This password recovery request has expired. Please start again.","Bu şifre kurtarma isteğinin süresi doldu. Lütfen baştan başlayın."
"This password reset link is invalid or has expired.","Bu şifre sıfırlama bağlantısı geçersiz veya süresi dolmuş."
"This sign-in method is not available.","Bu giriş yöntemi kullanılamıyor."
"Too many recovery attempts. Please retry later.","Çok fazla kurtarma denemesi yapıldı. Lütfen daha sonra tekrar deneyin."
"Too many sign-in attempts. Please retry later.","Çok fazla giriş denemesi yapıldı. Lütfen daha sonra tekrar deneyin."
"Unable to load 2-Step Verification options.","2 Adımlı Doğrulama seçenekleri yüklenemedi."
"Verification code sent to your email address.","Doğrulama kodu e-posta adresinize gönderildi."
"Verification code sent to your mobile phone via SMS.","Doğrulama kodu cep telefonunuza SMS ile gönderildi."
"Would continue in ZITADEL.","ZITADEL ile devam edilecek."
"Would continue the signed-in session.","Oturum açılmış oturuma devam edilecek."
"Would redirect to the identity provider.","Kimlik sağlayıcıya yönlendirilecek."
"Your current password is incorrect.","Mevcut şifreniz yanlış."
