english,fr
"Use a hardware security key (FIDO U2F)","Utiliser une clé de sécurité matérielle (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Utilisez une application d'authentification telle que 1Password, Google Authenticator ou Aegis pour générer des codes à 6 chiffres."
"Use another method or account","Utiliser une autre méthode ou un autre compte"
"Use your fingerprint, face, or device PIN","Utiliser votre empreinte digitale, la reconnaissance faciale ou le code PIN de l'appareil"
"Username or email","Nom d'utilisateur ou e-mail"
"Valid reset-link form","Formulaire de lien de réinitialisation valide"
"Verification code","Code de vérification"
"Verification codes will be sent to your account email address.","Les codes de vérification seront envoyés à l'adresse e-mail de votre compte."
"Verification with {method} will be completed in the next update.","La vérification avec {method} sera disponible dans la prochaine mise à jour."
"Verify","Vérifier"
"Verify a TOTP code","Vérifier un code TOTP"
"Verify with a hardware key","Vérifier avec une clé matérielle"
"Verify with a passkey or biometric credential","Vérifier avec un passkey ou un identifiant biométrique"
"Verify with an enrolled passkey","Vérifier avec un passkey enregistré"
"Verify with {method}","Vérifier avec {method}"
"Verifying...","Vérification en cours..."
"You can set up 2-step verification for extra security or skip for now.","Vous pouvez configurer la vérification en 2 étapes pour renforcer la sécurité ou l'ignorer pour le moment."
"Your password has expired. Set a new password to continue.","Votre mot de passe a expiré. Définissez un nouveau mot de passe pour continuer."
"Your password must be changed before you continue.","Votre mot de passe doit être modifié avant de continuer."
"Your password was changed","Votre mot de passe a été modifié"
"Your sign-in already satisfies 2-step verification policy.","Votre connexion respecte déjà la politique de vérification en 2 étapes."
and,"et la"
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","L'authentification {method} n'est pas prise en charge dans ce navigateur. Veuillez utiliser une autre méthode de vérification en 2 étapes."
"{method} not supported","{method} non pris en charge"
"2-Step verification challenge is temporarily unavailable.","Le défi de vérification en 2 étapes est temporairement indisponible."
"A new code has been sent.","Un nouveau code a été envoyé."
"A new verification code was sent.","Un nouveau code de vérification a été envoyé."
"A new verification code was sent to your email address.","Un nouveau code de vérification a été envoyé à votre adresse e-mail."
"A new verification code was sent to your mobile phone via SMS.","Un nouveau code de vérification a été envoyé sur votre téléphone portable par SMS."
"Could not read current browser URL.","Impossible de lire l'URL actuelle du navigateur."
"Email code accepted. Sign-in would continue.","Code reçu par e-mail accepté. La connexion se poursuivrait."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Les codes par e-mail sont configurés. Saisissez le code envoyé à votre adresse e-mail ou renvoyez-le."
"Email codes are set up. Resend a code to continue.","Les codes par e-mail sont configurés. Renvoyez un code pour continuer."
"Enter a new password.","Saisissez un nouveau mot de passe."
"Enter a valid email address.","Saisissez une adresse e-mail valide."
"Enter the complete 6-digit authenticator code.","Saisissez le code complet à 6 chiffres de l'application d'authentification."
"Enter the complete 6-digit code from your authenticator app.","Saisissez le code complet à 6 chiffres de votre application d'authentification."
"Enter the complete verification code.","Saisissez le code de vérification complet."
"Enter the complete verification code (6 to 20 digits).","Saisissez le code de vérification complet (6 à 20 chiffres)."
"Enter the email address for your account.","Saisissez l'adresse e-mail de votre compte."
"Enter your current password.","Saisissez votre mot de passe actuel."
"Enter your password.","Saisissez votre mot de passe."
"Enter your username and password.","Saisissez votre nom d'utilisateur et votre mot de passe."
"Enter your username or email address.","Saisissez votre nom d'utilisateur ou votre adresse e-mail."
"Failed to decode passkey challenge options.","Échec du décodage des options du défi de passkey."
"Failed to decode verification challenge options.","Échec du décodage des options du défi de vérification."
"Failed to process passkey response.","Échec du traitement de la réponse du passkey."
"Failed to process verification response.","Échec du traitement de la réponse de vérification."
"Failed to process the security key registration response.","Échec du traitement de la réponse d'enregistrement de la clé de sécurité."
"Interactive sign-in is not allowed for this request.","La connexion interactive n'est pas autorisée pour cette requête."
"Incorrect username or password.","Nom d'utilisateur ou mot de passe incorrect."
"Invalid account selection payload.","Données de sélection de compte non valides."
"Invalid username or password.","Nom d'utilisateur ou mot de passe non valide."
"Passkey authentication is not supported in this browser.","L'authentification par passkey n'est pas prise en charge dans ce navigateur."
"Passkey challenge is unavailable.","Le défi de passkey est indisponible."
"Passkey challenge is temporarily unavailable.","Le défi de passkey est temporairement indisponible."
"Passkey sign-in is not supported in this browser.","La connexion par passkey n'est pas prise en charge dans ce navigateur."
"Passkey sign-in is temporarily unavailable.","La connexion par passkey est temporairement indisponible."
"Passkey sign-in security error. Please check domain or origin.","Erreur de sécurité lors de la connexion par passkey. Veuillez vérifier le domaine ou l'origine."
"Passkey sign-in was canceled or timed out.","La connexion par passkey a été annulée ou a expiré."
"Passkey sign-in failed. Please try again.","Échec de la connexion par passkey. Veuillez réessayer."
"Passkey ceremony would run in a real browser.","La cérémonie de passkey s'exécuterait dans un vrai navigateur."
"Password accepted. Sign-in would continue.","Mot de passe accepté. La connexion se poursuivrait."
"Password changed. Next login step would render.","Mot de passe modifié. L'étape de connexion suivante s'afficherait."
"Password recovery is not available.","La récupération du mot de passe n'est pas disponible."
"Password recovery is temporarily unavailable. Please try again.","La récupération du mot de passe est temporairement indisponible. Veuillez réessayer."
"Password sign-in is temporarily unavailable.","La connexion par mot de passe est temporairement indisponible."
"Request verification failed.","Échec de la vérification de la requête."
"Request verification failed. Please start again.","Échec de la vérification de la requête. Veuillez recommencer."
"Return to the application and start sign-in again.","Retournez à l'application et recommencez la connexion."
"Security key authentication is not supported in this browser.","L'authentification par clé de sécurité n'est pas prise en charge dans ce navigateur."
"Security key registration failed. Please try again.","Échec de l'enregistrement de la clé de sécurité. Veuillez réessayer."
"Security key registration security error. Please check domain or origin.","Erreur de sécurité lors de l'enregistrement de la clé de sécurité. Veuillez vérifier le domaine ou l'origine."
"Security key registration was canceled.","L'enregistrement de la clé de sécurité a été annulé."
"Security key registration was canceled or timed out.","L'enregistrement de la clé de sécurité a été annulé ou a expiré."
"Sign-in could not be completed. Please try again.","La connexion n'a pas pu aboutir. Veuillez réessayer."
"Sign-in is temporarily unavailable. Please try again.","La connexion est temporairement indisponible. Veuillez réessayer."
"Some sign-in methods are temporarily unavailable.","Certaines méthodes de connexion sont temporairement indisponibles."
"Skipping 2-step verification is not allowed for this account.","Ignorer la vérification en 2 étapes n'est pas autorisé pour ce compte."
"The code is invalid or expired.","Le code est non valide ou a expiré."
"The passwords do not match.","Les mots de passe ne correspondent pas."
"The selected account is no longer valid.","Le compte sélectionné n'est plus valide."
"The setup code could not be displayed.","Le code de configuration n'a pas pu être affiché."
"The sign-in link contains unsupported state.","Le lien de connexion contient un état non pris en charge."
"The sign-in link is invalid.","Le lien de connexion n'est pas valide."
"The sign-in request is in an invalid state.","La requête de connexion est dans un état non valide."
"The sign-in request is no longer valid.","La requête de connexion n'est plus valide."
"The sign-in request was already completed.","La requête de connexion a déjà été effectuée."
"The sign-in session is invalid or has expired.","La session de connexion est non valide ou a expiré."
"The sign-in service is temporarily unavailable.","Le service de connexion est temporairement indisponible."
"The sign-in service returned an invalid response.","Le service de connexion a renvoyé une réponse non valide."
"The verification code has expired.","Le code de vérification a expiré."
"This device does not support the required registration options.","Cet appareil ne prend pas en charge les options d'enregistrement requises."
"This device is already registered for your account.","Cet appareil est déjà enregistré pour votre compte."
"This passkey is not supported or not registered on this device.","Ce passkey n'est pas pris en charge ou n'est pas enregistré sur cet appareil."
"This password does not meet the password policy.","Ce mot de passe ne respecte pas la politique de mot de passe."
"This password recovery request has expired. Please start again.","Cette requête de récupération de mot de passe a expiré. Veuillez recommencer."
"This password reset link is invalid or has expired.","Ce lien de réinitialisation de mot de passe est non valide ou a expiré."
"This sign-in method is not available.","Cette méthode de connexion n'est pas disponible."
"Too many recovery attempts. Please retry later.","Trop de tentatives de récupération. Veuillez réessayer plus tard."
"Too many sign-in attempts. Please retry later.","Trop de tentatives de connexion. Veuillez réessayer plus tard."
"Unable to load 2-Step Verification options.","Impossible de charger les options de vérification en 2 étapes."
"Verification code sent to your email address.","Code de vérification envoyé à votre adresse e-mail."
"Verification code sent to your mobile phone via SMS.","Code de vérification envoyé sur votre téléphone portable par SMS."
"Would continue in ZITADEL.","Poursuivrait dans ZITADEL."
"Would continue the signed-in session.","Poursuivrait la session connectée."
"Would redirect to the identity provider.","Redirigerait vers le fournisseur d'identité."
"Your current password is incorrect.","Votre mot de passe actuel est incorrect."
