english,es
"Redirect after a completed sign-in","Redirección tras completar el inicio de sesión"
"Register a hardware key","Registrar una clave de hardware"
"Register a hardware security key, then verify it once to continue.","Registre una llave de seguridad de hardware y verifíquela una vez para continuar."
"Register a new passkey","Registrar una nueva passkey"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Registre una passkey con datos biométricos o PIN del dispositivo y verifíquela una vez para continuar."
"Register security key","Registrar llave de seguridad"
"Registering...","Registrando..."
"Registration cannot be resumed","No se puede reanudar el registro"
"Registration failed","Error de registro"
"Remember this email","Recordar este correo electrónico"
"Remember this identifier","Recordar este identificador"
"Request reset","Solicitar restablecimiento"
"Required enrollment chooser","Selector de registro obligatorio"
"Resend code","Reenviar código"
"Resend code ({seconds}s)","Reenviar código ({seconds}s)"
"Reset bootstrap spinner","Indicador de carga de restablecimiento"
"Reset finished successfully","Restablecimiento finalizado correctamente"
"Reset link sent","Enlace de restablecimiento enviado"
"Reset your password","Restablecer su contraseña"
"Retry loading options","Reintentar carga de opciones"
"SMS code","Código SMS"
"SMS verification code","Código de verificación por SMS"
"Saving...","Guardando..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Escanee el código con su aplicación de autenticación y, a continuación, introduzca el código de 6 dígitos que muestra."
"Screen directory","Directorio de pantallas"
"Screens","Pantallas"
"Security key","Llave de seguridad"
"Security key registration is not supported in this browser.","El registro de la llave de seguridad no es compatible con este navegador."
"Security key unsupported","Llave de seguridad no compatible"
"Select a method to set up 2-step verification for your account.","Seleccione un método para configurar la verificación en 2 pasos de su cuenta."
"Select among enrolled methods","Seleccionar entre los métodos registrados"
"Send SMS code","Enviar código SMS"
"Send a new code","Enviar un código nuevo"
"Send a verification code to your email address.","Enviar un código de verificación a su dirección de correo electrónico."
"Send a verification code to your mobile phone via SMS.","Enviar un código de verificación a su teléfono móvil por SMS."
"Send code","Enviar código"
"Send email code","Enviar código de correo electrónico"
"Send reset link","Enviar enlace de restablecimiento"
"Sending...","Enviando..."
"Sending code...","Enviando código..."
"Set new password","Establecer nueva contraseña"
"Set up 2-step verification","Configurar la verificación en 2 pasos"
"Set up a factor","Configurar un factor"
"Set up a passkey","Configurar una passkey"
"Set up a security key","Configurar una llave de seguridad"
"Set up authenticator","Configurar autenticador"
"Set up authenticator app","Configurar aplicación de autenticación"
"Set up email codes","Configurar códigos de correo electrónico"
"Set up {method}","Configurar {method}"
"Setting up...","Configurando..."
"Setup key (if you cannot scan)","Clave de configuración (si no puede escanear)"
"Show","Mostrar"
"Show password","Mostrar contraseña"
"Show setup key","Mostrar clave de configuración"
"Sidebar","Barra lateral"
"Sign in","Iniciar sesión"
"Sign in with a passkey","Iniciar sesión con una passkey"
"Sign in with passkey","Iniciar sesión con passkey"
"Sign in with password","Iniciar sesión con contraseña"
"Sign in with your new password to continue.","Inicie sesión con su nueva contraseña para continuar."
"Sign in with {provider}","Iniciar sesión con {provider}"
"Sign in with {provider} was not completed. Please try again.","El inicio de sesión con {provider} no se completó. Por favor, inténtelo de nuevo."
"Sign-in was not completed","El inicio de sesión no se completó"
"Signing in...","Iniciando sesión..."
"Skip for now","Omitir por ahora"
"Skip or enroll a method","Omitir o registrar un método"
"Skipping...","Omitiendo..."
"Start TOTP enrollment","Iniciar registro de TOTP"
"Start an external provider","Iniciar un proveedor externo"
"Start email-code sign-in","Iniciar sesión con código de correo electrónico"
"Start setup","Iniciar configuración"
"Start sign-in again","Iniciar sesión de nuevo"
"Starting setup...","Iniciando configuración..."
"Supported browser, identifier first","Navegador compatible, identificador primero"
"System","Sistema"
"System theme","Tema del sistema"
"Terms of Service","Términos de servicio"
"Theme","Tema"
"Theme is set by the organization","El tema lo define la organización"
"This 2-step verification option requires native ZITADEL sign-in.","Esta opción de verificación en 2 pasos requiere el inicio de sesión nativo de ZITADEL."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Este registro no se puede reanudar después de recargar. Continúe en ZITADEL para finalizar la configuración."
"This reset link is no longer valid","Este enlace de restablecimiento ya no es válido"
"Try again","Intentar de nuevo"
"UI demo","Demostración de interfaz"
"Unable to continue","No es posible continuar"
"Unsupported method","Método no compatible"
"Use a code from Google Authenticator, Authy, or 1Password","Utilice un código de Google Authenticator, Authy o 1Password"
"Use a hardware security key (FIDO U2F)","Utilice una llave de seguridad de hardware (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Utilice una aplicación de autenticación como 1Password, Google Authenticator o Aegis para generar códigos de 6 dígitos."
"Use another method or account","Utilizar otro método o cuenta"
"Use your fingerprint, face, or device PIN","Utilice su huella digital, rostro o PIN del dispositivo"
"Username or email","Nombre de usuario o correo electrónico"
"Valid reset-link form","Formulario de enlace de restablecimiento válido"
"Verification code","Código de verificación"
"Verification codes will be sent to your account email address.","Los códigos de verificación se enviarán a la dirección de correo electrónico de su cuenta."
"Verification with {method} will be completed in the next update.","La verificación con {method} se completará en la próxima actualización."
"Verify","Verificar"
"Verify a TOTP code","Verificar un código TOTP"
"Verify with a hardware key","Verificar con una llave de hardware"
"Verify with a passkey or biometric credential","Verificar con una passkey o credencial biométrica"
"Verify with an enrolled passkey","Verificar con una passkey registrada"
"Verify with {method}","Verificar con {method}"
"Verifying...","Verificando..."
"You can set up 2-step verification for extra security or skip for now.","Puede configurar la verificación en 2 pasos para mayor seguridad o ignorarla por ahora."
"Your password has expired. Set a new password to continue.","Su contraseña ha caducado. Establezca una nueva contraseña para continuar."
"Your password must be changed before you continue.","Debe cambiar su contraseña antes de continuar."
"Your password was changed","Se ha cambiado su contraseña"
"Your sign-in already satisfies 2-step verification policy.","Su inicio de sesión ya cumple la política de verificación en 2 pasos."
and,"y la"
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","La autenticación con {method} no es compatible con este navegador. Por favor, utilice otro método de verificación en 2 pasos."
"{method} not supported","{method} no compatible"
"2-Step verification challenge is temporarily unavailable.","El desafío de verificación en 2 pasos no está disponible temporalmente."
"A new code has been sent.","Se ha enviado un nuevo código."
"A new verification code was sent.","Se ha enviado un nuevo código de verificación."
"A new verification code was sent to your email address.","Se ha enviado un nuevo código de verificación a su dirección de correo electrónico."
"A new verification code was sent to your mobile phone via SMS.","Se ha enviado un nuevo código de verificación a su teléfono móvil por SMS."
"Could not read current browser URL.","No se pudo leer la URL actual del navegador."
"Email code accepted. Sign-in would continue.","Código de correo electrónico aceptado. El inicio de sesión continuaría."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Los códigos de correo electrónico están configurados. Introduzca el código enviado a su dirección de correo electrónico o reenvíelo."
"Email codes are set up. Resend a code to continue.","Los códigos de correo electrónico están configurados. Reenvíe un código para continuar."
"Enter a new password.","Introduzca una nueva contraseña."
"Enter a valid email address.","Introduzca una dirección de correo electrónico válida."
"Enter the complete 6-digit authenticator code.","Introduzca el código completo de 6 dígitos del autenticador."
"Enter the complete 6-digit code from your authenticator app.","Introduzca el código completo de 6 dígitos de su aplicación de autenticación."
"Enter the complete verification code.","Introduzca el código de verificación completo."
"Enter the complete verification code (6 to 20 digits).","Introduzca el código de verificación completo (de 6 a 20 dígitos)."
"Enter the email address for your account.","Introduzca la dirección de correo electrónico de su cuenta."
"Enter your current password.","Introduzca su contraseña actual."
"Enter your password.","Introduzca su contraseña."
"Enter your username and password.","Introduzca su nombre de usuario y contraseña."
"Enter your username or email address.","Introduzca su nombre de usuario o dirección de correo electrónico."
"Failed to decode passkey challenge options.","No se pudieron descodificar las opciones del desafío de passkey."
"Failed to decode verification challenge options.","No se pudieron descodificar las opciones del desafío de verificación."
"Failed to process passkey response.","No se pudo procesar la respuesta de passkey."
"Failed to process verification response.","No se pudo procesar la respuesta de verificación."
"Failed to process the security key registration response.","No se pudo procesar la respuesta de registro de la llave de seguridad."
"Interactive sign-in is not allowed for this request.","El inicio de sesión interactivo no está permitido para esta solicitud."
"Incorrect username or password.","Nombre de usuario o contraseña incorrectos."
"Invalid account selection payload.","Carga útil de selección de cuenta no válida."
"Invalid username or password.","Nombre de usuario o contraseña no válidos."
"Passkey authentication is not supported in this browser.","La autenticación con passkey no es compatible con este navegador."
"Passkey challenge is unavailable.","El desafío de passkey no está disponible."
"Passkey challenge is temporarily unavailable.","El desafío de passkey no está disponible temporalmente."
"Passkey sign-in is not supported in this browser.","El inicio de sesión con passkey no es compatible con este navegador."
"Passkey sign-in is temporarily unavailable.","El inicio de sesión con passkey no está disponible temporalmente."
"Passkey sign-in security error. Please check domain or origin.","Error de seguridad en el inicio de sesión con passkey. Compruebe el dominio o el origen."
"Passkey sign-in was canceled or timed out.","El inicio de sesión con passkey se canceló o expiró."
"Passkey sign-in failed. Please try again.","Error en el inicio de sesión con passkey. Por favor, inténtelo de nuevo."
"Passkey ceremony would run in a real browser.","La ceremonia de passkey se ejecutaría en un navegador real."
"Password accepted. Sign-in would continue.","Contraseña aceptada. El inicio de sesión continuaría."
"Password changed. Next login step would render.","Contraseña cambiada. Se mostraría el siguiente paso de inicio de sesión."
"Password recovery is not available.","La recuperación de contraseña no está disponible."
"Password recovery is temporarily unavailable. Please try again.","La recuperación de contraseña no está disponible temporalmente. Por favor, inténtelo de nuevo."
"Password sign-in is temporarily unavailable.","El inicio de sesión con contraseña no está disponible temporalmente."
"Request verification failed.","Error en la verificación de la solicitud."
"Request verification failed. Please start again.","Error en la verificación de la solicitud. Por favor, comience de nuevo."
"Return to the application and start sign-in again.","Vuelva a la aplicación e inicie sesión de nuevo."
"Security key authentication is not supported in this browser.","La autenticación con llave de seguridad no es compatible con este navegador."
"Security key registration failed. Please try again.","Error en el registro de la llave de seguridad. Por favor, inténtelo de nuevo."
"Security key registration security error. Please check domain or origin.","Error de seguridad en el registro de la llave de seguridad. Compruebe el dominio o el origen."
"Security key registration was canceled.","El registro de la llave de seguridad se canceló."
"Security key registration was canceled or timed out.","El registro de la llave de seguridad se canceló o expiró."
"Sign-in could not be completed. Please try again.","No se pudo completar el inicio de sesión. Por favor, inténtelo de nuevo."
"Sign-in is temporarily unavailable. Please try again.","El inicio de sesión no está disponible temporalmente. Por favor, inténtelo de nuevo."
"Some sign-in methods are temporarily unavailable.","Algunos métodos de inicio de sesión no están disponibles temporalmente."
"Skipping 2-step verification is not allowed for this account.","No está permitido omitir la verificación en 2 pasos para esta cuenta."
"The code is invalid or expired.","El código no es válido o ha caducado."
"The passwords do not match.","Las contraseñas no coinciden."
"The selected account is no longer valid.","La cuenta seleccionada ya no es válida."
"The setup code could not be displayed.","No se pudo mostrar el código de configuración."
"The sign-in link contains unsupported state.","El enlace de inicio de sesión contiene un estado no compatible."
"The sign-in link is invalid.","El enlace de inicio de sesión no es válido."
"The sign-in request is in an invalid state.","La solicitud de inicio de sesión está en un estado no válido."
"The sign-in request is no longer valid.","La solicitud de inicio de sesión ya no es válida."
"The sign-in request was already completed.","La solicitud de inicio de sesión ya se había completado."
"The sign-in session is invalid or has expired.","La sesión de inicio de sesión no es válida o ha caducado."
"The sign-in service is temporarily unavailable.","El servicio de inicio de sesión no está disponible temporalmente."
"The sign-in service returned an invalid response.","El servicio de inicio de sesión devolvió una respuesta no válida."
"The verification code has expired.","El código de verificación ha caducado."
"This device does not support the required registration options.","Este dispositivo no es compatible con las opciones de registro requeridas."
"This device is already registered for your account.","Este dispositivo ya está registrado para su cuenta."
"This passkey is not supported or not registered on this device.","Esta passkey no es compatible o no está registrada en este dispositivo."
"This password does not meet the password policy.","Esta contraseña no cumple la política de contraseñas."
"This password recovery request has expired. Please start again.","Esta solicitud de recuperación de contraseña ha caducado. Por favor, comience de nuevo."
"This password reset link is invalid or has expired.","Este enlace de restablecimiento de contraseña no es válido o ha caducado."
"This sign-in method is not available.","Este método de inicio de sesión no está disponible."
"Too many recovery attempts. Please retry later.","Demasiados intentos de recuperación. Por favor, inténtelo de nuevo más tarde."
"Too many sign-in attempts. Please retry later.","Demasiados intentos de inicio de sesión. Por favor, inténtelo de nuevo más tarde."
"Unable to load 2-Step Verification options.","No se pueden cargar las opciones de verificación en 2 pasos."
"Verification code sent to your email address.","Código de verificación enviado a su dirección de correo electrónico."
"Verification code sent to your mobile phone via SMS.","Código de verificación enviado a su teléfono móvil por SMS."
"Would continue in ZITADEL.","Continuaría en ZITADEL."
"Would continue the signed-in session.","Continuaría la sesión iniciada."
"Would redirect to the identity provider.","Redirigiría al proveedor de identidad."
"Your current password is incorrect.","Su contraseña actual es incorrecta."
