english,nl
"Password recovery unavailable","Wachtwoordherstel niet beschikbaar"
"Password sign-in","Inloggen met wachtwoord"
"Password changed","Wachtwoord gewijzigd"
"Pending email OTP verification","In afwachting van e-mail-OTP-verificatie"
"Policy already met","Beleid al voldaan"
"Policy-required password change","Wachtwoordwijziging vereist volgens beleid"
"Previous","Vorige"
"Privacy Policy","Privacybeleid"
"Provider failure","Providerfout"
"QR code for authenticator app setup","QR-code voor het instellen van de authenticator-app"
"Reauthentication required","Opnieuw verifiëren vereist"
"Receive a one-time code","Eenmalige code ontvangen"
"Receive a one-time verification code via email","Eenmalige verificatiecode via e-mail ontvangen"
"Receive a one-time verification code via SMS","Eenmalige verificatiecode via sms ontvangen"
"Recent accounts","Recente accounts"
"Recent accounts plus methods","Recente accounts en methoden"
"Recovery","Herstel"
"Recovery bootstrap spinner","Laadindicator voor herstel"
"Recovery code verification requires native ZITADEL sign-in.","Verificatie met herstelcode vereist native ZITADEL-inloggen."
"Recovery unavailable","Herstel niet beschikbaar"
"Redirect after a completed sign-in","Doorverwijzing na voltooide aanmelding"
"Register a hardware key","Een beveiligingssleutel registreren"
"Register a hardware security key, then verify it once to continue.","Registreer een hardware-beveiligingssleutel en verifieer deze één keer om door te gaan."
"Register a new passkey","Een nieuwe passkey registreren"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Registreer een passkey met biometrische gegevens of een pincode van het apparaat en verifieer deze één keer om door te gaan."
"Register security key","Beveiligingssleutel registreren"
"Registering...","Registreren..."
"Registration cannot be resumed","Registratie kan niet worden hervat"
"Registration failed","Registratie mislukt"
"Remember this email","Dit e-mailadres onthouden"
"Remember this identifier","Deze gebruikersnaam onthouden"
"Request reset","Herstel aanvragen"
"Required enrollment chooser","Kiezer voor vereiste registratie"
"Resend code","Code opnieuw verzenden"
"Resend code ({seconds}s)","Code opnieuw verzenden ({seconds}s)"
"Reset bootstrap spinner","Laadindicator voor resetten"
"Reset finished successfully","Wachtwoordherstel succesvol voltooid"
"Reset link sent","Herstellink verzonden"
"Reset your password","Stel uw wachtwoord opnieuw in"
"Retry loading options","Opties opnieuw proberen te laden"
"SMS code","Sms-code"
"SMS verification code","Sms-verificatiecode"
"Saving...","Opslaan..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Scan de code met uw authenticator-app en voer vervolgens de 6-cijferige code in die wordt weergegeven."
"Screen directory","Schermoverzicht"
"Screens","Schermen"
"Security key","Beveiligingssleutel"
"Security key registration is not supported in this browser.","Registratie van beveiligingssleutels wordt in deze browser niet ondersteund."
"Security key unsupported","Beveiligingssleutel niet ondersteund"
"Select a method to set up 2-step verification for your account.","Selecteer een methode om tweestapsverificatie in te stellen voor uw account."
"Select among enrolled methods","Selecteer uit geregistreerde methoden"
"Send SMS code","Sms-code verzenden"
"Send a new code","Een nieuwe code verzenden"
"Send a verification code to your email address.","Een verificatiecode naar uw e-mailadres verzenden."
"Send a verification code to your mobile phone via SMS.","Een verificatiecode via sms naar uw mobiele telefoon verzenden."
"Send code","Code verzenden"
"Send email code","E-mailcode verzenden"
"Send reset link","Herstellink verzenden"
"Sending...","Verzenden..."
"Sending code...","Code verzenden..."
"Set new password","Nieuw wachtwoord instellen"
"Set up 2-step verification","Tweestapsverificatie instellen"
"Set up a factor","Een factor instellen"
"Set up a passkey","Een passkey instellen"
"Set up a security key","Een beveiligingssleutel instellen"
"Set up authenticator","Authenticator instellen"
"Set up authenticator app","Authenticator-app instellen"
"Set up email codes","E-mailcodes instellen"
"Set up {method}","{method} instellen"
"Setting up...","Instellen..."
"Setup key (if you cannot scan)","Instelsleutel (als u niet kunt scannen)"
"Show","Tonen"
"Show password","Wachtwoord tonen"
"Show setup key","Instelsleutel tonen"
"Sidebar","Zijbalk"
"Sign in","Inloggen"
"Sign in with a passkey","Inloggen met een passkey"
"Sign in with passkey","Inloggen met passkey"
"Sign in with password","Inloggen met wachtwoord"
"Sign in with your new password to continue.","Log in met uw nieuwe wachtwoord om door te gaan."
"Sign in with {provider}","Inloggen met {provider}"
"Sign in with {provider} was not completed. Please try again.","Inloggen met {provider} is niet voltooid. Probeer het opnieuw."
"Sign-in was not completed","Inloggen is niet voltooid"
"Signing in...","Inloggen..."
"Skip for now","Nu overslaan"
"Skip or enroll a method","Overslaan of een methode registreren"
"Skipping...","Overslaan..."
"Start TOTP enrollment","TOTP-registratie starten"
"Start an external provider","Een externe provider starten"
"Start email-code sign-in","Inloggen met e-mailcode starten"
"Start setup","Instellen starten"
"Start sign-in again","Inloggen opnieuw starten"
"Starting setup...","Instellen starten..."
"Supported browser, identifier first","Ondersteunde browser, eerst gebruikersnaam"
"System","Systeem"
"System theme","Systeemthema"
"Terms of Service","Servicevoorwaarden"
"Theme","Thema"
"Theme is set by the organization","Thema is ingesteld door de organisatie"
"This 2-step verification option requires native ZITADEL sign-in.","Deze optie voor tweestapsverificatie vereist native ZITADEL-inloggen."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Deze registratie kan niet worden hervat na opnieuw laden. Ga door in ZITADEL om de instelling te voltooien."
"This reset link is no longer valid","Deze herstellink is niet meer geldig"
"Try again","Opnieuw proberen"
"UI demo","UI-demo"
"Unable to continue","Kan niet doorgaan"
"Unsupported method","Niet-ondersteunde methode"
"Use a code from Google Authenticator, Authy, or 1Password","Gebruik een code van Google Authenticator, Authy of 1Password"
"Use a hardware security key (FIDO U2F)","Gebruik een hardware-beveiligingssleutel (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Gebruik een authenticator-app zoals 1Password, Google Authenticator of Aegis om 6-cijferige codes te genereren."
"Use another method or account","Gebruik een andere methode of account"
"Use your existing {provider} account to sign in","Gebruik uw bestaande {provider}-account om in te loggen"
"Use your fingerprint, face, or device PIN","Gebruik uw vingerafdruk, gezichtsherkenning of pincode van het apparaat"
"Username or email","Gebruikersnaam of e-mailadres"
"Valid reset-link form","Geldig formulier voor herstellink"
"Verification code","Verificatiecode"
"Verification codes will be sent to your account email address.","Verificatiecodes worden verzonden naar het e-mailadres van uw account."
"Verification with {method} will be completed in the next update.","Verificatie met {method} wordt voltooid in de volgende update."
"Verify","Verifiëren"
"Verify a TOTP code","Een TOTP-code verifiëren"
"Verify with a hardware key","Verifiëren met een beveiligingssleutel"
"Verify with a passkey or biometric credential","Verifiëren met een passkey of biometrische gegevens"
"Verify with an enrolled passkey","Verifiëren met een geregistreerde passkey"
"Verify with {method}","Verifiëren met {method}"
"Verifying...","Verifiëren..."
"You can set up 2-step verification for extra security or skip for now.","U kunt tweestapsverificatie instellen voor extra beveiliging of dit nu overslaan."
"Your password has expired. Set a new password to continue.","Uw wachtwoord is verlopen. Stel een nieuw wachtwoord in om door te gaan."
"Your password must be changed before you continue.","Uw wachtwoord moet worden gewijzigd voordat u kunt doorgaan."
"Your password was changed","Uw wachtwoord is gewijzigd"
"Your sign-in already satisfies 2-step verification policy.","Uw inlogpoging voldoet al aan het beleid voor tweestapsverificatie."
and,"en het"
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","{method}-authenticatie wordt niet ondersteund in deze browser. Gebruik een andere methode voor tweestapsverificatie."
"{method} not supported","{method} niet ondersteund"
"2-Step verification challenge is temporarily unavailable.","Tweestapsverificatieverzoek is tijdelijk niet beschikbaar."
"A new code has been sent.","Er is een nieuwe code verzonden."
"A new verification code was sent.","Er is een nieuwe verificatiecode verzonden."
"A new verification code was sent to your email address.","Er is een nieuwe verificatiecode naar uw e-mailadres verzonden."
"A new verification code was sent to your mobile phone via SMS.","Er is een nieuwe verificatiecode via sms naar uw mobiele telefoon verzonden."
"Could not read current browser URL.","Kon huidige browser-URL niet lezen."
"Email code accepted. Sign-in would continue.","E-mailcode geaccepteerd. Inloggen zou doorgaan."
"Email codes are set up. Enter the code sent to your email address, or resend it.","E-mailcodes zijn ingesteld. Voer de code in die naar uw e-mailadres is verzonden, of verzend deze opnieuw."
"Email codes are set up. Resend a code to continue.","E-mailcodes zijn ingesteld. Verzend een code opnieuw om door te gaan."
"Enter a new password.","Voer een nieuw wachtwoord in."
"Enter a valid email address.","Voer een geldig e-mailadres in."
"Enter the complete 6-digit authenticator code.","Voer de volledige 6-cijferige authenticator-code in."
"Enter the complete 6-digit code from your authenticator app.","Voer de volledige 6-cijferige code uit uw authenticator-app in."
"Enter the complete verification code.","Voer de volledige verificatiecode in."
"Enter the complete verification code (6 to 20 digits).","Voer de volledige verificatiecode in (6 tot 20 cijfers)."
"Enter the email address for your account.","Voer het e-mailadres voor uw account in."
"Enter your current password.","Voer uw huidige wachtwoord in."
"Enter your password.","Voer uw wachtwoord in."
"Enter your username and password.","Voer uw gebruikersnaam en wachtwoord in."
"Enter your username or email address.","Voer uw gebruikersnaam of e-mailadres in."
"Failed to decode passkey challenge options.","Decoderen van opties voor passkey-verificatie is mislukt."
"Failed to decode verification challenge options.","Decoderen van verificatieopties is mislukt."
"Failed to process passkey response.","Verwerken van passkey-respons is mislukt."
"Failed to process verification response.","Verwerken van verificatierespons is mislukt."
"Failed to process the security key registration response.","Verwerken van de registratierespons van de beveiligingssleutel is mislukt."
"Interactive sign-in is not allowed for this request.","Interactief inloggen is niet toegestaan voor dit verzoek."
"Incorrect username or password.","Onjuiste gebruikersnaam of wachtwoord."
"Invalid account selection payload.","Ongeldige payload voor accountselectie."
"Invalid username or password.","Ongeldige gebruikersnaam of wachtwoord."
"Passkey authentication is not supported in this browser.","Passkey-authenticatie wordt niet ondersteund in deze browser."
"Passkey challenge is unavailable.","Passkey-verificatieverzoek is niet beschikbaar."
"Passkey challenge is temporarily unavailable.","Passkey-verificatieverzoek is tijdelijk niet beschikbaar."
"Passkey sign-in is not supported in this browser.","Inloggen met passkey wordt niet ondersteund in deze browser."
"Passkey sign-in is temporarily unavailable.","Inloggen met passkey is tijdelijk niet beschikbaar."
"Passkey sign-in security error. Please check domain or origin.","Beveiligingsfout bij inloggen met passkey. Controleer domein of origin."
"Passkey sign-in was canceled or timed out.","Inloggen met passkey is geannuleerd of er is een time-out opgetreden."
"Passkey sign-in failed. Please try again.","Inloggen met passkey is mislukt. Probeer het opnieuw."
"Passkey ceremony would run in a real browser.","Passkey-ceremonie zou in een echte browser worden uitgevoerd."
"Password accepted. Sign-in would continue.","Wachtwoord geaccepteerd. Inloggen zou doorgaan."
"Password changed. Next login step would render.","Wachtwoord gewijzigd. Volgende inlogstap zou worden weergegeven."
"Password recovery is not available.","Wachtwoordherstel is niet beschikbaar."
"Password recovery is temporarily unavailable. Please try again.","Wachtwoordherstel is tijdelijk niet beschikbaar. Probeer het opnieuw."
"Password sign-in is temporarily unavailable.","Inloggen met wachtwoord is tijdelijk niet beschikbaar."
"Request verification failed.","Verificatie van verzoek is mislukt."
"Request verification failed. Please start again.","Verificatie van verzoek is mislukt. Begin opnieuw."
"Return to the application and start sign-in again.","Keer terug naar de applicatie en start het inloggen opnieuw."
"Security key authentication is not supported in this browser.","Authenticatie met beveiligingssleutel wordt niet ondersteund in deze browser."
"Security key registration failed. Please try again.","Registratie van beveiligingssleutel is mislukt. Probeer het opnieuw."
"Security key registration security error. Please check domain or origin.","Beveiligingsfout bij registratie van beveiligingssleutel. Controleer domein of origin."
"Security key registration was canceled.","Registratie van beveiligingssleutel is geannuleerd."
"Security key registration was canceled or timed out.","Registratie van beveiligingssleutel is geannuleerd of er is een time-out opgetreden."
"Sign-in could not be completed. Please try again.","Inloggen kon niet worden voltooid. Probeer het opnieuw."
"Sign-in is temporarily unavailable. Please try again.","Inloggen is tijdelijk niet beschikbaar. Probeer het opnieuw."
"Some sign-in methods are temporarily unavailable.","Sommige inlogmethoden zijn tijdelijk niet beschikbaar."
"Skipping 2-step verification is not allowed for this account.","Het overslaan van tweestapsverificatie is niet toegestaan voor dit account."
"The code is invalid or expired.","De code is ongeldig of verlopen."
"The passwords do not match.","De wachtwoorden komen niet overeen."
"The selected account is no longer valid.","Het geselecteerde account is niet meer geldig."
"The setup code could not be displayed.","De instelcode kon niet worden weergegeven."
"The sign-in link contains unsupported state.","De inloglink bevat een niet-ondersteunde status."
"The sign-in link is invalid.","De inloglink is ongeldig."
"The sign-in request is in an invalid state.","Het inlogverzoek bevindt zich in een ongeldige status."
"The sign-in request is no longer valid.","Het inlogverzoek is niet meer geldig."
"The sign-in request was already completed.","Het inlogverzoek was al voltooid."
"The sign-in session is invalid or has expired.","De inlogsessie is ongeldig of verlopen."
"The sign-in service is temporarily unavailable.","De inlogservice is tijdelijk niet beschikbaar."
"The sign-in service returned an invalid response.","De inlogservice retourneerde een ongeldig antwoord."
"The verification code has expired.","De verificatiecode is verlopen."
"This device does not support the required registration options.","Dit apparaat ondersteunt de vereiste registratieopties niet."
"This device is already registered for your account.","Dit apparaat is al geregistreerd voor uw account."
"This passkey is not supported or not registered on this device.","Deze passkey wordt niet ondersteund of is niet geregistreerd op dit apparaat."
"This password does not meet the password policy.","Dit wachtwoord voldoet niet aan het wachtwoordbeleid."
"This password recovery request has expired. Please start again.","Dit verzoek voor wachtwoordherstel is verlopen. Begin opnieuw."
"This password reset link is invalid or has expired.","Deze link voor wachtwoordherstel is ongeldig of verlopen."
"This sign-in method is not available.","Deze inlogmethode is niet beschikbaar."
"Too many recovery attempts. Please retry later.","Te veel herstelpogingen. Probeer het later opnieuw."
"Too many sign-in attempts. Please retry later.","Te veel inlogpogingen. Probeer het later opnieuw."
"Unable to load 2-Step Verification options.","Kan opties voor tweestapsverificatie niet laden."
"Verification code sent to your email address.","Verificatiecode verzonden naar uw e-mailadres."
"Verification code sent to your mobile phone via SMS.","Verificatiecode via sms naar uw mobiele telefoon verzonden."
"Would continue in ZITADEL.","Zou doorgaan in ZITADEL."
"Would continue the signed-in session.","Zou de ingelogde sessie voortzetten."
"Would redirect to the identity provider.","Zou doorverwijzen naar de identiteitsprovider."
"Your current password is incorrect.","Uw huidige wachtwoord is onjuist."
