english,hu
"Hide setup key","Beállítási kulcs elrejtése"
"Identifier and password","Azonosító és jelszó"
"Identity provider","Identitásszolgáltató"
"If an account matches that email address, we sent a password reset link.","Ha létezik fiók ezzel az e-mail-címmel, elküldtük a jelszó-visszaállító linket."
"Initial sign-in bootstrap","Bejelentkezés kezdeti inicializálása"
"Invalid credentials message","Érvénytelen hitelesítési adatok üzenet"
"Invalid reset link","Érvénytelen visszaállító link"
"Jump to any screen or variant","Ugrás bármely képernyőre vagy változatra"
"Language","Nyelv"
"Last used","Legutóbb használt"
"Legacy MFA-required fallback","Örökölt kötelező MFA tartalékmegoldás"
"Light","Világos"
"Light theme","Világos téma"
"Linking failed","Az összekapcsolás nem sikerült"
"Loading","Betöltés"
"Loading 2-step verification options...","Kétlépcsős azonosítási lehetőségek betöltése..."
"Loading options","Lehetőségek betöltése"
"Loading password recovery...","Jelszó-visszaállítás betöltése..."
"Loading recovery","Helyreállítás betöltése"
"Loading sign-in...","Bejelentkezés betöltése..."
"MFA","MFA"
"Method chooser","Módszerválasztó"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","Ehhez a fiókhoz többtényezős hitelesítés (MFA) szükséges. Az MFA támogatása az 5. feladatban válik elérhetővé."
"Name (optional)","Név (nem kötelező)"
"Native fallback","Natív tartalékmegoldás"
"New password","Új jelszó"
"Next","Tovább"
"No account linked","Nincs összekapcsolt fiók"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","Nincs ZITADEL-fiók összekapcsolva ezzel a(z) {provider}-fiókkal. A fiók-összekapcsolás és az önkiszolgáló regisztráció még nincs engedélyezve."
"No linked ZITADEL account","Nincs összekapcsolt ZITADEL-fiók"
"Open any login screen with fake data. Actions stay inside /demo.","Bármely bejelentkezési képernyő megnyitása tesztadatokkal. A műveletek a /demo útvonalon belül maradnak."
"Optional 2-step verification","Opcionális kétlépcsős azonosítás"
"Optional setup","Opcionális beállítás"
"Options failed","A lehetőségek betöltése nem sikerült"
"Or choose a method","Vagy válasszon egy módszert"
"Passkey","Passkey"
"Passkey factor","Passkey-faktor"
"Passkey MFA placeholder","Passkey MFA helyőrző"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","A passkey-alapú hitelesítés nem támogatott ebben a böngészőben. Kérjük, használjon másik bejelentkezési módszert."
"Passkey not supported","A passkey nem támogatott"
"Passkey registration is not supported in this browser.","A passkey-regisztráció nem támogatott ebben a böngészőben."
"Passkey setup unavailable","A passkey-beállítás nem érhető el"
"Passkey sign-in","Passkey-bejelentkezés"
"Passkey unsupported","A passkey nem támogatott"
"Password","Jelszó"
"Password error","Jelszóhiba"
"Password expired","A jelszó lejárt"
"Password MFA placeholder","Jelszó MFA helyőrző"
"Password recovery unavailable","A jelszó-visszaállítás nem érhető el"
"Password sign-in","Jelszavas bejelentkezés"
"Password changed","A jelszó megváltozott"
"Pending email OTP verification","Függőben lévő e-mail OTP-ellenőrzés"
"Policy already met","A szabályzat már teljesült"
"Policy-required password change","Szabályzat által előírt jelszómódosítás"
"Previous","Vissza"
"Privacy Policy","Adatvédelmi irányelveket"
"Provider failure","Szolgáltatói hiba"
"QR code for authenticator app setup","QR-kód a hitelesítő alkalmazás beállításához"
"Reauthentication required","Újrahitelesítés szükséges"
"Receive a one-time code","Egyszeri kód fogadása"
"Receive a one-time verification code via email","Egyszeri ellenőrző kód fogadása e-mailben"
"Receive a one-time verification code via SMS","Egyszeri ellenőrző kód fogadása SMS-ben"
"Recent accounts","Legutóbbi fiókok"
"Recent accounts plus methods","Legutóbbi fiókok és módszerek"
"Recovery","Helyreállítás"
"Recovery bootstrap spinner","Helyreállítás betöltésjelző"
"Recovery code verification requires native ZITADEL sign-in.","A helyreállítási kód ellenőrzéséhez natív ZITADEL-bejelentkezés szükséges."
"Recovery unavailable","A helyreállítás nem érhető el"
"Redirect after a completed sign-in","Átirányítás sikeres bejelentkezés után"
"Register a hardware key","Hardveres kulcs regisztrálása"
"Register a hardware security key, then verify it once to continue.","Regisztráljon egy hardveres biztonsági kulcsot, majd ellenőrizze egyszer a folytatáshoz."
"Register a new passkey","Új passkey regisztrálása"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","Regisztráljon egy passkey-t biometrikus adatokkal vagy eszköz-PIN-kóddal, majd ellenőrizze egyszer a folytatáshoz."
"Register security key","Biztonsági kulcs regisztrálása"
"Registering...","Regisztráció..."
"Registration cannot be resumed","A regisztráció nem folytatható"
"Registration failed","A regisztráció nem sikerült"
"Remember this email","Emlékezzen erre az e-mail-címre"
"Remember this identifier","Emlékezzen erre az azonosítóra"
"Request reset","Visszaállítás kérése"
"Required enrollment chooser","Kötelező regisztráció választó"
"Resend code","Kód újraküldése"
"Resend code ({seconds}s)","Kód újraküldése ({seconds} mp)"
"Reset bootstrap spinner","Visszaállítás betöltésjelző"
"Reset finished successfully","A visszaállítás sikeresen befejeződött"
"Reset link sent","Visszaállító link elküldve"
"Reset your password","Jelszó visszaállítása"
"Retry loading options","Lehetőségek újratöltése"
"SMS code","SMS-kód"
"SMS verification code","SMS ellenőrző kód"
"Saving...","Mentés..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","Olvassa be a kódot a hitelesítő alkalmazásával, majd adja meg az ott megjelenő 6 számjegyű kódot."
"Screen directory","Képernyőjegyzék"
"Screens","Képernyők"
"Security key","Biztonsági kulcs"
"Security key registration is not supported in this browser.","A biztonsági kulcs regisztrációja nem támogatott ebben a böngészőben."
"Security key unsupported","A biztonsági kulcs nem támogatott"
"Select a method to set up 2-step verification for your account.","Válasszon módszert a kétlépcsős azonosítás beállításához a fiókjához."
"Select among enrolled methods","Válasszon a regisztrált módszerek közül"
"Send SMS code","SMS-kód küldése"
"Send a new code","Új kód küldése"
"Send a verification code to your email address.","Ellenőrző kód küldése az e-mail-címére."
"Send a verification code to your mobile phone via SMS.","Ellenőrző kód küldése a mobiltelefonjára SMS-ben."
"Send code","Kód küldése"
"Send email code","E-mail kód küldése"
"Send reset link","Visszaállító link küldése"
"Sending...","Küldés..."
"Sending code...","Kód küldése..."
"Set new password","Új jelszó megadása"
"Set up 2-step verification","Kétlépcsős azonosítás beállítása"
"Set up a factor","Faktor beállítása"
"Set up a passkey","Passkey beállítása"
"Set up a security key","Biztonsági kulcs beállítása"
"Set up authenticator","Hitelesítő beállítása"
"Set up authenticator app","Hitelesítő alkalmazás beállítása"
"Set up email codes","E-mail kódok beállítása"
"Set up {method}","{method} beállítása"
"Setting up...","Beállítás folyamatban..."
"Setup key (if you cannot scan)","Beállítási kulcs (ha nem tud beolvasni)"
"Show","Megjelenítés"
"Show password","Jelszó megjelenítése"
"Show setup key","Beállítási kulcs megjelenítése"
"Sidebar","Oldalsáv"
"Sign in","Bejelentkezés"
"Sign in with a passkey","Bejelentkezés passkey-vel"
"Sign in with passkey","Bejelentkezés passkey-vel"
"Sign in with password","Bejelentkezés jelszóval"
"Sign in with your new password to continue.","A folytatáshoz jelentkezzen be az új jelszavával."
"Sign in with {provider}","Bejelentkezés ezzel: {provider}"
"Sign in with {provider} was not completed. Please try again.","A bejelentkezés ezzel: {provider} nem fejeződött be. Kérjük, próbálja újra."
"Sign-in was not completed","A bejelentkezés nem fejeződött be"
"Signing in...","Bejelentkezés folyamatban..."
"Skip for now","Kihagyás most"
"Skip or enroll a method","Kihagyás vagy módszer regisztrálása"
"Skipping...","Kihagyás folyamatban..."
"Start TOTP enrollment","TOTP regisztráció indítása"
"Start an external provider","Külső szolgáltató indítása"
"Start email-code sign-in","E-mail kódos bejelentkezés indítása"
"Start setup","Beállítás indítása"
"Start sign-in again","Bejelentkezés újraindítása"
"Starting setup...","Beállítás indítása..."
"Supported browser, identifier first","Támogatott böngésző, először az azonosító"
"System","Rendszer"
"System theme","Rendszertéma"
"Terms of Service","Általános szerződési feltételek"
"Theme","Téma"
"Theme is set by the organization","A témát a szervezet határozza meg"
"This 2-step verification option requires native ZITADEL sign-in.","Ez a kétlépcsős azonosítási lehetőség natív ZITADEL-bejelentkezést igényel."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","Ez a regisztráció újratöltés után nem folytatható. A beállítás befejezéséhez folytassa a ZITADEL-ben."
"This reset link is no longer valid","Ez a visszaállító link már nem érvényes"
"Try again","Próbálja újra"
"UI demo","UI demó"
"Unable to continue","Nem lehet folytatni"
"Unsupported method","Nem támogatott módszer"
"Use a code from Google Authenticator, Authy, or 1Password","Használjon kódot a Google Authenticator, Authy vagy 1Password alkalmazásból"
"Use a hardware security key (FIDO U2F)","Használjon hardveres biztonsági kulcsot (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","Használjon egy hitelesítő alkalmazást (például 1Password, Google Authenticator vagy Aegis) 6 számjegyű kódok generálásához."
"Use another method or account","Másik módszer vagy fiók használata"
"Use your existing {provider} account to sign in","Használja meglévő {provider}-fiókját a bejelentkezéshez"
"Use your fingerprint, face, or device PIN","Használja az ujjlenyomatát, arcát vagy eszköz-PIN-kódját"
"Username or email","Felhasználónév vagy e-mail"
"Valid reset-link form","Érvényes visszaállító link űrlap"
"Verification code","Ellenőrző kód"
"Verification codes will be sent to your account email address.","Az ellenőrző kódokat a fiókjához tartozó e-mail-címre küldjük."
"Verification with {method} will be completed in the next update.","A(z) {method} módszerrel történő ellenőrzés a következő frissítésben lesz elérhető."
"Verify","Ellenőrzés"
"Verify a TOTP code","TOTP-kód ellenőrzése"
"Verify with a hardware key","Ellenőrzés hardveres kulccsal"
"Verify with a passkey or biometric credential","Ellenőrzés passkey-vel vagy biometrikus azonosítóval"
"Verify with an enrolled passkey","Ellenőrzés regisztrált passkey-vel"
"Verify with {method}","Ellenőrzés ezzel: {method}"
"Verifying...","Ellenőrzés folyamatban..."
"You can set up 2-step verification for extra security or skip for now.","A nagyobb biztonság érdekében beállíthat kétlépcsős azonosítást, vagy egyelőre kihagyhatja."
"Your password has expired. Set a new password to continue.","A jelszava lejárt. A folytatáshoz adjon meg egy új jelszót."
"Your password must be changed before you continue.","A folytatás előtt meg kell változtatnia a jelszavát."
"Your password was changed","A jelszava megváltozott"
"Your sign-in already satisfies 2-step verification policy.","A bejelentkezése már megfelel a kétlépcsős azonosítási szabályzatnak."
and,"és az"
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","A(z) {method} hitelesítés nem támogatott ebben a böngészőben. Kérjük, válasszon másik kétlépcsős azonosítási módszert."
"{method} not supported","A(z) {method} nem támogatott"
"2-Step verification challenge is temporarily unavailable.","A kétlépcsős azonosítási kérés átmenetileg nem érhető el."
"A new code has been sent.","Új kód elküldve."
"A new verification code was sent.","Új ellenőrző kód elküldve."
"A new verification code was sent to your email address.","Új ellenőrző kódot küldtünk az e-mail-címére."
"A new verification code was sent to your mobile phone via SMS.","Új ellenőrző kódot küldtünk a mobiltelefonjára SMS-ben."
"Could not read current browser URL.","Nem sikerült beolvasni a böngésző jelenlegi URL-címét."
"Email code accepted. Sign-in would continue.","E-mail kód elfogadva. A bejelentkezés folytatódna."
"Email codes are set up. Enter the code sent to your email address, or resend it.","Az e-mail kódok be vannak állítva. Adja meg az e-mail-címére küldött kódot, vagy küldje újra."
"Email codes are set up. Resend a code to continue.","Az e-mail kódok be vannak állítva. A folytatáshoz küldjön új kódot."
"Enter a new password.","Adjon meg egy új jelszót."
"Enter a valid email address.","Adjon meg egy érvényes e-mail-címet."
"Enter the complete 6-digit authenticator code.","Adja meg a teljes 6 számjegyű hitelesítő kódot."
"Enter the complete 6-digit code from your authenticator app.","Adja meg a hitelesítő alkalmazásból származó teljes 6 számjegyű kódot."
"Enter the complete verification code.","Adja meg a teljes ellenőrző kódot."
"Enter the complete verification code (6 to 20 digits).","Adja meg a teljes ellenőrző kódot (6–20 számjegy)."
"Enter the email address for your account.","Adja meg a fiókjához tartozó e-mail-címet."
"Enter your current password.","Adja meg a jelenlegi jelszavát."
"Enter your password.","Adja meg a jelszavát."
"Enter your username and password.","Adja meg a felhasználónevét és jelszavát."
"Enter your username or email address.","Adja meg a felhasználónevét vagy e-mail-címét."
"Failed to decode passkey challenge options.","Nem sikerült dekódolni a passkey ellenőrzési beállításait."
"Failed to decode verification challenge options.","Nem sikerült dekódolni az ellenőrzési beállításokat."
"Failed to process passkey response.","Nem sikerült feldolgozni a passkey-választ."
"Failed to process verification response.","Nem sikerült feldolgozni az ellenőrzési választ."
"Failed to process the security key registration response.","Nem sikerült feldolgozni a biztonsági kulcs regisztrációs válaszát."
"Interactive sign-in is not allowed for this request.","Az interaktív bejelentkezés nem engedélyezett ehhez a kéréshez."
"Incorrect username or password.","Helytelen felhasználónév vagy jelszó."
"Invalid account selection payload.","Érvénytelen fiókkiválasztási adatcsomag."
"Invalid username or password.","Érvénytelen felhasználónév vagy jelszó."
"Passkey authentication is not supported in this browser.","A passkey-alapú hitelesítés nem támogatott ebben a böngészőben."
"Passkey challenge is unavailable.","A passkey-ellenőrzés nem érhető el."
"Passkey challenge is temporarily unavailable.","A passkey-ellenőrzés átmenetileg nem érhető el."
"Passkey sign-in is not supported in this browser.","A passkey-bejelentkezés nem támogatott ebben a böngészőben."
"Passkey sign-in is temporarily unavailable.","A passkey-bejelentkezés átmenetileg nem érhető el."
"Passkey sign-in security error. Please check domain or origin.","Passkey-bejelentkezési biztonsági hiba. Kérjük, ellenőrizze a domaint vagy a származási helyet."
"Passkey sign-in was canceled or timed out.","A passkey-bejelentkezést megszakították vagy túllépte az időkorlátot."
"Passkey sign-in failed. Please try again.","A passkey-bejelentkezés nem sikerült. Kérjük, próbálja újra."
"Passkey ceremony would run in a real browser.","A passkey-művelet egy valódi böngészőben futna le."
"Password accepted. Sign-in would continue.","Jelszó elfogadva. A bejelentkezés folytatódna."
"Password changed. Next login step would render.","A jelszó megváltozott. A következő bejelentkezési lépés jelenne meg."
"Password recovery is not available.","A jelszó-visszaállítás nem érhető el."
"Password recovery is temporarily unavailable. Please try again.","A jelszó-visszaállítás átmenetileg nem érhető el. Kérjük, próbálja újra."
"Password sign-in is temporarily unavailable.","A jelszavas bejelentkezés átmenetileg nem érhető el."
"Request verification failed.","A kérés ellenőrzése nem sikerült."
"Request verification failed. Please start again.","A kérés ellenőrzése nem sikerült. Kérjük, kezdje újra."
"Return to the application and start sign-in again.","Térjen vissza az alkalmazáshoz, és indítsa újra a bejelentkezést."
"Security key authentication is not supported in this browser.","A biztonsági kulcsos hitelesítés nem támogatott ebben a böngészőben."
"Security key registration failed. Please try again.","A biztonsági kulcs regisztrációja nem sikerült. Kérjük, próbálja újra."
"Security key registration security error. Please check domain or origin.","Biztonsági kulcs regisztrációs biztonsági hiba. Kérjük, ellenőrizze a domaint vagy a származási helyet."
"Security key registration was canceled.","A biztonsági kulcs regisztrációját megszakították."
"Security key registration was canceled or timed out.","A biztonsági kulcs regisztrációját megszakították vagy túllépte az időkorlátot."
"Sign-in could not be completed. Please try again.","A bejelentkezést nem sikerült befejezni. Kérjük, próbálja újra."
"Sign-in is temporarily unavailable. Please try again.","A bejelentkezés átmenetileg nem érhető el. Kérjük, próbálja újra."
"Some sign-in methods are temporarily unavailable.","Néhány bejelentkezési módszer átmenetileg nem érhető el."
"Skipping 2-step verification is not allowed for this account.","A kétlépcsős azonosítás kihagyása nem engedélyezett ehhez a fiókhoz."
"The code is invalid or expired.","A kód érvénytelen vagy lejárt."
"The passwords do not match.","A jelszavak nem egyeznek."
"The selected account is no longer valid.","A kiválasztott fiók már nem érvényes."
"The setup code could not be displayed.","A beállítási kódot nem sikerült megjeleníteni."
"The sign-in link contains unsupported state.","A bejelentkezési link nem támogatott állapotot tartalmaz."
"The sign-in link is invalid.","A bejelentkezési link érvénytelen."
"The sign-in request is in an invalid state.","A bejelentkezési kérés érvénytelen állapotban van."
"The sign-in request is no longer valid.","A bejelentkezési kérés már nem érvényes."
"The sign-in request was already completed.","A bejelentkezési kérés már befejeződött."
"The sign-in session is invalid or has expired.","A bejelentkezési munkamenet érvénytelen vagy lejárt."
"The sign-in service is temporarily unavailable.","A bejelentkezési szolgáltatás átmenetileg nem érhető el."
"The sign-in service returned an invalid response.","A bejelentkezési szolgáltatás érvénytelen választ adott."
"The verification code has expired.","Az ellenőrző kód lejárt."
"This device does not support the required registration options.","Ez az eszköz nem támogatja a szükséges regisztrációs beállításokat."
"This device is already registered for your account.","Ez az eszköz már regisztrálva van a fiókjához."
"This passkey is not supported or not registered on this device.","Ez a passkey nem támogatott vagy nincs regisztrálva ezen az eszközön."
"This password does not meet the password policy.","Ez a jelszó nem felel meg a jelszószabályzatnak."
"This password recovery request has expired. Please start again.","Ez a jelszó-visszaállítási kérés lejárt. Kérjük, kezdje újra."
"This password reset link is invalid or has expired.","Ez a jelszó-visszaállító link érvénytelen vagy lejárt."
"This sign-in method is not available.","Ez a bejelentkezési módszer nem érhető el."
"Too many recovery attempts. Please retry later.","Túl sok helyreállítási kísérlet. Kérjük, próbálja újra később."
"Too many sign-in attempts. Please retry later.","Túl sok bejelentkezési kísérlet. Kérjük, próbálja újra később."
"Unable to load 2-Step Verification options.","Nem sikerült betölteni a kétlépcsős azonosítási lehetőségeket."
"Verification code sent to your email address.","Ellenőrző kód elküldve az e-mail-címére."
"Verification code sent to your mobile phone via SMS.","Ellenőrző kód elküldve a mobiltelefonjára SMS-ben."
"Would continue in ZITADEL.","Folytatódna a ZITADEL-ben."
"Would continue the signed-in session.","Folytatná a bejelentkezett munkamenetet."
"Would redirect to the identity provider.","Átirányítana az identitásszolgáltatóhoz."
"Your current password is incorrect.","A jelenlegi jelszava helytelen."
