english,ar
"Loading 2-step verification options...","جارٍ تحميل خيارات التحقق بخطوتين..."
"Loading options","جارٍ تحميل الخيارات"
"Loading password recovery...","جارٍ تحميل استعادة كلمة المرور..."
"Loading recovery","جارٍ تحميل الاستعادة"
"Loading sign-in...","جارٍ تحميل تسجيل الدخول..."
"MFA","المصادقة متعددة العوامل"
"Method chooser","أداة اختيار الطريقة"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","المصادقة متعددة العوامل (MFA) مطلوبة لهذا الحساب. سيتم تمكين دعم MFA في المهمة 5."
"Name (optional)","الاسم (اختياري)"
"Native fallback","البديل الأصلي"
"New password","كلمة المرور الجديدة"
"Next","التالي"
"No account linked","لا يوجد حساب مرتبط"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","لا يوجد حساب ZITADEL مرتبط بحساب {provider} هذا. لم يتم تمكين ربط الحساب والتسجيل الذاتي بعد."
"No linked ZITADEL account","لا يوجد حساب ZITADEL مرتبط"
"Open any login screen with fake data. Actions stay inside /demo.","افتح أي شاشة تسجيل دخول ببيانات تجريبية. تظل الإجراءات داخل /demo."
"Optional 2-step verification","التحقق بخطوتين اختياري"
"Optional setup","إعداد اختياري"
"Options failed","فشل تحميل الخيارات"
"Or choose a method","أو اختر طريقة"
"Passkey","مفتاح المرور"
"Passkey factor","عامل مفتاح المرور"
"Passkey MFA placeholder","عنصر نائب لمصادقة مفتاح المرور متعددة العوامل"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","المصادقة باستخدام مفتاح المرور غير مدعومة في هذا المتصفح. يرجى استخدام طريقة تسجيل دخول أخرى."
"Passkey not supported","مفتاح المرور غير مدعوم"
"Passkey registration is not supported in this browser.","تسجيل مفتاح المرور غير مدعوم في هذا المتصفح."
"Passkey setup unavailable","إعداد مفتاح المرور غير متاح"
"Passkey sign-in","تسجيل الدخول باستخدام مفتاح المرور"
"Passkey unsupported","مفتاح المرور غير مدعوم"
"Password","كلمة المرور"
"Password error","خطأ في كلمة المرور"
"Password expired","انتهت صلاحية كلمة المرور"
"Password MFA placeholder","عنصر نائب لمصادقة كلمة المرور متعددة العوامل"
"Password recovery unavailable","استعادة كلمة المرور غير متاحة"
"Password sign-in","تسجيل الدخول بكلمة المرور"
"Password changed","تم تغيير كلمة المرور"
"Pending email OTP verification","بانتظار التحقق من رمز البريد الإلكتروني لمرة واحدة"
"Policy already met","تمت تلبية السياسة بالفعل"
"Policy-required password change","تغيير كلمة المرور مطلوب بموجب السياسة"
"Previous","السابق"
"Privacy Policy","سياسة الخصوصية"
"Provider failure","فشل مزود الخدمة"
"QR code for authenticator app setup","رمز الاستجابة السريعة (QR) لإعداد تطبيق المصادقة"
"Reauthentication required","إعادة المصادقة مطلوبة"
"Receive a one-time code","استلام رمز لمرة واحدة"
"Receive a one-time verification code via email","استلام رمز تحقق لمرة واحدة عبر البريد الإلكتروني"
"Receive a one-time verification code via SMS","استلام رمز تحقق لمرة واحدة عبر الرسائل القصيرة (SMS)"
"Recent accounts","الحسابات الحديثة"
"Recent accounts plus methods","الحسابات الحديثة بالإضافة إلى الطرق"
"Recovery","الاستعادة"
"Recovery bootstrap spinner","مؤشر تحميل تهيئة الاستعادة"
"Recovery code verification requires native ZITADEL sign-in.","يتطلب التحقق باستخدام رمز الاستعادة تسجيل دخول ZITADEL الأصلي."
"Recovery unavailable","الاستعادة غير متاحة"
"Redirect after a completed sign-in","إعادة التوجيه بعد اكتمال تسجيل الدخول"
"Register a hardware key","تسجيل مفتاح أمان مادي"
"Register a hardware security key, then verify it once to continue.","سجّل مفتاح أمان مادياً، ثم تحقّق منه مرة واحدة للمتابعة."
"Register a new passkey","تسجيل مفتاح مرور جديد"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","سجّل مفتاح مرور باستخدام المقاييس الحيوية أو رقم تعريف الجهاز (PIN)، ثم تحقّق منه مرة واحدة للمتابعة."
"Register security key","تسجيل مفتاح الأمان"
"Registering...","جارٍ التسجيل..."
"Registration cannot be resumed","لا يمكن استئناف التسجيل"
"Registration failed","فشل التسجيل"
"Remember this email","تذكر هذا البريد الإلكتروني"
"Remember this identifier","تذكر هذا المُعرّف"
"Request reset","طلب إعادة الضبط"
"Required enrollment chooser","أداة اختيار التسجيل المطلوب"
"Resend code","إعادة إرسال الرمز"
"Resend code ({seconds}s)","إعادة إرسال الرمز ({seconds} ثانية)"
"Reset bootstrap spinner","مؤشر تحميل تهيئة إعادة الضبط"
"Reset finished successfully","اكتملت إعادة الضبط بنجاح"
"Reset link sent","تم إرسال رابط إعادة الضبط"
"Reset your password","إعادة ضبط كلمة المرور الخاصة بك"
"Retry loading options","إعادة محاولة تحميل الخيارات"
"SMS code","رمز الرسائل القصيرة (SMS)"
"SMS verification code","رمز التحقق عبر الرسائل القصيرة (SMS)"
"Saving...","جارٍ الحفظ..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","امسح الرمز ضوئياً باستخدام تطبيق المصادقة، ثم أدخل الرمز المكون من 6 أرقام الذي يظهر فيه."
"Screen directory","دليل الشاشات"
"Screens","الشاشات"
"Security key","مفتاح الأمان"
"Security key registration is not supported in this browser.","تسجيل مفتاح الأمان غير مدعوم في هذا المتصفح."
"Security key unsupported","مفتاح الأمان غير مدعوم"
"Select a method to set up 2-step verification for your account.","حدد طريقة لإعداد التحقق بخطوتين لحسابك."
"Select among enrolled methods","الاختيار من بين الطرق المسجلة"
"Send SMS code","إرسال رمز الرسائل القصيرة (SMS)"
"Send a new code","إرسال رمز جديد"
"Send a verification code to your email address.","إرسال رمز تحقق إلى عنوان بريدك الإلكتروني."
"Send a verification code to your mobile phone via SMS.","إرسال رمز تحقق إلى هاتفك المحمول عبر الرسائل القصيرة (SMS)."
"Send code","إرسال الرمز"
"Send email code","إرسال رمز البريد الإلكتروني"
"Send reset link","إرسال رابط إعادة الضبط"
"Sending...","جارٍ الإرسال..."
"Sending code...","جارٍ إرسال الرمز..."
"Set new password","تعيين كلمة مرور جديدة"
"Set up 2-step verification","إعداد التحقق بخطوتين"
"Set up a factor","إعداد عامل"
"Set up a passkey","إعداد مفتاح مرور"
"Set up a security key","إعداد مفتاح أمان"
"Set up authenticator","إعداد تطبيق المصادقة"
"Set up authenticator app","إعداد تطبيق المصادقة"
"Set up email codes","إعداد رموز البريد الإلكتروني"
"Set up {method}","إعداد {method}"
"Setting up...","جارٍ الإعداد..."
"Setup key (if you cannot scan)","مفتاح الإعداد (إذا تعذر عليك المسح الضوئي)"
"Show","إظهار"
"Show password","إظهار كلمة المرور"
"Show setup key","إظهار مفتاح الإعداد"
"Sidebar","الشريط الجانبي"
"Sign in","تسجيل الدخول"
"Sign in with a passkey","تسجيل الدخول باستخدام مفتاح مرور"
"Sign in with passkey","تسجيل الدخول باستخدام مفتاح مرور"
"Sign in with password","تسجيل الدخول بكلمة المرور"
"Sign in with your new password to continue.","سجّل الدخول بكلمة المرور الجديدة للمتابعة."
"Sign in with {provider}","تسجيل الدخول باستخدام {provider}"
"Sign in with {provider} was not completed. Please try again.","لم يكتمل تسجيل الدخول باستخدام {provider}. يرجى المحاولة مرة أخرى."
"Sign-in was not completed","لم يكتمل تسجيل الدخول"
"Signing in...","جارٍ تسجيل الدخول..."
"Skip for now","تخطي الآن"
"Skip or enroll a method","تخطي أو تسجيل طريقة"
"Skipping...","جارٍ التخطي..."
"Start TOTP enrollment","بدء تسجيل TOTP"
"Start an external provider","بدء مزود خارجي"
"Start email-code sign-in","بدء تسجيل الدخول برمز البريد الإلكتروني"
"Start setup","بدء الإعداد"
"Start sign-in again","بدء تسجيل الدخول مرة أخرى"
"Starting setup...","جارٍ بدء الإعداد..."
"Supported browser, identifier first","متصفح مدعوم، المُعرّف أولاً"
"System","النظام"
"System theme","مظهر النظام"
"Terms of Service","شروط الخدمة"
"Theme","المظهر"
"Theme is set by the organization","يتم تحديد المظهر من قِبل المؤسسة"
"This 2-step verification option requires native ZITADEL sign-in.","يتطلب خيار التحقق بخطوتين هذا تسجيل دخول ZITADEL الأصلي."
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","لا يمكن استئناف هذا التسجيل بعد إعادة التحميل. تابع في ZITADEL لإنهاء الإعداد."
"This reset link is no longer valid","لم يعد رابط إعادة الضبط هذا صالحاً"
"Try again","إعادة المحاولة"
"UI demo","عرض توضيحي للواجهة"
"Unable to continue","تعذر المتابعة"
"Unsupported method","طريقة غير مدعومة"
"Use a code from Google Authenticator, Authy, or 1Password","استخدم رمزاً من Google Authenticator أو Authy أو 1Password"
"Use a hardware security key (FIDO U2F)","استخدم مفتاح أمان مادياً (FIDO U2F)"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","استخدم تطبيق مصادقة مثل 1Password أو Google Authenticator أو Aegis لإنشاء رموز مكونة من 6 أرقام."
"Use another method or account","استخدم طريقة أخرى أو حساباً آخر"
"Use your fingerprint, face, or device PIN","استخدم بصمة إصبعك أو وجهك أو رقم تعريف الجهاز (PIN)"
"Username or email","اسم المستخدم أو البريد الإلكتروني"
"Valid reset-link form","نموذج رابط إعادة ضبط صالح"
"Verification code","رمز التحقق"
"Verification codes will be sent to your account email address.","سيتم إرسال رموز التحقق إلى عنوان البريد الإلكتروني لحسابك."
"Verification with {method} will be completed in the next update.","سيتم استكمال التحقق باستخدام {method} في التحديث القادم."
"Verify","تحقق"
"Verify a TOTP code","التحقق من رمز TOTP"
"Verify with a hardware key","التحقق باستخدام مفتاح مادي"
"Verify with a passkey or biometric credential","التحقق باستخدام مفتاح مرور أو بيانات اعتماد بيومترية"
"Verify with an enrolled passkey","التحقق باستخدام مفتاح مرور مسجل"
"Verify with {method}","التحقق باستخدام {method}"
"Verifying...","جارٍ التحقق..."
"You can set up 2-step verification for extra security or skip for now.","يمكنك إعداد التحقق بخطوتين لمزيد من الأمان أو التخطي الآن."
"Your password has expired. Set a new password to continue.","انتهت صلاحية كلمة المرور الخاصة بك. قم بتعيين كلمة مرور جديدة للمتابعة."
"Your password must be changed before you continue.","يجب تغيير كلمة المرور الخاصة بك قبل المتابعة."
"Your password was changed","تم تغيير كلمة المرور الخاصة بك"
"Your sign-in already satisfies 2-step verification policy.","تسجيل دخولك يستوفي بالفعل سياسة التحقق بخطوتين."
and,و
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","المصادقة باستخدام {method} غير مدعومة في هذا المتصفح. يرجى استخدام طريقة تحقق بخطوتين أخرى."
"{method} not supported","{method} غير مدعوم"
"2-Step verification challenge is temporarily unavailable.","تحدي التحقق بخطوتين غير متاح مؤقتاً."
"A new code has been sent.","تم إرسال رمز جديد."
"A new verification code was sent.","تم إرسال رمز تحقق جديد."
"A new verification code was sent to your email address.","تم إرسال رمز تحقق جديد إلى عنوان بريدك الإلكتروني."
"A new verification code was sent to your mobile phone via SMS.","تم إرسال رمز تحقق جديد إلى هاتفك المحمول عبر الرسائل القصيرة (SMS)."
"Could not read current browser URL.","تعذر قراءة عنوان URL الحالي للمتصفح."
"Email code accepted. Sign-in would continue.","تم قبول رمز البريد الإلكتروني. ستتم متابعة تسجيل الدخول."
"Email codes are set up. Enter the code sent to your email address, or resend it.","تم إعداد رموز البريد الإلكتروني. أدخل الرمز المُرسل إلى عنوان بريدك الإلكتروني، أو أعد إرساله."
"Email codes are set up. Resend a code to continue.","تم إعداد رموز البريد الإلكتروني. أعد إرسال الرمز للمتابعة."
"Enter a new password.","أدخل كلمة مرور جديدة."
"Enter a valid email address.","أدخل عنوان بريد إلكتروني صالحاً."
"Enter the complete 6-digit authenticator code.","أدخل رمز المصادقة المكون من 6 أرقام بالكامل."
"Enter the complete 6-digit code from your authenticator app.","أدخل الرمز المكون من 6 أرقام بالكامل من تطبيق المصادقة الخاص بك."
"Enter the complete verification code.","أدخل رمز التحقق بالكامل."
"Enter the complete verification code (6 to 20 digits).","أدخل رمز التحقق بالكامل (من 6 إلى 20 رقماً)."
"Enter the email address for your account.","أدخل عنوان البريد الإلكتروني لحسابك."
"Enter your current password.","أدخل كلمة المرور الحالية."
"Enter your password.","أدخل كلمة المرور الخاصة بك."
"Enter your username and password.","أدخل اسم المستخدم وكلمة المرور الخاصة بك."
"Enter your username or email address.","أدخل اسم المستخدم أو عنوان البريد الإلكتروني الخاص بك."
"Failed to decode passkey challenge options.","فشل فك ترميز خيارات تحدي مفتاح المرور."
"Failed to decode verification challenge options.","فشل فك ترميز خيارات تحدي التحقق."
"Failed to process passkey response.","فشلت معالجة استجابة مفتاح المرور."
"Failed to process verification response.","فشلت معالجة استجابة التحقق."
"Failed to process the security key registration response.","فشلت معالجة استجابة تسجيل مفتاح الأمان."
"Interactive sign-in is not allowed for this request.","تسجيل الدخول التفاعلي غير مسموح به لهذا الطلب."
"Incorrect username or password.","اسم المستخدم أو كلمة المرور غير صحيحة."
"Invalid account selection payload.","حمولة اختيار الحساب غير صالحة."
"Invalid username or password.","اسم المستخدم أو كلمة المرور غير صالحة."
"Passkey authentication is not supported in this browser.","المصادقة باستخدام مفتاح المرور غير مدعومة في هذا المتصفح."
"Passkey challenge is unavailable.","تحدي مفتاح المرور غير متاح."
"Passkey challenge is temporarily unavailable.","تحدي مفتاح المرور غير متاح مؤقتاً."
"Passkey sign-in is not supported in this browser.","تسجيل الدخول باستخدام مفتاح المرور غير مدعوم في هذا المتصفح."
"Passkey sign-in is temporarily unavailable.","تسجيل الدخول باستخدام مفتاح المرور غير متاح مؤقتاً."
"Passkey sign-in security error. Please check domain or origin.","خطأ أمني في تسجيل الدخول باستخدام مفتاح المرور. يرجى التحقق من النطاق أو المصدر."
"Passkey sign-in was canceled or timed out.","تم إلغاء تسجيل الدخول باستخدام مفتاح المرور أو انتهت مهلته."
"Passkey sign-in failed. Please try again.","فشل تسجيل الدخول باستخدام مفتاح المرور. يرجى المحاولة مرة أخرى."
"Passkey ceremony would run in a real browser.","سيتم تشغيل إجراء مفتاح المرور في متصفح حقيقي."
"Password accepted. Sign-in would continue.","تم قبول كلمة المرور. ستتم متابعة تسجيل الدخول."
"Password changed. Next login step would render.","تم تغيير كلمة المرور. سيتم عرض خطوة تسجيل الدخول التالية."
"Password recovery is not available.","استعادة كلمة المرور غير متاحة."
"Password recovery is temporarily unavailable. Please try again.","استعادة كلمة المرور غير متاحة مؤقتاً. يرجى المحاولة مرة أخرى."
"Password sign-in is temporarily unavailable.","تسجيل الدخول بكلمة المرور غير متاح مؤقتاً."
"Request verification failed.","فشل التحقق من الطلب."
"Request verification failed. Please start again.","فشل التحقق من الطلب. يرجى البدء من جديد."
"Return to the application and start sign-in again.","العودة إلى التطبيق وبدء تسجيل الدخول مرة أخرى."
"Security key authentication is not supported in this browser.","المصادقة باستخدام مفتاح الأمان غير مدعومة في هذا المتصفح."
"Security key registration failed. Please try again.","فشل تسجيل مفتاح الأمان. يرجى المحاولة مرة أخرى."
"Security key registration security error. Please check domain or origin.","خطأ أمني في تسجيل مفتاح الأمان. يرجى التحقق من النطاق أو المصدر."
"Security key registration was canceled.","تم إلغاء تسجيل مفتاح الأمان."
"Security key registration was canceled or timed out.","تم إلغاء تسجيل مفتاح الأمان أو انتهت مهلته."
"Sign-in could not be completed. Please try again.","تعذر إكمال تسجيل الدخول. يرجى المحاولة مرة أخرى."
"Sign-in is temporarily unavailable. Please try again.","تسجيل الدخول غير متاح مؤقتاً. يرجى المحاولة مرة أخرى."
"Some sign-in methods are temporarily unavailable.","بعض طرق تسجيل الدخول غير متاحة مؤقتاً."
"Skipping 2-step verification is not allowed for this account.","تخطي التحقق بخطوتين غير مسموح به لهذا الحساب."
"The code is invalid or expired.","الرمز غير صالح أو منتهي الصلاحية."
"The passwords do not match.","كلمتا المرور غير متطابقتين."
"The selected account is no longer valid.","لم يعد الحساب المحدد صالحاً."
"The setup code could not be displayed.","تعذر عرض رمز الإعداد."
"The sign-in link contains unsupported state.","يحتوي رابط تسجيل الدخول على حالة غير مدعومة."
"The sign-in link is invalid.","رابط تسجيل الدخول غير صالح."
"The sign-in request is in an invalid state.","طلب تسجيل الدخول في حالة غير صالحة."
"The sign-in request is no longer valid.","لم يعد طلب تسجيل الدخول صالحاً."
"The sign-in request was already completed.","تم إكمال طلب تسجيل الدخول بالفعل."
"The sign-in session is invalid or has expired.","جلسة تسجيل الدخول غير صالحة أو منتهية الصلاحية."
"The sign-in service is temporarily unavailable.","خدمة تسجيل الدخول غير متاحة مؤقتاً."
"The sign-in service returned an invalid response.","أعادت خدمة تسجيل الدخول استجابة غير صالحة."
"The verification code has expired.","انتهت صلاحية رمز التحقق."
"This device does not support the required registration options.","هذا الجهاز لا يدعم خيارات التسجيل المطلوبة."
"This device is already registered for your account.","هذا الجهاز مسجل بالفعل لحسابك."
"This passkey is not supported or not registered on this device.","مفتاح المرور هذا غير مدعوم أو غير مسجل على هذا الجهاز."
"This password does not meet the password policy.","كلمة المرور هذه لا تفي بسياسة كلمة المرور."
"This password recovery request has expired. Please start again.","انتهت صلاحية طلب استعادة كلمة المرور هذا. يرجى البدء من جديد."
"This password reset link is invalid or has expired.","رابط إعادة ضبط كلمة المرور هذا غير صالح أو منتهي الصلاحية."
"This sign-in method is not available.","طريقة تسجيل الدخول هذه غير متاحة."
"Too many recovery attempts. Please retry later.","محاولات استعادة كثيرة جداً. يرجى إعادة المحاولة لاحقاً."
"Too many sign-in attempts. Please retry later.","محاولات تسجيل دخول كثيرة جداً. يرجى إعادة المحاولة لاحقاً."
"Unable to load 2-Step Verification options.","تعذر تحميل خيارات التحقق بخطوتين."
"Verification code sent to your email address.","تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني."
"Verification code sent to your mobile phone via SMS.","تم إرسال رمز التحقق إلى هاتفك المحمول عبر الرسائل القصيرة (SMS)."
"Would continue in ZITADEL.","ستتم المتابعة في ZITADEL."
"Would continue the signed-in session.","ستتم متابعة الجلسة المسجلة."
"Would redirect to the identity provider.","ستتم إعادة التوجيه إلى مزود الهوية."
"Your current password is incorrect.","كلمة المرور الحالية غير صحيحة."
