english,ja
"Enter the 6-20 digit code sent to your mobile phone.","携帯電話に送信された6〜20桁のコードを入力してください。"
"Enter the 6-digit code from your authenticator app.","認証アプリに表示されている6桁のコードを入力してください。"
"Enter the code sent for {email}.","{email} 宛てに送信されたコードを入力してください。"
"Enter code","コードを入力"
"Enter email","メールアドレスを入力"
"Enter email code","メールコードを入力"
"Enter email for a reset link","リセットリンクを受け取るメールアドレスを入力"
"Enter your email","メールアドレスを入力してください"
"Expired or already used","期限切れまたは使用済み"
"Expired-password change","期限切れパスワードの変更"
"Fallback","フォールバック"
"Fatal initialization error","致命的な初期化エラー"
"Fetching 2-step choices","2段階認証の選択肢を取得中"
"Forgot password?","パスワードをお忘れですか？"
"GitHub","GitHub"
"GitHub project","GitHubプロジェクト"
"Helps you recognize this device later.","後でこの端末を識別するのに役立ちます。"
"Hide","非表示"
"Hide password","パスワードを非表示"
"Hide screens","画面を非表示"
"Hide setup key","セットアップキーを非表示"
"Identifier and password","識別子とパスワード"
"Identity provider","アイデンティティプロバイダー"
"If an account matches that email address, we sent a password reset link.","そのメールアドレスに一致するアカウントが存在する場合、パスワードリセットリンクを送信しました。"
"Initial sign-in bootstrap","初回サインインの初期化"
"Invalid credentials message","無効な認証情報のメッセージ"
"Invalid reset link","無効なリセットリンク"
"Jump to any screen or variant","任意の画面またはバリアントに移動"
"Language","言語"
"Last used","前回使用"
"Legacy MFA-required fallback","レガシーMFA必須フォールバック"
"Light","ライト"
"Light theme","ライトテーマ"
"Linking failed","リンクに失敗しました"
"Loading","読み込み中"
"Loading 2-step verification options...","2段階認証のオプションを読み込んでいます..."
"Loading options","オプションを読み込み中"
"Loading password recovery...","パスワードの回復を読み込んでいます..."
"Loading recovery","回復画面を読み込み中"
"Loading sign-in...","サインインを読み込んでいます..."
"MFA","MFA"
"Method chooser","認証方法の選択"
"Multi-factor authentication (MFA) is required for this account. MFA support will be enabled in Task 5.","このアカウントには多要素認証（MFA）が必要です。MFAサポートはタスク5で有効化されます。"
"Name (optional)","名前（任意）"
"Native fallback","ネイティブフォールバック"
"New password","新しいパスワード"
"Next","次へ"
"No account linked","アカウントがリンクされていません"
"No ZITADEL account is linked to this {provider} account. Account linking and self-service registration are not enabled yet.","この{provider}アカウントにリンクされているZITADELアカウントはありません。アカウントのリンクおよびセルフサービス登録はまだ有効になっていません。"
"No linked ZITADEL account","リンクされたZITADELアカウントがありません"
"Open any login screen with fake data. Actions stay inside /demo.","ダミーデータを使用して任意のログイン画面を開きます。操作は /demo 内にとどまります。"
"Optional 2-step verification","任意の2段階認証"
"Optional setup","任意のセットアップ"
"Options failed","オプションの読み込みに失敗しました"
"Or choose a method","または方法を選択"
"Passkey","パスキー"
"Passkey factor","パスキー要素"
"Passkey MFA placeholder","パスキーMFAプレースホルダー"
"Passkey authentication is not supported in this browser. Please use another sign-in method.","このブラウザではパスキー認証がサポートされていません。別のサインイン方法をご利用ください。"
"Passkey not supported","パスキーはサポートされていません"
"Passkey registration is not supported in this browser.","このブラウザではパスキーの登録がサポートされていません。"
"Passkey setup unavailable","パスキーのセットアップは利用できません"
"Passkey sign-in","パスキーでサインイン"
"Passkey unsupported","パスキー非対応"
"Password","パスワード"
"Password error","パスワードエラー"
"Password expired","パスワードの有効期限切れ"
"Password MFA placeholder","パスワードMFAプレースホルダー"
"Password recovery unavailable","パスワードの回復は利用できません"
"Password sign-in","パスワードでサインイン"
"Password changed","パスワードを変更しました"
"Pending email OTP verification","メールOTP検証待ち"
"Policy already met","ポリシーはすでに満たされています"
"Policy-required password change","ポリシーにより必須のパスワード変更"
"Previous","前へ"
"Privacy Policy","プライバシーポリシー"
"Provider failure","プロバイダーエラー"
"QR code for authenticator app setup","認証アプリ設定用のQRコード"
"Reauthentication required","再認証が必要です"
"Receive a one-time code","ワンタイムコードを受信"
"Receive a one-time verification code via email","メールでワンタイム検証コードを受信"
"Receive a one-time verification code via SMS","SMSでワンタイム検証コードを受信"
"Recent accounts","最近のアカウント"
"Recent accounts plus methods","最近のアカウントと認証方法"
"Recovery","回復"
"Recovery bootstrap spinner","回復初期化スピナー"
"Recovery code verification requires native ZITADEL sign-in.","リカバリーコードによる検証にはネイティブのZITADELサインインが必要です。"
"Recovery unavailable","回復は利用できません"
"Redirect after a completed sign-in","サインイン完了後のリダイレクト"
"Register a hardware key","ハードウェアキーを登録"
"Register a hardware security key, then verify it once to continue.","ハードウェアセキュリティキーを登録し、1回検証して続行してください。"
"Register a new passkey","新しいパスキーを登録"
"Register a passkey with biometrics or a device PIN, then verify it once to continue.","生体認証またはデバイスPINでパスキーを登録し、1回検証して続行してください。"
"Register security key","セキュリティキーを登録"
"Registering...","登録中..."
"Registration cannot be resumed","登録を再開できません"
"Registration failed","登録に失敗しました"
"Remember this email","このメールアドレスを記憶する"
"Remember this identifier","この識別子を記憶する"
"Request reset","リセットをリクエスト"
"Required enrollment chooser","必須登録の選択"
"Resend code","コードを再送信"
"Resend code ({seconds}s)","コードを再送信 ({seconds}秒)"
"Reset bootstrap spinner","リセット初期化スピナー"
"Reset finished successfully","リセットが正常に完了しました"
"Reset link sent","リセットリンクを送信しました"
"Reset your password","パスワードをリセット"
"Retry loading options","オプションの再読み込み"
"SMS code","SMSコード"
"SMS verification code","SMS認証コード"
"Saving...","保存中..."
"Scan the code with your authenticator app, then enter the 6-digit code it shows.","認証アプリでコードをスキャンし、表示された6桁のコードを入力してください。"
"Screen directory","画面ディレクトリ"
"Screens","画面一覧"
"Security key","セキュリティキー"
"Security key registration is not supported in this browser.","このブラウザではセキュリティキーの登録がサポートされていません。"
"Security key unsupported","セキュリティキー非対応"
"Select a method to set up 2-step verification for your account.","アカウントの2段階認証を設定する方法を選択してください。"
"Select among enrolled methods","登録済みの方法から選択"
"Send SMS code","SMSコードを送信"
"Send a new code","新しいコードを送信"
"Send a verification code to your email address.","メールアドレスに検証コードを送信します。"
"Send a verification code to your mobile phone via SMS.","SMSで携帯電話に検証コードを送信します。"
"Send code","コードを送信"
"Send email code","メールコードを送信"
"Send reset link","リセットリンクを送信"
"Sending...","送信中..."
"Sending code...","コードを送信中..."
"Set new password","新しいパスワードを設定"
"Set up 2-step verification","2段階認証を設定"
"Set up a factor","要素を設定"
"Set up a passkey","パスキーを設定"
"Set up a security key","セキュリティキーを設定"
"Set up authenticator","認証アプリを設定"
"Set up authenticator app","認証アプリを設定"
"Set up email codes","メールコードを設定"
"Set up {method}","{method}を設定"
"Setting up...","設定中..."
"Setup key (if you cannot scan)","セットアップキー（スキャンできない場合）"
"Show","表示"
"Show password","パスワードを表示"
"Show setup key","セットアップキーを表示"
"Sidebar","サイドバー"
"Sign in","サインイン"
"Sign in with a passkey","パスキーでサインイン"
"Sign in with passkey","パスキーでサインイン"
"Sign in with password","パスワードでサインイン"
"Sign in with your new password to continue.","続行するには、新しいパスワードでサインインしてください。"
"Sign in with {provider}","{provider}でサインイン"
"Sign in with {provider} was not completed. Please try again.","{provider}でのサインインが完了しませんでした。もう一度お試しください。"
"Sign-in was not completed","サインインが完了しませんでした"
"Signing in...","サインイン中..."
"Skip for now","今はスキップ"
"Skip or enroll a method","スキップまたは方法を登録"
"Skipping...","スキップ中..."
"Start TOTP enrollment","TOTP登録を開始"
"Start an external provider","外部プロバイダーを開始"
"Start email-code sign-in","メールコードでのサインインを開始"
"Start setup","セットアップを開始"
"Start sign-in again","最初からサインインをやり直す"
"Starting setup...","セットアップを開始しています..."
"Supported browser, identifier first","サポート対象ブラウザ、識別子を先に入力"
"System","システム"
"System theme","システムテーマ"
"Terms of Service","利用規約"
"Theme","テーマ"
"Theme is set by the organization","テーマは組織によって設定されています"
"This 2-step verification option requires native ZITADEL sign-in.","この2段階認証オプションにはネイティブのZITADELサインインが必要です。"
"This registration cannot be resumed after a reload. Continue in ZITADEL to finish setup.","この登録は再読み込み後に再開できません。ZITADELで続行して設定を完了してください。"
"This reset link is no longer valid","このリセットリンクは無効になりました"
"Try again","もう一度お試しください"
"UI demo","UIデモ"
"Unable to continue","続行できません"
"Unsupported method","サポートされていない方法"
"Use a code from Google Authenticator, Authy, or 1Password","Google Authenticator、Authy、または1Passwordのコードを使用"
"Use a hardware security key (FIDO U2F)","ハードウェアセキュリティキー（FIDO U2F）を使用"
"Use an authenticator app such as 1Password, Google Authenticator, or Aegis to generate 6-digit codes.","1Password、Google Authenticator、Aegisなどの認証アプリを使用して6桁のコードを生成します。"
"Use another method or account","別の方法またはアカウントを使用"
"Use your fingerprint, face, or device PIN","指紋、顔、またはデバイスPINを使用"
"Username or email","ユーザー名またはメールアドレス"
"Valid reset-link form","有効なリセットリンクフォーム"
"Verification code","認証コード"
"Verification codes will be sent to your account email address.","認証コードはお使いのアカウントのメールアドレスに送信されます。"
"Verification with {method} will be completed in the next update.","{method}による検証は次回のアップデートで提供される予定です。"
"Verify","検証"
"Verify a TOTP code","TOTPコードを検証"
"Verify with a hardware key","ハードウェアキーで検証"
"Verify with a passkey or biometric credential","パスキーまたは生体認証情報で検証"
"Verify with an enrolled passkey","登録済みパスキーで検証"
"Verify with {method}","{method}で検証"
"Verifying...","検証中..."
"You can set up 2-step verification for extra security or skip for now.","セキュリティを強化するために2段階認証を設定するか、今はスキップすることができます。"
"Your password has expired. Set a new password to continue.","パスワードの有効期限が切れています。続行するには新しいパスワードを設定してください。"
"Your password must be changed before you continue.","続行する前にパスワードを変更する必要があります。"
"Your password was changed","パスワードが変更されました"
"Your sign-in already satisfies 2-step verification policy.","サインインはすでに2段階認証ポリシーを満たしています。"
and,および
"{method} authentication is not supported in this browser. Please use another 2-step verification method.","このブラウザでは{method}認証がサポートされていません。別の2段階認証方法をご利用ください。"
"{method} not supported","{method}はサポートされていません"
"2-Step verification challenge is temporarily unavailable.","2段階認証チャレンジは一時的に利用できません。"
"A new code has been sent.","新しいコードを送信しました。"
"A new verification code was sent.","新しい認証コードが送信されました。"
"A new verification code was sent to your email address.","メールアドレスに新しい認証コードが送信されました。"
"A new verification code was sent to your mobile phone via SMS.","SMSで携帯電話に新しい認証コードが送信されました。"
"Could not read current browser URL.","現在のブラウザURLを読み取れませんでした。"
"Email code accepted. Sign-in would continue.","メールコードが承認されました。サインインを続行します。"
"Email codes are set up. Enter the code sent to your email address, or resend it.","メールコードが設定されています。メールアドレスに送信されたコードを入力するか、再送信してください。"
"Email codes are set up. Resend a code to continue.","メールコードが設定されています。続行するにはコードを再送信してください。"
"Enter a new password.","新しいパスワードを入力してください。"
"Enter a valid email address.","有効なメールアドレスを入力してください。"
"Enter the complete 6-digit authenticator code.","6桁の認証コードをすべて入力してください。"
"Enter the complete 6-digit code from your authenticator app.","認証アプリに表示されている6桁のコードを入力してください。"
"Enter the complete verification code.","認証コードをすべて入力してください。"
"Enter the complete verification code (6 to 20 digits).","認証コード（6〜20桁）をすべて入力してください。"
"Enter the email address for your account.","アカウントのメールアドレスを入力してください。"
"Enter your current password.","現在のパスワードを入力してください。"
"Enter your password.","パスワードを入力してください。"
"Enter your username and password.","ユーザー名とパスワードを入力してください。"
"Enter your username or email address.","ユーザー名またはメールアドレスを入力してください。"
"Failed to decode passkey challenge options.","パスキーのチャレンジオプションのデコードに失敗しました。"
"Failed to decode verification challenge options.","検証チャレンジオプションのデコードに失敗しました。"
"Failed to process passkey response.","パスキーの応答の処理に失敗しました。"
"Failed to process verification response.","検証応答の処理に失敗しました。"
"Failed to process the security key registration response.","セキュリティキーの登録応答の処理に失敗しました。"
"Interactive sign-in is not allowed for this request.","このリクエストでは対話型サインインは許可されていません。"
"Incorrect username or password.","ユーザー名またはパスワードが正しくありません。"
"Invalid account selection payload.","アカウント選択ペイロードが無効です。"
"Invalid username or password.","ユーザー名またはパスワードが無効です。"
"Passkey authentication is not supported in this browser.","このブラウザではパスキー認証がサポートされていません。"
"Passkey challenge is unavailable.","パスキーチャレンジは利用できません。"
"Passkey challenge is temporarily unavailable.","パスキーチャレンジは一時的に利用できません。"
"Passkey sign-in is not supported in this browser.","このブラウザではパスキーによるサインインがサポートされていません。"
"Passkey sign-in is temporarily unavailable.","パスキーによるサインインは一時的に利用できません。"
"Passkey sign-in security error. Please check domain or origin.","パスキーサインインのセキュリティエラーです。ドメインまたはオリジンを確認してください。"
"Passkey sign-in was canceled or timed out.","パスキーによるサインインがキャンセルされたか、タイムアウトしました。"
"Passkey sign-in failed. Please try again.","パスキーによるサインインに失敗しました。もう一度お試しください。"
"Passkey ceremony would run in a real browser.","実際のブラウザではパスキーの処理が実行されます。"
"Password accepted. Sign-in would continue.","パスワードが承認されました。サインインを続行します。"
"Password changed. Next login step would render.","パスワードが変更されました。次のログイン手順が表示されます。"
"Password recovery is not available.","パスワードの回復は利用できません。"
"Password recovery is temporarily unavailable. Please try again.","パスワードの回復は一時的に利用できません。もう一度お試しください。"
"Password sign-in is temporarily unavailable.","パスワードによるサインインは一時的に利用できません。"
"Request verification failed.","リクエストの検証に失敗しました。"
"Request verification failed. Please start again.","リクエストの検証に失敗しました。最初からやり直してください。"
"Return to the application and start sign-in again.","アプリケーションに戻り、もう一度サインインを開始してください。"
"Security key authentication is not supported in this browser.","このブラウザではセキュリティキー認証がサポートされていません。"
"Security key registration failed. Please try again.","セキュリティキーの登録に失敗しました。もう一度お試しください。"
"Security key registration security error. Please check domain or origin.","セキュリティキー登録のセキュリティエラーです。ドメインまたはオリジンを確認してください。"
"Security key registration was canceled.","セキュリティキーの登録がキャンセルされました。"
"Security key registration was canceled or timed out.","セキュリティキーの登録がキャンセルされたか、タイムアウトしました。"
"Sign-in could not be completed. Please try again.","サインインを完了できませんでした。もう一度お試しください。"
"Sign-in is temporarily unavailable. Please try again.","サインインは一時的に利用できません。もう一度お試しください。"
"Some sign-in methods are temporarily unavailable.","一部のサインイン方法は一時的に利用できません。"
"Skipping 2-step verification is not allowed for this account.","このアカウントでは2段階認証のスキップは許可されていません。"
"The code is invalid or expired.","コードが無効であるか、有効期限が切れています。"
"The passwords do not match.","パスワードが一致しません。"
"The selected account is no longer valid.","選択されたアカウントは無効になりました。"
"The setup code could not be displayed.","セットアップコードを表示できませんでした。"
"The sign-in link contains unsupported state.","サインインリンクにサポートされていない状態が含まれています。"
"The sign-in link is invalid.","サインインリンクが無効です。"
"The sign-in request is in an invalid state.","サインインリクエストが無効な状態です。"
"The sign-in request is no longer valid.","サインインリクエストは無効になりました。"
"The sign-in request was already completed.","サインインリクエストはすでに完了しています。"
"The sign-in session is invalid or has expired.","サインインセッションが無効であるか、有効期限が切れています。"
"The sign-in service is temporarily unavailable.","サインインサービスは一時的に利用できません。"
"The sign-in service returned an invalid response.","サインインサービスが無効な応答を返しました。"
"The verification code has expired.","認証コードの有効期限が切れています。"
"This device does not support the required registration options.","このデバイスは必要な登録オプションをサポートしていません。"
"This device is already registered for your account.","このデバイスはすでにアカウントに登録されています。"
"This passkey is not supported or not registered on this device.","このパスキーはこのデバイスでサポートされていないか、登録されていません。"
"This password does not meet the password policy.","このパスワードはパスワードポリシーを満たしていません。"
"This password recovery request has expired. Please start again.","このパスワード回復リクエストは有効期限が切れています。最初からやり直してください。"
"This password reset link is invalid or has expired.","このパスワードリセットリンクは無効であるか、有効期限が切れています。"
"This sign-in method is not available.","このサインイン方法は利用できません。"
"Too many recovery attempts. Please retry later.","回復の試行回数が多すぎます。後でもう一度お試しください。"
"Too many sign-in attempts. Please retry later.","サインインの試行回数が多すぎます。後でもう一度お試しください。"
"Unable to load 2-Step Verification options.","2段階認証オプションを読み込めません。"
"Verification code sent to your email address.","メールアドレスに認証コードを送信しました。"
"Verification code sent to your mobile phone via SMS.","SMSで携帯電話に認証コードを送信しました。"
"Would continue in ZITADEL.","ZITADELで続行します。"
"Would continue the signed-in session.","サインインしたセッションを続行します。"
"Would redirect to the identity provider.","アイデンティティプロバイダーにリダイレクトします。"
"Your current password is incorrect.","現在のパスワードが正しくありません。"
